side,n_selected,min_liquidity_proxy,median_liquidity_proxy,max_liquidity_proxy,bottom_quartile_threshold,exclude_pctile,n_excluded_by_liquidity
LONG,25,149712213.23,423423231.79,18641712969.91,135025175.6,25.0,22
SHORT,25,146405764.61,265853418.93,8421941682.37,135025175.6,25.0,27
