side,ticker,sector,comp_sn,comp_sn_z,exception_type,detail,action
SHORT,HSIC,Health Care,-2.16764,-1.2675,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
SHORT,BG,Consumer Staples,-2.07734,-1.2148,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
SHORT,NWS,Communication Services,-2.0275,-1.1856,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
SHORT,NWSA,Communication Services,-2.0275,-1.1856,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
SHORT,GPC,Consumer Discretionary,-2.00968,-1.1752,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
SHORT,RL,Consumer Discretionary,-1.84533,-1.0792,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
SHORT,TTE,Energy,-1.738,-1.0165,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
SHORT,TAP,Consumer Staples,-1.41955,-0.8304,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
SHORT,IFNNY,Information Technology,-1.40444,-0.8216,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
SHORT,GSK,Health Care,-1.36697,-0.7997,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
SHORT,EG,Financials,-1.3559,-0.7932,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
SHORT,E,Energy,-1.34968,-0.7896,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
SHORT,PTC,Information Technology,-1.31988,-0.7721,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
SHORT,CBOE,Financials,-1.14942,-0.6725,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
SHORT,STLD,Materials,-1.13492,-0.6641,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
SHORT,BEN,Financials,-1.10655,-0.6475,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
SHORT,IBN,Financials,-1.06575,-0.6236,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
SHORT,CNP,Utilities,-1.04965,-0.6142,bottom_quartile_liquidity,liquidity below the 25th-percentile threshold,HELD_OUT_NEEDS_RULE_EXCEPTION
