ticker,fiscal_date_ending,reported_date,availability_date,point_in_time_usable,provider,eps_surprise,eps_surprise_pct,positive_surprise_flag,negative_surprise_flag,surprise_magnitude_abs,trailing_4q_avg_surprise_pct,trailing_4q_positive_surprise_rate,trailing_8q_avg_surprise_pct,surprise_acceleration,days_since_last_earnings,earnings_event_recency_bucket,estimate_revision_proxy
AAPL,1996-03-31,1996-04-17,1996-04-17,True,alpha_vantage,-0.02,-40.0,0,1,0.02,,,,,,0,
AAPL,1996-06-30,1996-07-17,1996-07-17,True,alpha_vantage,0.02,50.0,1,0,0.02,-40.0,0.0,-40.0,90.0,91,0,
AAPL,1996-09-30,1996-10-16,1996-10-16,True,alpha_vantage,0.0118,118.0,1,0,0.0118,5.0,0.5,5.0,68.0,91,0,
AAPL,1996-12-31,1997-01-15,1997-01-15,True,alpha_vantage,-0.01,-50.0,0,1,0.01,42.666667,0.6667,42.666667,-168.0,91,0,
AAPL,1997-03-31,1997-04-16,1997-04-16,True,alpha_vantage,-0.01,-25.0,0,1,0.01,19.5,0.5,19.5,25.0,91,0,
AAPL,1997-06-30,1997-07-16,1997-07-16,True,alpha_vantage,0.0,0.0,0,0,0.0,23.25,0.5,10.6,25.0,91,0,
AAPL,1997-09-30,1997-10-15,1997-10-15,True,alpha_vantage,0.0,,0,0,0.0,10.75,0.25,8.833333,,91,0,
AAPL,1997-12-31,1998-01-14,1998-01-14,True,alpha_vantage,0.0,0.0,0,0,0.0,10.75,0.25,8.833333,0.0,91,0,
AAPL,1998-03-31,1998-04-15,1998-04-15,True,alpha_vantage,0.0,0.0,0,0,0.0,-18.75,0.0,7.571429,0.0,91,0,
AAPL,1998-06-30,1998-07-15,1998-07-15,True,alpha_vantage,0.0,0.0,0,0,0.0,-6.25,0.0,6.625,0.0,91,0,
AAPL,1998-09-30,1998-10-14,1998-10-14,True,alpha_vantage,-0.01,-50.0,0,1,0.01,0.0,0.0,11.625,-50.0,91,0,
AAPL,1998-12-31,1999-01-13,1999-01-13,True,alpha_vantage,0.0,0.0,0,0,0.0,-12.5,0.0,-0.875,50.0,91,0,
AAPL,1999-03-31,1999-04-14,1999-04-14,True,alpha_vantage,0.0,0.0,0,0,0.0,-12.5,0.0,-15.625,0.0,91,0,
AAPL,1999-06-30,1999-07-14,1999-07-14,True,alpha_vantage,0.0,0.0,0,0,0.0,-12.5,0.0,-9.375,0.0,91,0,
AAPL,1999-09-30,1999-10-13,1999-10-13,True,alpha_vantage,0.0,0.0,0,0,0.0,-12.5,0.0,-6.25,0.0,91,0,
AAPL,1999-12-31,2000-01-19,2000-01-19,True,alpha_vantage,0.0,0.0,0,0,0.0,0.0,0.0,-6.25,0.0,98,0,
AAPL,2000-03-31,2000-04-19,2000-04-19,True,alpha_vantage,0.0,0.0,0,0,0.0,0.0,0.0,-6.25,0.0,91,0,
AAPL,2000-06-30,2000-07-18,2000-07-18,True,alpha_vantage,0.0,0.0,0,0,0.0,0.0,0.0,-6.25,0.0,90,0,
AAPL,2000-09-30,2000-10-18,2000-10-18,True,alpha_vantage,-0.01,-50.0,0,1,0.01,0.0,0.0,-6.25,-50.0,92,0,
AAPL,2000-12-31,2001-01-17,2001-01-17,True,alpha_vantage,0.0,0.0,0,0,0.0,-12.5,0.0,-6.25,50.0,91,0,
AAPL,2001-03-31,2001-04-18,2001-04-18,True,alpha_vantage,0.0,,0,0,0.0,-12.5,0.0,-6.25,,91,0,
AAPL,2001-06-30,2001-07-18,2001-07-18,True,alpha_vantage,0.0,,0,0,0.0,-12.5,0.0,-6.25,,91,0,
AAPL,2001-09-30,2001-10-17,2001-10-17,True,alpha_vantage,0.0,,0,0,0.0,-12.5,0.0,-6.25,,91,0,
AAPL,2001-12-31,2002-01-16,2002-01-16,True,alpha_vantage,0.0,0.0,0,0,0.0,-12.5,0.0,-6.25,0.0,91,0,
AAPL,2002-03-31,2002-04-17,2002-04-17,True,alpha_vantage,0.0,,0,0,0.0,-12.5,0.0,-6.25,,91,0,
AAPL,2002-06-30,2002-07-16,2002-07-16,True,alpha_vantage,0.0,0.0,0,0,0.0,-12.5,0.0,-6.25,0.0,90,0,
AAPL,2002-09-30,2002-10-16,2002-10-16,True,alpha_vantage,0.0,,0,0,0.0,-12.5,0.0,-6.25,,92,0,
