exp_id,cycle,family,agent,driver,cohort,is_challenge,real_external_data,needs_provider,status,promotion,n_events,n_recent_events,lift_vs_control,ev_after_25bps,worst_decile_mean,recent_lift_vs_control,hit_rate,reason
S8G-C20,1,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_surprise_sensitive,False,True,False,REJECTED,REJECTED,2127,812,-0.001178,-0.00592,-0.136367,-0.004109,0.496004,non-positive EV after 25bps (-0.00592)
S8G-C05,1,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_surprise_sensitive,False,True,False,REJECTED,REJECTED,723,269,0.003655,-0.00418,-0.069394,0.001663,0.500692,"insufficient events (total=723, recent=269)"
S8G-C60,1,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings_surprise,cohort_surprise_sensitive,False,True,False,REJECTED,REJECTED,2104,796,-5.3e-05,-0.00223,-0.225899,-0.003192,0.492871,non-positive EV after 25bps (-0.00223)
S8G-B20,1,B_analyst_revision_x_sensitivity,analyst-revision-agent,analyst_revision_proxy,cohort_surprise_sensitive,False,True,False,REJECTED,REJECTED,1345,487,0.001575,-0.003787,-0.132703,-0.001846,0.510037,non-positive EV after 25bps (-0.003787)
S8G-F20,1,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,rates,cohort_rates_neg,False,True,False,REJECTED,PROMISING_EXTERNAL_SIGNAL,692,394,0.005328,0.003779,-0.155446,0.004877,0.543353,"insufficient events (total=692, recent=394)"
S8G-H20,1,H_sec_filings_x_sensitivity,earnings-event-agent,sec_filing,cohort_filing_active,False,True,False,REJECTED,REJECTED,2202,895,-0.003044,-0.005839,-0.149845,-0.001362,0.500908,non-positive EV after 25bps (-0.005839)
S8G-901,1,C_earnings_surprise_x_sensitivity,validation-skeptic-agent,earnings_surprise,,True,True,False,REJECTED,REJECTED,6051,1952,0.001933,-0.003273,-0.141688,-2.2e-05,0.50157,challenge/placebo control (diagnostic; never promoted)
S8G-902,1,C_earnings_surprise_x_sensitivity,validation-skeptic-agent,earnings_surprise,cohort_surprise_sensitive,True,True,False,REJECTED,REJECTED,440,178,0.003752,-3.2e-05,-0.158847,0.003656,0.529545,challenge/placebo control (diagnostic; never promoted)
S8G-903,1,F_s8e011_plus_external_confirmation,validation-skeptic-agent,rates,,True,True,False,REJECTED,REJECTED,2974,1557,-0.000275,-0.003945,-0.131049,0.00144,0.494956,challenge/placebo control (diagnostic; never promoted)
S8G-A01,1,A_news_sentiment_x_sensitivity,news-sentiment-agent,news_sentiment,sentiment_sensitive,False,False,True,NEEDS_PROVIDER_DATA,NEEDS_PROVIDER_DATA,,,,,,,,no local data and no provider key; executable adapter + schema + command ready
S8G-D01,1,D_options_iv_x_sensitivity,options-signal-agent,options_iv,options_informative,False,False,True,NEEDS_PROVIDER_DATA,NEEDS_PROVIDER_DATA,,,,,,,,no local data and no provider key; executable adapter + schema + command ready
S8G-E01,1,E_short_interest_x_sensitivity,short-interest-agent,short_interest,squeeze_sensitive,False,False,True,NEEDS_PROVIDER_DATA,NEEDS_PROVIDER_DATA,,,,,,,,no local data and no provider key; executable adapter + schema + command ready
