source,family,raw_dir,n_raw_payloads,bounded_caps,status
news_sentiment,A_news_sentiment_x_sensitivity,D:/Stock_Prediction_app_data/external_raw/news_sentiment,0,<= 25 tickers / 30 days / 500 events,EMPTY_NO_KEY
analyst_revision,B_analyst_revision_x_sensitivity,D:/Stock_Prediction_app_data/external_raw/analyst_revision,0,<= 25 tickers / 30 days / 500 events,EMPTY_NO_KEY
earnings,C_earnings_surprise_x_sensitivity,D:/Stock_Prediction_app_data/external_raw/earnings,0,<= 25 tickers / 30 days / 500 events,EMPTY_NO_KEY
options_iv,D_options_iv_x_sensitivity,D:/Stock_Prediction_app_data/external_raw/options_iv,0,<= 25 tickers / 30 days / 500 events,EMPTY_NO_KEY
short_interest,E_short_interest_x_sensitivity,D:/Stock_Prediction_app_data/external_raw/short_interest,0,<= 25 tickers / 30 days / 500 events,EMPTY_NO_KEY
transcript_tone,A_news_sentiment_x_sensitivity,D:/Stock_Prediction_app_data/external_raw/transcript_tone,0,<= 25 tickers / 30 days / 500 events,EMPTY_NO_KEY
earnings,C_earnings_surprise_x_sensitivity,LOCAL_CACHE:phase3m/earnings_events_universe.csv,8320,local cache (no live caps),ACTIVATED_LOCAL
filings_sec,H_sec_filings_x_sensitivity,D:/Stock_Prediction_app_data/external_raw/filings_sec,7834,no-key SEC EDGAR (<=60 tickers),ACTIVATED_LIVE
