year,panel_rows,rows_with_pit_fundamentals,coverage_fraction
2016,1143,0,0.0
2017,1524,0,0.0
2018,1524,0,0.0
2019,1529,0,0.0
2020,1536,296,0.192708
2021,1536,1224,0.796875
2022,1536,1224,0.796875
2023,1536,1224,0.796875
2024,1536,1226,0.798177
2025,1536,1254,0.816406
2026,768,630,0.820312
