date,ticker,is_bank,regime,fund_fiscal_period,fund_publish_date,fund_age_days,fund_stale,forward_excess_return_20d_vs_spy,gross_margin,operating_margin,net_margin,roa_ttm,revenue_growth_yoy,operating_income_growth_yoy,net_income_growth_yoy,debt_to_assets,liabilities_to_assets,equity_to_assets,current_ratio,cash_to_assets,ocf_to_assets,fcf_to_assets,earnings_yield_ttm,book_to_price,deposits_to_assets,loans_to_assets,quality_composite
2026-06-16,GE,False,risk_on,2025-Q1,2025-04-22,420,True,,0.396517,0.272196,0.199013,0.056315,0.109324,0.413487,0.2846,0.157674,0.843156,,1.043895,0.107998,0.012173,0.010578,0.018435,0.051344,,,-0.308526
2026-06-16,GILD,False,risk_on,2025-Q1,2025-05-07,405,True,,0.769012,0.373481,0.19724,0.105681,-0.002842,0.112104,1.315348,0.442145,0.661906,,1.369278,0.140447,0.031151,0.029309,0.037233,0.119102,,,0.232772
2026-06-16,GOOG,False,risk_on,2025-Q1,2025-04-25,417,True,,0.597037,0.339185,0.382783,0.233492,0.120376,0.201555,0.459724,0.0229,0.273694,,1.768084,0.200533,0.076045,0.03987,0.023559,0.073282,,,1.277745
2026-06-16,GS,True,risk_on,2025-Q1,2025-05-02,410,True,,,0.497743,0.314566,0.008426,0.059734,0.113306,0.14666,,0.929622,0.070378,,,-0.021079,,0.042049,0.351207,0.266753,0.118981,-0.169561
2026-06-16,HD,False,risk_on,2025-Q1,2025-05-28,384,False,,0.337691,0.128789,0.086135,0.147635,0.094404,0.010632,-0.046389,0.527103,0.919774,,1.09307,0.013806,0.043618,0.035489,0.04369,0.023741,,,-0.220414
2026-06-16,ICE,False,risk_on,2025-Q1,2025-05-01,411,True,,0.616909,0.388046,0.246826,0.019486,0.152803,0.140127,0.039113,0.142003,0.756723,,0.99918,0.005481,0.006761,0.006166,0.034152,0.426369,,,-0.164851
2026-06-16,INTC,False,risk_on,2025-Q1,2025-04-25,417,True,,0.368832,-0.011447,-0.064814,-0.099853,-0.00448,0.79889,-1.154856,0.260874,0.446463,,1.309567,0.109487,0.004229,-0.028038,-0.037762,0.209331,,,-1.323944
2026-06-16,ISRG,False,risk_on,2025-Q1,2025-04-23,419,True,,0.646889,0.256546,0.309932,0.128827,0.191897,0.231572,0.281703,,0.104717,,4.97874,0.234714,0.03026,0.024193,0.016283,0.113161,,,0.658371
2026-06-16,ITW,False,risk_on,2025-Q1,2025-05-01,411,True,,0.437093,0.253191,0.182339,0.217804,-0.033728,-0.15625,-0.145299,0.5342,0.790406,,1.59709,0.056439,0.038208,0.032196,0.043042,0.04142,,,0.252921
2026-06-16,JPM,True,risk_on,2025-Q1,2025-05-01,411,True,,,0.406268,0.323174,0.013698,0.080507,0.064477,0.091214,,0.919359,0.080641,,,-0.05779,,0.063829,0.375754,0.57273,0.305308,-0.492217
2026-06-16,KLAC,False,risk_on,2025-Q3,2025-05-01,411,True,,0.616168,0.424544,0.35534,0.243295,0.297987,0.611708,0.80938,0.387359,0.736327,,2.924271,0.265245,0.070591,0.065173,0.01168,0.012658,,,1.148141
2026-06-16,KO,False,risk_on,2025-Q1,2025-05-01,411,True,,0.625932,0.328781,0.299218,0.106021,-0.015133,0.709014,0.048159,0.482825,0.727142,,1.099546,0.135544,-0.051123,-0.054082,0.031145,0.080157,,,-0.593162
2026-06-16,LIN,False,risk_on,2025-Q1,2025-05-01,411,True,,0.487549,0.273792,0.21462,0.083998,0.001481,0.090329,0.022314,0.288946,0.52284,,0.938695,0.064011,0.026129,0.010773,0.02815,0.159909,,,0.065899
2026-06-16,LLY,False,risk_on,2025-Q1,2025-05-01,411,True,,0.825202,0.416529,0.216749,0.124245,0.451756,1.02405,0.230104,0.430881,0.822721,,1.372258,0.03603,0.018638,0.001745,0.010986,0.015676,,,0.024126
2026-06-16,LMT,False,risk_on,2025-Q1,2025-04-22,420,True,,0.113511,0.129321,0.095307,0.097108,0.044664,0.16558,0.108091,0.358291,0.88207,,1.076179,0.031816,0.024864,0.016852,0.043637,0.052994,,,-0.478691
2026-06-16,LOW,False,risk_on,2025-Q1,2025-05-29,383,False,,0.333779,0.119159,0.078404,0.15082,-0.020315,-0.059932,-0.064957,0.765318,1.292118,,1.012819,0.075421,0.074473,0.063101,0.054547,-0.105651,,,-0.184415
