config,regime_axis,regime_label,n_months,mean_monthly_return,ann_vol,sharpe,note
u128:mom_6_1:top_quintile,rates_regime,rates_up,69,0.013,0.162855,0.957946,diagnostic only; not used for selection or weighting
u128:mom_6_1:top_quintile,dollar_regime,dollar_down,54,0.015335,0.156966,1.172336,diagnostic only; not used for selection or weighting
u128:mom_6_1:top_quintile,dollar_regime,dollar_up,64,0.022263,0.169586,1.575364,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_decile,risk_regime,risk_off,15,0.01107,0.235632,0.56377,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_decile,risk_regime,risk_on,97,0.0178,0.177592,1.20273,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_decile,vol_regime,high_vol,70,0.017659,0.197074,1.075296,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_decile,vol_regime,low_vol,42,0.01563,0.166086,1.12928,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_decile,trend_regime,above_trend,92,0.013095,0.173295,0.906782,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_decile,trend_regime,below_trend,20,0.034393,0.228249,1.808207,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_decile,inflation_regime,disinflation,51,0.021172,0.183797,1.382318,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_decile,inflation_regime,inflation_up,61,0.013325,0.187195,0.854199,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_decile,rates_regime,rates_down,47,0.026154,0.181589,1.728335,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_decile,rates_regime,rates_up,65,0.010206,0.18591,0.658755,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_decile,dollar_regime,dollar_down,53,0.011538,0.175578,0.788544,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_decile,dollar_regime,dollar_up,59,0.021714,0.193621,1.345755,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_quintile,risk_regime,risk_off,15,0.013965,0.236524,0.708535,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_quintile,risk_regime,risk_on,97,0.016096,0.144331,1.338244,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_quintile,vol_regime,high_vol,70,0.017507,0.172009,1.221368,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_quintile,vol_regime,low_vol,42,0.012983,0.133963,1.162963,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_quintile,trend_regime,above_trend,92,0.011661,0.141323,0.990174,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_quintile,trend_regime,below_trend,20,0.034898,0.212731,1.968547,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_quintile,inflation_regime,disinflation,51,0.016857,0.150096,1.347671,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_quintile,inflation_regime,inflation_up,61,0.014936,0.166136,1.07882,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_quintile,rates_regime,rates_down,47,0.022889,0.161457,1.701191,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_quintile,rates_regime,rates_up,65,0.010692,0.154914,0.828238,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_quintile,dollar_regime,dollar_down,53,0.009863,0.147281,0.803603,diagnostic only; not used for selection or weighting
u128:mom_riskadj:top_quintile,dollar_regime,dollar_up,59,0.021153,0.166768,1.522112,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_decile,risk_regime,risk_off,15,0.014842,0.256812,0.693538,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_decile,risk_regime,risk_on,103,0.021834,0.19521,1.342169,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_decile,vol_regime,high_vol,70,0.02236,0.220394,1.217462,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_decile,vol_regime,low_vol,43,0.018205,0.182678,1.19587,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_decile,trend_regime,above_trend,96,0.016135,0.180469,1.072872,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_decile,trend_regime,below_trend,20,0.045745,0.283864,1.933802,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_decile,inflation_regime,disinflation,53,0.026295,0.205698,1.534003,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_decile,inflation_regime,inflation_up,65,0.016583,0.200962,0.990198,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_decile,rates_regime,rates_down,49,0.03082,0.217911,1.697235,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_decile,rates_regime,rates_up,69,0.013932,0.189449,0.882477,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_decile,dollar_regime,dollar_down,54,0.016475,0.200695,0.985088,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_decile,dollar_regime,dollar_up,64,0.024716,0.205454,1.443622,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_quintile,risk_regime,risk_off,15,0.013689,0.239192,0.686752,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_quintile,risk_regime,risk_on,103,0.018211,0.157387,1.388523,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_quintile,vol_regime,high_vol,70,0.018279,0.186948,1.173322,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_quintile,vol_regime,low_vol,43,0.015801,0.144265,1.314351,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_quintile,trend_regime,above_trend,96,0.013221,0.14992,1.05823,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_quintile,trend_regime,below_trend,20,0.03998,0.234208,2.048442,diagnostic only; not used for selection or weighting
u128:momentum_bucket:top_quintile,inflation_regime,disinflation,53,0.021069,0.168474,1.500699,diagnostic only; not used for selection or weighting
