config,net_ann_return_0bps,net_sharpe_0bps,net_ann_return_10bps,net_sharpe_10bps,net_ann_return_25bps,net_sharpe_25bps,net_ann_return_50bps,net_sharpe_50bps
u128:mom_12_1:top_decile,0.263986,1.13429,0.255724,1.10541,0.243421,1.062059,0.223159,0.989734
u128:mom_12_1:top_quintile,0.216521,1.186958,0.210219,1.157432,0.200822,1.113146,0.185307,1.039352
u128:mom_6_1:top_decile,0.297462,1.419842,0.286014,1.37403,0.269013,1.305302,0.241131,1.190758
u128:mom_6_1:top_quintile,0.238727,1.399755,0.229476,1.352762,0.215717,1.282282,0.193095,1.164869
u128:mom_riskadj:top_decile,0.202905,1.094218,0.193818,1.052447,0.180304,0.989805,0.158088,0.885463
u128:mom_riskadj:top_quintile,0.192688,1.19805,0.186032,1.161782,0.176112,1.107419,0.159746,1.016928
u128:momentum_bucket:top_decile,0.25787,1.238582,0.249041,1.202841,0.235901,1.149252,0.21428,1.06001
u128:momentum_bucket:top_quintile,0.216758,1.254323,0.209713,1.219012,0.199216,1.166063,0.181903,1.077873
u296:mom_12_1:top_decile,0.377954,1.384194,0.369553,1.35975,0.357039,1.323078,0.336411,1.261944
u296:mom_12_1:top_quintile,0.300091,1.371569,0.29333,1.345823,0.283249,1.307215,0.266605,1.2429
u296:mom_6_1:top_decile,0.412068,1.524473,0.400212,1.489613,0.382598,1.437302,0.353688,1.350066
u296:mom_6_1:top_quintile,0.297728,1.404075,0.288268,1.367239,0.274197,1.311942,0.251055,1.219681
u296:mom_riskadj:top_decile,0.295477,1.313473,0.286312,1.280129,0.272676,1.230076,0.25024,1.146563
u296:mom_riskadj:top_quintile,0.254921,1.337959,0.247905,1.306755,0.237449,1.259946,0.220199,1.181928
u296:momentum_bucket:top_decile,0.392285,1.481135,0.382881,1.452701,0.368883,1.410047,0.34584,1.338957
u296:momentum_bucket:top_quintile,0.281174,1.376592,0.273682,1.345783,0.262517,1.29957,0.244108,1.22256
