config,year,gross_return,net_return_25bps
u296:mom_12_1:top_quintile,2018,-0.039199,-0.05094
u296:mom_12_1:top_quintile,2019,0.246826,0.228829
u296:mom_12_1:top_quintile,2020,0.401726,0.385394
u296:mom_12_1:top_quintile,2021,0.126082,0.111996
u296:mom_12_1:top_quintile,2022,0.045777,0.031599
u296:mom_12_1:top_quintile,2023,0.239873,0.221463
u296:mom_12_1:top_quintile,2024,0.589503,0.570972
u296:mom_12_1:top_quintile,2025,0.482653,0.464869
u296:mom_12_1:top_quintile,2026,0.466577,0.459431
u296:mom_6_1:top_decile,2017,0.382267,0.352622
u296:mom_6_1:top_decile,2018,0.057402,0.034422
u296:mom_6_1:top_decile,2019,0.281878,0.250894
u296:mom_6_1:top_decile,2020,0.783835,0.753331
u296:mom_6_1:top_decile,2021,0.113332,0.088607
u296:mom_6_1:top_decile,2022,0.091615,0.068216
u296:mom_6_1:top_decile,2023,0.348554,0.316836
u296:mom_6_1:top_decile,2024,0.649905,0.612962
u296:mom_6_1:top_decile,2025,0.706992,0.678006
u296:mom_6_1:top_decile,2026,0.67053,0.661302
u296:mom_6_1:top_quintile,2017,0.345451,0.321003
u296:mom_6_1:top_quintile,2018,0.005067,-0.014268
u296:mom_6_1:top_quintile,2019,0.232819,0.207948
u296:mom_6_1:top_quintile,2020,0.428373,0.405588
u296:mom_6_1:top_quintile,2021,0.169763,0.148705
u296:mom_6_1:top_quintile,2022,0.053689,0.032675
u296:mom_6_1:top_quintile,2023,0.268611,0.244961
u296:mom_6_1:top_quintile,2024,0.538277,0.509312
u296:mom_6_1:top_quintile,2025,0.509269,0.485341
u296:mom_6_1:top_quintile,2026,0.346069,0.33806
u296:mom_riskadj:top_decile,2017,0.25681,0.243597
u296:mom_riskadj:top_decile,2018,-0.066194,-0.082638
u296:mom_riskadj:top_decile,2019,0.237472,0.215822
u296:mom_riskadj:top_decile,2020,0.363618,0.34065
u296:mom_riskadj:top_decile,2021,0.064224,0.043716
u296:mom_riskadj:top_decile,2022,0.016406,-0.00168
u296:mom_riskadj:top_decile,2023,0.264724,0.237998
u296:mom_riskadj:top_decile,2024,0.612816,0.588264
u296:mom_riskadj:top_decile,2025,0.460271,0.438649
u296:mom_riskadj:top_decile,2026,0.576264,0.56631
u296:mom_riskadj:top_quintile,2017,0.221012,0.209703
u296:mom_riskadj:top_quintile,2018,-0.024858,-0.039262
u296:mom_riskadj:top_quintile,2019,0.243002,0.226914
u296:mom_riskadj:top_quintile,2020,0.322731,0.307148
u296:mom_riskadj:top_quintile,2021,0.13233,0.115749
u296:mom_riskadj:top_quintile,2022,0.017278,0.003433
u296:mom_riskadj:top_quintile,2023,0.191515,0.172927
u296:mom_riskadj:top_quintile,2024,0.514938,0.493586
u296:mom_riskadj:top_quintile,2025,0.376288,0.359517
u296:mom_riskadj:top_quintile,2026,0.352011,0.344844
u296:momentum_bucket:top_decile,2017,0.458013,0.430159
u296:momentum_bucket:top_decile,2018,0.014933,-0.002293
u296:momentum_bucket:top_decile,2019,0.252369,0.229591
u296:momentum_bucket:top_decile,2020,0.654393,0.630831
u296:momentum_bucket:top_decile,2021,0.070872,0.050633
u296:momentum_bucket:top_decile,2022,0.03026,0.013219
u296:momentum_bucket:top_decile,2023,0.227193,0.201341
u296:momentum_bucket:top_decile,2024,0.890245,0.861367
u296:momentum_bucket:top_decile,2025,0.737802,0.714803
u296:momentum_bucket:top_decile,2026,0.654834,0.646999
u296:momentum_bucket:top_quintile,2017,0.381275,0.355503
u296:momentum_bucket:top_quintile,2018,-0.02005,-0.03208
u296:momentum_bucket:top_quintile,2019,0.259212,0.238874
u296:momentum_bucket:top_quintile,2020,0.382543,0.366062
u296:momentum_bucket:top_quintile,2021,0.11726,0.100764
u296:momentum_bucket:top_quintile,2022,0.026206,0.010856
u296:momentum_bucket:top_quintile,2023,0.202069,0.182035
u296:momentum_bucket:top_quintile,2024,0.607005,0.584894
u296:momentum_bucket:top_quintile,2025,0.443303,0.424392
u296:momentum_bucket:top_quintile,2026,0.368849,0.36219
SPY,2017,0.263044,0.263044
SPY,2018,-0.024274,-0.024274
SPY,2019,0.214471,0.214471
SPY,2020,0.171731,0.171731
SPY,2021,0.231948,0.231948
SPY,2022,-0.081873,-0.081873
SPY,2023,0.20601,0.20601
SPY,2024,0.262301,0.262301
SPY,2025,0.163298,0.163298
SPY,2026,0.081472,0.081472
equal_weight_universe,2017,0.315435,0.315435
equal_weight_universe,2018,-0.008356,-0.008356
equal_weight_universe,2019,0.224617,0.224617
equal_weight_universe,2020,0.231938,0.231938
equal_weight_universe,2021,0.267199,0.267199
equal_weight_universe,2022,0.019933,0.019933
equal_weight_universe,2023,0.224755,0.224755
equal_weight_universe,2024,0.329999,0.329999
equal_weight_universe,2025,0.346692,0.346692
equal_weight_universe,2026,0.160324,0.160324
