feature,feature_family,horizon,observation_count,date_count,non_null_feature_fraction,mean_rank_ic_excess_return,median_rank_ic_excess_return,ic_hit_rate_excess_return,ic_ir_excess_return,mean_rank_ic_forward_rank,median_rank_ic_forward_rank,ic_hit_rate_forward_rank,ic_ir_forward_rank,absolute_mean_ic,top_minus_bottom_spread_quintile,positive_spread_fraction_quintile,top_minus_bottom_spread_top3,positive_spread_fraction_top3,signal_direction,diagnostic_strength
eps_diluted_yoy_growth,growth_change,21d,3788,199,0.2964,-0.101068,-0.063158,0.6181,-0.4576,-0.101068,-0.063158,0.6181,-0.4576,0.101068,-0.049182,0.2234,-0.058045,0.191,negative,unusable
eps_diluted_yoy_growth,growth_change,63d,2948,157,0.2964,-0.171723,-0.189474,0.7834,-0.8322,-0.171723,-0.189474,0.7834,-0.8322,0.171723,-0.130787,0.1226,-0.132419,0.1083,negative,unusable
eps_diluted_yoy_growth,growth_change,126d,1719,94,0.2964,-0.24506,-0.279825,0.9787,-1.5512,-0.24506,-0.279825,0.9787,-1.5512,0.24506,-0.30578,0.0,-0.300246,0.0106,negative,unusable
total_assets_yoy_growth,growth_change,21d,188,12,0.0517,-0.482982,-0.528844,1.0,-2.4251,-0.482982,-0.528844,1.0,-2.4251,0.482982,-0.088706,0.0,-0.071701,0.0667,unstable,unusable
total_assets_yoy_growth,growth_change,63d,0,0,0.0517,,,,,,,,,,,,,,unstable,unusable
total_assets_yoy_growth,growth_change,126d,0,0,0.0517,,,,,,,,,,,,,,unstable,unusable
operating_cash_flow_yoy_growth,growth_change,21d,3730,199,0.2929,-0.039942,-0.054945,0.593,-0.2147,-0.039942,-0.054945,0.593,-0.2147,0.039942,0.004168,0.5482,-0.006007,0.445,negative,unusable
operating_cash_flow_yoy_growth,growth_change,63d,2890,157,0.2929,-0.134973,-0.154386,0.8471,-0.8771,-0.134973,-0.154386,0.8471,-0.8771,0.134973,0.000184,0.4839,-0.012341,0.4304,negative,unusable
operating_cash_flow_yoy_growth,growth_change,126d,1699,94,0.2929,-0.182352,-0.173013,1.0,-2.6498,-0.182352,-0.173013,1.0,-2.6498,0.182352,-0.008932,0.4891,-0.005494,0.5053,negative,unusable
free_cash_flow_yoy_growth,growth_change,21d,2301,197,0.1808,-0.158126,-0.146853,0.7208,-0.5919,-0.158126,-0.146853,0.7208,-0.5919,0.158126,-0.027175,0.3282,-0.034098,0.2374,negative,unusable
free_cash_flow_yoy_growth,growth_change,63d,1797,155,0.1808,-0.254866,-0.254545,0.871,-1.3987,-0.254866,-0.254545,0.871,-1.3987,0.254866,-0.111028,0.2026,-0.128527,0.0385,negative,unusable
free_cash_flow_yoy_growth,growth_change,126d,1074,92,0.1808,-0.469309,-0.493706,1.0,-5.2391,-0.469309,-0.493706,1.0,-5.2391,0.469309,-0.294823,0.0,-0.316738,0.0,negative,unusable
cash_conversion,cash_quality,21d,8151,448,0.6007,-0.058947,-0.068421,0.6205,-0.2512,-0.058947,-0.068421,0.6205,-0.2512,0.058947,-0.007931,0.4439,-0.008452,0.4333,negative,strong
cash_conversion,cash_quality,63d,7353,406,0.6007,-0.121814,-0.145614,0.7118,-0.568,-0.121814,-0.145614,0.7118,-0.568,0.121814,-0.026088,0.354,-0.026067,0.3578,negative,strong
cash_conversion,cash_quality,126d,6156,343,0.6007,-0.20472,-0.215686,0.8863,-1.3746,-0.20472,-0.215686,0.8863,-1.3746,0.20472,-0.066221,0.2845,-0.065796,0.287,negative,strong
fcf_to_net_income,cash_quality,21d,4846,446,0.3577,-0.043063,-0.022727,0.5157,-0.1316,-0.043063,-0.022727,0.5157,-0.1316,0.043063,-0.013349,0.5068,-0.017248,0.4754,negative,unusable
fcf_to_net_income,cash_quality,63d,4384,404,0.3577,-0.225353,-0.272727,0.698,-0.7051,-0.225353,-0.272727,0.698,-0.7051,0.225353,-0.08514,0.306,-0.089933,0.2586,negative,unusable
fcf_to_net_income,cash_quality,126d,3691,341,0.3577,-0.271137,-0.327273,0.8915,-1.3907,-0.271137,-0.327273,0.8915,-1.3907,0.271137,-0.148546,0.056,-0.192213,0.0612,negative,unusable
capex_intensity,cash_quality,21d,1640,205,0.2446,-0.072938,-0.02381,0.5073,-0.2074,-0.072938,-0.02381,0.5073,-0.2074,0.072938,,,0.007695,0.5586,negative,unusable
capex_intensity,cash_quality,63d,1304,163,0.2446,0.0,0.0,0.4847,0.0,0.0,0.0,0.4847,0.0,0.0,,,0.039248,0.694,unstable,unusable
capex_intensity,cash_quality,126d,800,100,0.2446,0.067143,0.071429,0.72,0.4315,0.067143,0.071429,0.72,0.4315,0.067143,,,0.060937,0.7788,positive,unusable
accrual_proxy,cash_quality,21d,4921,262,0.3826,0.009051,-0.002632,0.5,0.0353,0.009051,-0.002632,0.5,0.0353,0.009051,0.003583,0.5326,0.003164,0.5301,positive,unusable
accrual_proxy,cash_quality,63d,4123,220,0.3826,0.138939,0.120575,0.7682,0.626,0.138939,0.120575,0.7682,0.626,0.138939,0.0175,0.5297,0.017946,0.5402,positive,unusable
accrual_proxy,cash_quality,126d,2926,157,0.3826,0.25879,0.307018,0.8662,1.3977,0.25879,0.307018,0.8662,1.3977,0.25879,0.144632,0.8718,0.144696,0.8758,positive,unusable
log_total_assets,size_scale,21d,5178,262,0.4021,0.022534,0.064912,0.5954,0.0842,0.022534,0.064912,0.5954,0.0842,0.022534,-0.008596,0.5019,-0.010824,0.4624,positive,unusable
log_total_assets,size_scale,63d,4338,220,0.4021,-0.028046,0.018045,0.4682,-0.1101,-0.028046,0.018045,0.4682,-0.1101,0.028046,-0.04113,0.4018,-0.044245,0.3661,unstable,unusable
log_total_assets,size_scale,126d,3078,157,0.4021,-0.03349,-0.015038,0.5287,-0.2009,-0.03349,-0.015038,0.5287,-0.2009,0.03349,-0.125581,0.109,-0.127717,0.087,negative,unusable
log_revenue_abs,size_scale,21d,5055,444,0.5699,-0.003123,0.032634,0.464,-0.008,-0.003123,0.032634,0.464,-0.008,0.003123,-0.002311,0.5758,0.000206,0.5518,unstable,weak
log_revenue_abs,size_scale,63d,4519,402,0.5699,-0.088471,-0.106993,0.6642,-0.2772,-0.088471,-0.106993,0.6642,-0.2772,0.088471,-0.041292,0.4625,-0.012187,0.5572,negative,moderate
log_revenue_abs,size_scale,126d,3742,339,0.5699,-0.092011,-0.136364,0.7168,-0.3421,-0.092011,-0.136364,0.7168,-0.3421,0.092011,-0.109937,0.3673,-0.049289,0.4277,negative,moderate
log_total_liabilities_abs,size_scale,21d,4394,262,0.3387,-0.007694,0.047794,0.4275,-0.0307,-0.007694,0.047794,0.4275,-0.0307,0.007694,-0.023532,0.3946,-0.025125,0.3849,unstable,unusable
log_total_liabilities_abs,size_scale,63d,3680,220,0.3387,-0.053212,-0.043038,0.5182,-0.1984,-0.053212,-0.043038,0.5182,-0.1984,0.053212,-0.064525,0.2146,-0.06566,0.1928,negative,unusable
log_total_liabilities_abs,size_scale,126d,2609,157,0.3387,-0.022541,-0.036765,0.5223,-0.148,-0.022541,-0.036765,0.5223,-0.148,0.022541,-0.150644,0.1987,-0.145761,0.225,negative,unusable
filing_lag_days,availability_recency,21d,8921,450,1.0,-0.020615,-0.044512,0.5844,-0.0808,-0.020615,-0.044512,0.5844,-0.0808,0.020615,-0.011451,0.433,-0.010283,0.4213,negative,weak
filing_lag_days,availability_recency,63d,8081,408,1.0,-0.101374,-0.098491,0.6593,-0.4855,-0.101374,-0.098491,0.6593,-0.4855,0.101374,-0.041126,0.3596,-0.044737,0.3105,negative,strong
filing_lag_days,availability_recency,126d,6821,345,1.0,-0.141787,-0.118197,0.7478,-0.6957,-0.141787,-0.118197,0.7478,-0.6957,0.141787,-0.062104,0.2566,-0.055688,0.3526,negative,strong
