candidate,neutralization,net25,net50,avg_turnover
mom_12_1,raw,0.02331,0.02194,0.2758
mom_12_1,sector_neutral,0.01302,0.01119,0.3661
mom_6_1,raw,0.0296,0.02778,0.3637
mom_6_1,sector_neutral,0.01804,0.01584,0.4418
mom_3_1,raw,0.00312,0.00061,0.5042
mom_3_1,sector_neutral,0.00066,-0.00213,0.5591
mom_voladj,raw,0.02683,0.02528,0.3116
mom_voladj,sector_neutral,0.02245,0.02092,0.3084
resid_mom_spy,raw,0.01894,0.01757,0.273
resid_mom_spy,sector_neutral,0.01255,0.01099,0.313
rev_1m,raw,0.00156,-0.00267,0.8477
rev_1m,sector_neutral,0.00416,-0.00013,0.8611
trend_ma12,raw,0.0304,0.02881,0.3186
trend_ma12,sector_neutral,0.02538,0.0238,0.3173
breakout_12,raw,0.02275,0.02084,0.3837
breakout_12,sector_neutral,0.02273,0.02121,0.3043
trend_consistency,raw,0.01956,0.01813,0.2868
trend_consistency,sector_neutral,0.01747,0.01601,0.2921
lowvol_12m,raw,0.00479,0.00407,0.1458
lowvol_12m,sector_neutral,0.01985,0.01899,0.173
downside_vol,raw,0.01624,0.01539,0.1703
downside_vol,sector_neutral,0.01379,0.01295,0.1684
ivol_spy,raw,0.00578,0.00505,0.1461
ivol_spy,sector_neutral,0.01278,0.01207,0.1421
beta_neg,raw,-0.01517,,
beta_neg,sector_neutral,-0.00975,,
liquidity,raw,0.00382,0.00348,0.0686
liquidity,sector_neutral,-0.00221,,
dvol_accel,raw,-0.00058,,
dvol_accel,sector_neutral,-0.0008,,
