stage,seconds
LOAD_PANEL,4.457
BUILD_FEATURE_STORE,2.622
LOAD_CHAMPION,1.748
MONTHLY_CAMPAIGN,179.037
WEEKLY_CACHE,0.103
WEEKLY_CAMPAIGN,15.243
SLOW_FUNDAMENTAL,0.778
CLUSTER,9.251
ENSEMBLE,0.319
