year,test_rows,ic_days,mean_daily_ic,median_daily_ic,ic_hit_rate,decile_spread,top_decile_hit_rate,mean_ic_risk_off,mean_ic_risk_on,mean_ic_high_vol,mean_ic_low_vol,mean_ic_spy_below_200d,mean_ic_low_breadth,mean_ic_high_dispersion
2020,32131,253,0.108506,0.102362,0.8419,0.181683,0.668,0.122031,0.104392,0.095665,0.123196,0.122031,0.094552,0.120519
2021,32004,252,-0.108464,-0.084212,0.1786,-0.046288,0.5476,,-0.108464,-0.207404,-0.107272,,-0.131958,-0.152231
2022,31877,251,0.069398,0.074938,0.6295,0.087486,0.7968,0.104533,-0.083101,0.089266,0.016992,0.104533,0.060616,0.067771
2023,31750,250,0.216972,0.228344,0.972,0.15119,0.86,0.191809,0.218693,,0.216972,0.191809,0.220077,0.218507
2024,32041,252,-0.002658,-0.006702,0.4444,-0.016222,0.3611,,-0.002658,0.047463,-0.00583,,0.016572,0.00705
2025,30464,238,0.216324,0.190421,0.9202,0.312265,0.9538,0.425208,0.171564,0.424055,0.174359,0.425208,0.214145,0.207317
