bucket,horizon,cost_bps,monthly_turnover_oneway,gross_horizon_spread,gross_monthly_spread,cost_monthly,net_monthly_spread,break_even_cost_bps,still_positive_after_cost
top_decile,126d,0,0.3954,0.11413,0.019022,0.0,0.019022,240.51,True
top_decile,126d,5,0.3954,0.11413,0.019022,0.000395,0.018626,240.51,True
top_decile,126d,10,0.3954,0.11413,0.019022,0.000791,0.018231,240.51,True
top_decile,126d,25,0.3954,0.11413,0.019022,0.001977,0.017044,240.51,True
top_decile,126d,50,0.3954,0.11413,0.019022,0.003954,0.015067,240.51,True
top_quintile,126d,0,0.3155,0.084588,0.014098,0.0,0.014098,223.41,True
top_quintile,126d,5,0.3155,0.084588,0.014098,0.000316,0.013783,223.41,True
top_quintile,126d,10,0.3155,0.084588,0.014098,0.000631,0.013467,223.41,True
top_quintile,126d,25,0.3155,0.084588,0.014098,0.001578,0.01252,223.41,True
top_quintile,126d,50,0.3155,0.084588,0.014098,0.003155,0.010943,223.41,True
top_30pct,126d,0,0.285,0.063951,0.010659,0.0,0.010659,186.97,True
top_30pct,126d,5,0.285,0.063951,0.010659,0.000285,0.010374,186.97,True
top_30pct,126d,10,0.285,0.063951,0.010659,0.00057,0.010088,186.97,True
top_30pct,126d,25,0.285,0.063951,0.010659,0.001425,0.009233,186.97,True
top_30pct,126d,50,0.285,0.063951,0.010659,0.00285,0.007808,186.97,True
