model,horizon,test_year,train_rows,test_rows,test_tickers,chosen_lambda,fold_mean_daily_rank_ic,embargo_trading_days,regime_fallback
sector_neutral_momentum,126d,2022,0,31877,127,,-0.054499,126,
sector_neutral_momentum,126d,2023,0,31750,127,,0.051716,126,
sector_neutral_momentum,126d,2024,0,32041,128,,-0.016471,126,
sector_neutral_momentum,126d,2025,0,30464,128,,0.08133,126,
ar_style_mean_reversion,21d,2020,0,32131,127,,-0.024125,21,
ar_style_mean_reversion,21d,2021,0,32004,127,,0.048053,21,
ar_style_mean_reversion,21d,2022,0,31877,127,,0.012985,21,
ar_style_mean_reversion,21d,2023,0,31750,127,,0.033796,21,
ar_style_mean_reversion,21d,2024,0,32041,128,,0.007398,21,
ar_style_mean_reversion,21d,2025,0,32000,128,,-0.009209,21,
ar_style_mean_reversion,21d,2026,0,11904,128,,-0.03929,21,
ar_style_mean_reversion,63d,2020,0,32131,127,,-0.027377,63,
ar_style_mean_reversion,63d,2021,0,32004,127,,0.061505,63,
ar_style_mean_reversion,63d,2022,0,31877,127,,0.056273,63,
ar_style_mean_reversion,63d,2023,0,31750,127,,0.035294,63,
ar_style_mean_reversion,63d,2024,0,32041,128,,0.046903,63,
ar_style_mean_reversion,63d,2025,0,32000,128,,-0.002795,63,
ar_style_mean_reversion,63d,2026,0,6528,128,,0.010574,63,
ar_style_mean_reversion,126d,2020,0,32131,127,,-0.007317,126,
ar_style_mean_reversion,126d,2021,0,32004,127,,0.072936,126,
ar_style_mean_reversion,126d,2022,0,31877,127,,0.044435,126,
ar_style_mean_reversion,126d,2023,0,31750,127,,-0.01558,126,
ar_style_mean_reversion,126d,2024,0,32041,128,,0.041843,126,
ar_style_mean_reversion,126d,2025,0,30464,128,,-0.012094,126,
sec_fundamental_rank_composite,21d,2020,0,32131,127,,0.044392,21,
sec_fundamental_rank_composite,21d,2021,0,32004,127,,0.033398,21,
sec_fundamental_rank_composite,21d,2022,0,31877,127,,-0.01295,21,
sec_fundamental_rank_composite,21d,2023,0,31750,127,,0.086254,21,
sec_fundamental_rank_composite,21d,2024,0,32041,128,,0.00035,21,
sec_fundamental_rank_composite,21d,2025,0,32000,128,,-0.026998,21,
sec_fundamental_rank_composite,21d,2026,0,11904,128,,0.01715,21,
sec_fundamental_rank_composite,63d,2020,0,32131,127,,0.032077,63,
sec_fundamental_rank_composite,63d,2021,0,32004,127,,0.066263,63,
sec_fundamental_rank_composite,63d,2022,0,31877,127,,-0.052963,63,
sec_fundamental_rank_composite,63d,2023,0,31750,127,,0.138452,63,
sec_fundamental_rank_composite,63d,2024,0,32041,128,,-0.053256,63,
sec_fundamental_rank_composite,63d,2025,0,32000,128,,-0.048348,63,
sec_fundamental_rank_composite,63d,2026,0,6528,128,,0.084668,63,
sec_fundamental_rank_composite,126d,2020,0,32131,127,,-0.042431,126,
sec_fundamental_rank_composite,126d,2021,0,32004,127,,0.042913,126,
sec_fundamental_rank_composite,126d,2022,0,31877,127,,-0.047622,126,
sec_fundamental_rank_composite,126d,2023,0,31750,127,,0.156624,126,
sec_fundamental_rank_composite,126d,2024,0,32041,128,,-0.093908,126,
sec_fundamental_rank_composite,126d,2025,0,30464,128,,-0.071458,126,
combined_multisignal_rank_composite,21d,2020,0,32131,127,,0.080711,21,
combined_multisignal_rank_composite,21d,2021,0,32004,127,,-0.021927,21,
combined_multisignal_rank_composite,21d,2022,0,31877,127,,-0.061789,21,
combined_multisignal_rank_composite,21d,2023,0,31750,127,,0.021551,21,
combined_multisignal_rank_composite,21d,2024,0,32041,128,,0.025079,21,
combined_multisignal_rank_composite,21d,2025,0,32000,128,,-0.00671,21,
combined_multisignal_rank_composite,21d,2026,0,11904,128,,-0.029196,21,
