model,horizon,year,mean_daily_rank_ic
ridge_technical_only,21d,2020,0.054414
ridge_technical_only,21d,2021,-0.009853
ridge_technical_only,21d,2022,0.03277
ridge_technical_only,21d,2023,0.02638
ridge_technical_only,21d,2024,-0.012601
ridge_technical_only,21d,2025,0.059838
ridge_technical_only,21d,2026,0.043279
ridge_technical_only,63d,2020,0.127011
ridge_technical_only,63d,2021,-0.058966
ridge_technical_only,63d,2022,0.006928
ridge_technical_only,63d,2023,0.105977
ridge_technical_only,63d,2024,-0.022997
ridge_technical_only,63d,2025,0.157455
ridge_technical_only,63d,2026,0.203288
ridge_technical_only,126d,2020,0.108506
ridge_technical_only,126d,2021,-0.108464
ridge_technical_only,126d,2022,0.069398
ridge_technical_only,126d,2023,0.216972
ridge_technical_only,126d,2024,-0.002658
ridge_technical_only,126d,2025,0.216324
ridge_sec_fundamental_only,21d,2020,0.031641
ridge_sec_fundamental_only,21d,2021,-0.002813
ridge_sec_fundamental_only,21d,2022,0.011664
ridge_sec_fundamental_only,21d,2023,0.09995
ridge_sec_fundamental_only,21d,2024,-0.004062
ridge_sec_fundamental_only,21d,2025,-0.092223
ridge_sec_fundamental_only,21d,2026,-0.025035
ridge_sec_fundamental_only,63d,2020,0.047095
ridge_sec_fundamental_only,63d,2021,0.074507
ridge_sec_fundamental_only,63d,2022,0.056809
ridge_sec_fundamental_only,63d,2023,0.18792
ridge_sec_fundamental_only,63d,2024,-0.044562
ridge_sec_fundamental_only,63d,2025,-0.149085
ridge_sec_fundamental_only,63d,2026,-0.104202
ridge_sec_fundamental_only,126d,2020,0.013062
ridge_sec_fundamental_only,126d,2021,0.052509
ridge_sec_fundamental_only,126d,2022,0.164368
ridge_sec_fundamental_only,126d,2023,0.157057
ridge_sec_fundamental_only,126d,2024,-0.095959
ridge_sec_fundamental_only,126d,2025,-0.221033
ridge_combined_no_earnings,21d,2020,0.026679
ridge_combined_no_earnings,21d,2021,0.014962
ridge_combined_no_earnings,21d,2022,0.022232
ridge_combined_no_earnings,21d,2023,0.111081
ridge_combined_no_earnings,21d,2024,-0.026776
ridge_combined_no_earnings,21d,2025,-0.020374
ridge_combined_no_earnings,21d,2026,-0.037147
ridge_combined_no_earnings,63d,2020,0.100575
ridge_combined_no_earnings,63d,2021,0.05552
ridge_combined_no_earnings,63d,2022,0.060638
ridge_combined_no_earnings,63d,2023,0.201858
ridge_combined_no_earnings,63d,2024,-0.06655
ridge_combined_no_earnings,63d,2025,-0.030459
ridge_combined_no_earnings,63d,2026,-0.007725
ridge_combined_no_earnings,126d,2020,0.015854
ridge_combined_no_earnings,126d,2021,0.034613
ridge_combined_no_earnings,126d,2022,0.132311
ridge_combined_no_earnings,126d,2023,0.247137
ridge_combined_no_earnings,126d,2024,-0.104676
ridge_combined_no_earnings,126d,2025,-0.050149
