feature,rows,non_null_count,non_null_fraction,mean,std,min,median,max
ar1_beta_63d,303201,299453,0.9876,-0.032033,0.13704,-0.747748,-0.029097,1.048907
ar1_residual_zscore_63d,303201,295873,0.9758,-0.009324,1.021032,-7.538183,0.010352,7.176095
rolling_mean_reversion_signal_21d,303201,302038,0.9962,-0.227585,1.300953,-4.271366,-0.388342,4.271301
trend_persistence_63d,303201,299512,0.9878,0.058204,0.121953,-0.492063,0.047619,0.587302
forecast_error_direction_21d,303201,300750,0.9919,0.006095,0.999589,-1.0,1.0,1.0
