feature,rows,non_null_count,non_null_fraction,mean,std,min,median,max
return_5d,303201,302911,0.999,0.003661,0.042629,-0.474705,0.004085,0.847815
return_21d,303201,301979,0.996,0.015447,0.086176,-0.717468,0.014697,1.300316
return_63d,303201,299512,0.9878,0.045448,0.146149,-0.710973,0.040512,1.857399
return_126d,303201,295873,0.9758,0.092508,0.217936,-0.74994,0.076018,5.114833
momentum_21_126,303201,295873,0.9758,0.077206,0.200137,-1.129162,0.064324,4.911547
volatility_21d,303201,301979,0.996,0.271195,0.156621,0.03834,0.233662,2.22261
volatility_63d,303201,299512,0.9878,0.280101,0.13679,0.064911,0.248009,1.462823
drawdown_63d,303201,299571,0.988,-0.068718,0.073747,-0.724924,-0.046817,0.0
price_vs_sma_21d,303201,302038,0.9962,0.006114,0.047601,-0.588451,0.007583,0.565975
price_vs_sma_63d,303201,299571,0.988,0.018827,0.081666,-0.676588,0.020405,1.153755
realized_skew_63d,303201,299512,0.9878,-0.145236,1.122256,-6.684222,-0.14336,5.712798
realized_kurtosis_63d,303201,299512,0.9878,3.220316,5.057669,-1.109487,1.519932,50.258154
