feature,rows,non_null_count,non_null_fraction,mean,std,min,median,max
eps_surprise,303201,55913,0.1844,0.092905,0.811036,-13.6,0.06,10.2
eps_surprise_pct,303201,55913,0.1844,35.096008,1159.68291,-6966.6667,4.4335,34000.0
trailing_4q_avg_surprise_pct,303201,55913,0.1844,6.725224,312.660912,-3227.320075,4.8322,8462.7011
trailing_4q_positive_surprise_rate,303201,55913,0.1844,0.831184,0.21689,0.0,1.0,1.0
surprise_acceleration,303201,55913,0.1844,10.916504,1505.411199,-33929.8507,-0.2812,34213.8655
days_since_last_earnings,303201,55913,0.1844,44.977215,26.737164,0.0,44.0,119.0
