feature,rows,non_null_count,non_null_fraction,mean,std,min,median,max
operating_margin,303201,62763,0.207,0.20077,0.165161,-0.524974,0.173931,0.79903
net_margin,303201,75806,0.25,0.151653,0.144868,-1.003877,0.14208,0.961996
cash_conversion,303201,161756,0.5335,1.403707,5.824549,-77.4,1.259831,131.285714
accrual_proxy,303201,161704,0.5333,-0.019568,0.040313,-0.341412,-0.013851,0.294343
log_total_assets,303201,266726,0.8797,24.970192,1.325917,16.004877,24.892053,29.220353
filing_lag_days,303201,303201,1.0,33.065082,9.409849,10.0,32.0,132.0
debt_proxy_total_liabilities_to_assets,303201,187669,0.619,0.676712,0.238348,0.09861,0.67723,1.422498
revenue_yoy_growth,303201,101189,0.3337,0.1154,0.221636,-0.535948,0.072839,3.157586
eps_diluted_yoy_growth,303201,147499,0.4865,0.559685,5.249384,-71.4,0.110294,168.2
