feature,feature_family,horizon,non_null_feature_fraction,observation_count,ic_date_count,mean_rank_ic,median_rank_ic,ic_hit_rate,ic_ir,absolute_mean_ic
return_5d,technical_price,21d,0.999,300223,2602,-0.012666,-0.013061,0.5281,-0.0636,0.012666
return_5d,technical_price,63d,0.999,294847,2560,-0.014664,-0.009719,0.5172,-0.0747,0.014664
return_5d,technical_price,126d,0.999,286783,2497,-0.00543,-0.005554,0.5122,-0.0291,0.00543
return_21d,technical_price,21d,0.996,299291,2586,-0.021333,-0.012913,0.5286,-0.1093,0.021333
return_21d,technical_price,63d,0.996,293915,2544,-0.0215,-0.013941,0.5283,-0.11,0.0215
return_21d,technical_price,126d,0.996,285851,2481,-0.010912,-0.011073,0.524,-0.0573,0.010912
return_63d,technical_price,21d,0.9878,296824,2544,-0.012636,0.005257,0.4917,-0.059,0.012636
return_63d,technical_price,63d,0.9878,291448,2502,-0.021222,-0.000369,0.5012,-0.1028,0.021222
return_63d,technical_price,126d,0.9878,283384,2439,0.005556,0.016205,0.5334,0.0287,0.005556
return_126d,technical_price,21d,0.9758,293185,2481,-0.005566,0.01155,0.4748,-0.025,0.005566
return_126d,technical_price,63d,0.9758,287809,2439,0.003033,0.035344,0.5658,0.0147,0.003033
return_126d,technical_price,126d,0.9758,279745,2376,0.025146,0.027191,0.5568,0.135,0.025146
momentum_21_126,technical_price,21d,0.9758,293185,2481,-0.004138,0.003011,0.4962,-0.0193,0.004138
momentum_21_126,technical_price,63d,0.9758,287809,2439,0.009548,0.032406,0.5683,0.0478,0.009548
momentum_21_126,technical_price,126d,0.9758,279745,2376,0.029869,0.040738,0.577,0.1662,0.029869
volatility_21d,technical_price,21d,0.996,299291,2586,0.049871,0.044799,0.5684,0.2149,0.049871
volatility_21d,technical_price,63d,0.996,293915,2544,0.07029,0.081687,0.625,0.3015,0.07029
volatility_21d,technical_price,126d,0.996,285851,2481,0.098154,0.112158,0.7102,0.4622,0.098154
volatility_63d,technical_price,21d,0.9878,296824,2544,0.047173,0.051891,0.5814,0.1846,0.047173
volatility_63d,technical_price,63d,0.9878,291448,2502,0.08459,0.101811,0.6471,0.3438,0.08459
volatility_63d,technical_price,126d,0.9878,283384,2439,0.114723,0.133096,0.7286,0.5127,0.114723
drawdown_63d,technical_price,21d,0.988,296883,2545,-0.030982,-0.018004,0.534,-0.148,0.030982
drawdown_63d,technical_price,63d,0.988,291507,2503,-0.049916,-0.031137,0.5661,-0.242,0.049916
drawdown_63d,technical_price,126d,0.988,283443,2440,-0.042821,-0.0333,0.5643,-0.2217,0.042821
price_vs_sma_21d,technical_price,21d,0.9962,299350,2587,-0.021573,-0.020142,0.5419,-0.1086,0.021573
price_vs_sma_21d,technical_price,63d,0.9962,293974,2545,-0.022678,-0.019624,0.5379,-0.1135,0.022678
price_vs_sma_21d,technical_price,126d,0.9962,285910,2482,-0.012341,-0.010233,0.5201,-0.065,0.012341
price_vs_sma_63d,technical_price,21d,0.988,296883,2545,-0.02038,-0.006616,0.512,-0.1015,0.02038
