feature,rows,non_null_count,non_null_fraction,mean,std,min,median,max
spy_return_21d,303201,301983,0.996,0.013238,0.046607,-0.327513,0.019345,0.251851
spy_return_63d,303201,299558,0.988,0.038208,0.071216,-0.297714,0.04691,0.399359
spy_volatility_21d,303201,301983,0.996,0.153326,0.103412,0.034158,0.128251,0.936683
spy_volatility_63d,303201,299558,0.988,0.160424,0.091515,0.051387,0.134911,0.604435
spy_drawdown_63d,303201,299616,0.9882,-0.030383,0.04464,-0.337173,-0.010925,0.0
spy_above_sma_200d,303201,303201,1.0,0.795238,0.403528,0.0,1.0,1.0
market_risk_off_flag,303201,303201,1.0,0.205161,0.40382,0.0,0.0,1.0
market_high_vol_flag,303201,303201,1.0,0.207344,0.405405,0.0,0.0,1.0
cross_sectional_dispersion_21d,303201,301983,0.996,0.070493,0.019872,0.034611,0.066644,0.199788
cross_sectional_breadth_21d,303201,301983,0.996,0.586461,0.216058,0.015625,0.625,1.0
