feature,rows,non_null_count,non_null_fraction,mean,std,min,median,max
month_of_year,303201,303201,1.0,6.460262,3.442042,1.0,6.0,12.0
quarter_of_year,303201,303201,1.0,2.486684,1.118905,1.0,2.0,4.0
day_of_week,303201,303201,1.0,2.023602,1.399742,0.0,2.0,4.0
is_month_start,303201,303201,1.0,0.030923,0.17311,0.0,0.0,1.0
is_month_end,303201,303201,1.0,0.032995,0.178623,0.0,0.0,1.0
is_quarter_end,303201,303201,1.0,0.01059,0.102363,0.0,0.0,1.0
is_year_end,303201,303201,1.0,0.00251,0.050036,0.0,0.0,1.0
turn_of_month_window,303201,303201,1.0,0.274283,0.446153,0.0,0.0,1.0
january_flag,303201,303201,1.0,0.083423,0.276521,0.0,0.0,1.0
sell_in_may_window,303201,303201,1.0,0.499081,0.5,0.0,0.0,1.0
historical_same_month_avg_return_by_ticker,303201,287504,0.9482,0.017205,0.037693,-0.232857,0.015,0.351903
historical_same_month_win_rate_by_ticker,303201,287504,0.9482,0.607944,0.261842,0.0,0.6,1.0
historical_month_rank_by_ticker,303201,287504,0.9482,6.329724,3.427039,1.0,6.0,12.0
