ticker,review_label,sector,unknown_sector,low_liquidity,missing_leg,extreme_score,cohort,is_new_cohort,in_concentrated_sector
OTIS,HOLD,Industrials,False,False,False,False,new,True,False
NDSN,HOLD,Industrials,False,True,False,False,new,True,False
EOG,HOLD,Energy,False,False,False,False,old,False,False
BTI,HOLD,Consumer Staples,False,True,False,False,old,False,False
AIZ,HOLD,Financials,False,True,False,False,new,True,False
LIN,HOLD,Materials,False,False,False,False,old,False,False
HTHIY,HOLD,Information Technology,False,True,False,False,old,False,False
CVX,HOLD,Energy,False,False,False,False,old,False,False
ABT,HOLD,Health Care,False,False,False,False,old,False,False
GRMN,HOLD,Consumer Discretionary,False,True,False,False,new,True,False
NDAQ,HOLD,Financials,False,False,False,False,new,True,False
ES,HOLD,Utilities,False,False,False,False,new,True,False
MSCI,HOLD,Financials,False,False,False,False,new,True,False
CL,HOLD,Consumer Staples,False,False,False,False,old,False,False
COIN,HOLD,Financials,False,False,False,False,new,True,False
ITUB,HOLD,Financials,False,True,False,False,old,False,False
MSFT,HOLD,Information Technology,False,False,False,False,old,False,False
ROL,HOLD,Industrials,False,True,False,False,new,True,False
AEE,HOLD,Utilities,False,True,False,False,new,True,False
PKG,HOLD,Materials,False,True,False,False,new,True,False
GEN,HOLD,Information Technology,False,False,False,False,new,True,False
HLT,HOLD,Consumer Discretionary,False,False,False,False,old,False,False
DLR,HOLD,Real Estate,False,False,False,False,old,False,False
WM,HOLD,Industrials,False,False,False,False,old,False,False
AOS,HOLD,Industrials,False,True,False,False,new,True,False
PGR,HOLD,Financials,False,False,False,False,old,False,False
BR,HOLD,Industrials,False,True,False,False,new,True,False
FIX,HOLD,Industrials,False,True,False,False,old,False,False
TECH,HOLD,Health Care,False,False,False,False,new,True,False
CINF,HOLD,Financials,False,True,False,False,new,True,False
DD,HOLD,Materials,False,True,False,False,new,True,False
CF,HOLD,Materials,False,False,False,False,new,True,False
AEM,HOLD,Materials,False,False,False,False,old,False,False
ISRG,HOLD,Health Care,False,False,False,False,old,False,False
CPT,HOLD,Real Estate,False,True,False,False,new,True,False
CSGP,HOLD,Real Estate,False,False,False,False,new,True,False
IFF,HOLD,Materials,False,False,False,False,new,True,False
ARES,HOLD,Financials,False,True,False,False,new,True,False
AMD,HOLD,Information Technology,False,False,False,False,old,False,False
CB,HOLD,Financials,False,False,False,False,old,False,False
HAS,HOLD,Consumer Discretionary,False,True,False,False,new,True,False
CMCSA,HOLD,Communication Services,False,False,False,False,old,False,False
ACGL,HOLD,Financials,False,True,False,False,new,True,False
AMT,HOLD,Real Estate,False,False,False,False,old,False,False
CYATY,HOLD,Industrials,False,True,False,False,old,False,False
PH,HOLD,Industrials,False,False,False,False,old,False,False
COF,HOLD,Financials,False,False,False,False,old,False,False
UNP,HOLD,Industrials,False,False,False,False,old,False,False
TMO,HOLD,Health Care,False,False,False,False,old,False,False
AJG,HOLD,Financials,False,False,False,False,new,True,False
EL,HOLD,Consumer Staples,False,False,False,False,new,True,False
DTE,HOLD,Utilities,False,False,False,False,new,True,False
AME,HOLD,Industrials,False,False,False,False,new,True,False
KEYS,HOLD,Information Technology,False,False,False,False,old,False,False
PG,HOLD,Consumer Staples,False,False,False,False,old,False,False
AVB,HOLD,Real Estate,False,False,False,False,new,True,False
KMB,HOLD,Consumer Staples,False,False,False,False,new,True,False
SAN,HOLD,Financials,False,True,False,False,old,False,False
DOW,HOLD,Materials,False,False,False,False,new,True,False
EQNR,HOLD,Energy,False,True,False,False,old,False,False
STZ,HOLD,Consumer Staples,False,False,False,False,new,True,False
JNJ,HOLD,Health Care,False,False,False,False,old,False,False
FTV,HOLD,Industrials,False,False,False,False,new,True,False
GLW,HOLD,Information Technology,False,False,False,False,old,False,False
C,HOLD,Financials,False,False,False,False,old,False,False
LNT,HOLD,Utilities,False,True,False,False,new,True,False
PODD,HOLD,Health Care,False,True,False,False,new,True,False
AES,HOLD,Utilities,False,True,False,False,new,True,False
TRV,HOLD,Financials,False,False,False,False,old,False,False
COP,HOLD,Energy,False,False,False,False,old,False,False
NOK,HOLD,Information Technology,False,False,False,False,old,False,False
INVH,HOLD,Real Estate,False,True,False,False,new,True,False
CNQ,HOLD,Energy,False,True,False,False,old,False,False
TT,HOLD,Industrials,False,False,False,False,old,False,False
CHTR,HOLD,Communication Services,False,False,False,False,new,True,False
NET,HOLD,Information Technology,False,False,False,False,old,False,False
EXC,HOLD,Utilities,False,False,False,False,new,True,False
KMI,HOLD,Energy,False,False,False,False,old,False,False
PCAR,HOLD,Industrials,False,False,False,False,old,False,False
MCHP,HOLD,Information Technology,False,False,False,False,new,True,False
CSX,HOLD,Industrials,False,False,False,False,old,False,False
