ticker,before_rank_sn,after_rank_sn,rank_delta(up=+),before_comp_sn,after_comp_sn,before_label,after_label
BKNG,4,3,1,6.53289,7.05134,LONG,LONG
LULU,7,8,-1,5.28296,4.4089,LONG,LONG
EXE,13,14,-1,3.65676,3.41343,LONG,LONG
SHOP,22,21,1,3.01957,2.81219,LONG,LONG
FAST,32,33,-1,2.44255,2.3897,LONG,LONG
GNRC,46,47,-1,2.01506,1.92188,LONG,LONG
JBHT,61,62,-1,1.67935,1.59606,LONG,LONG
MCK,82,81,1,1.28008,1.29384,LONG,LONG
AAPL,97,96,1,1.06719,1.08857,LONG,LONG
CNQ,186,185,1,0.15835,0.292,HOLD,HOLD
PYPL,205,204,1,0.02758,0.16828,HOLD,HOLD
AXP,230,231,-1,-0.13475,-0.00274,HOLD,HOLD
SHEL,335,334,1,-0.68455,-0.6426,HOLD,HOLD
TAP,415,416,-1,-1.36913,-1.41955,SHORT,SHORT
SOLV,451,452,-1,-1.94439,-2.2828,SHORT,SHORT
PPG,453,454,-1,-1.98438,-2.47992,SHORT,SHORT
OMC,459,460,-1,-2.36542,-2.62675,SHORT,SHORT
PNR,468,467,1,-3.09149,-3.2025,SHORT,SHORT
PSX,476,477,-1,-3.79223,-4.10584,SHORT,SHORT
EXPE,1,1,0,9.21291,8.76583,LONG,LONG
STX,5,5,0,5.73212,5.36829,LONG,LONG
SNDK,12,12,0,3.67953,3.55072,LONG,LONG
VRT,28,28,0,2.59402,2.52691,LONG,LONG
SNA,66,66,0,1.56452,1.49285,LONG,LONG
CB,152,152,0,0.39348,0.53319,HOLD,HOLD
C,177,177,0,0.21614,0.34753,HOLD,HOLD
ADM,375,375,0,-0.91675,-0.91771,HOLD,HOLD
SWK,465,465,0,-2.80267,-2.9245,SHORT,SHORT
CLX,471,471,0,-3.37108,-3.63907,SHORT,SHORT
J,472,472,0,-3.50166,-3.64319,SHORT,SHORT
HII,473,473,0,-3.55965,-3.70721,SHORT,SHORT
MAS,480,480,0,-4.58344,-4.69864,SHORT,SHORT
CTVA,482,482,0,-6.12585,-5.62798,SHORT,SHORT
ASML,483,483,0,-8.31654,-8.80095,SHORT,SHORT
