variant_id,oos_pooled_ic,oos_ic_t,oos_frac_windows_positive,n_windows,both_subperiods_positive,pre2020_ic,post2020_ic
w_50_50,0.029554,1.505,0.5,16,True,0.043831,0.029845
w_60_40,0.031693,1.634,0.5,16,True,0.046367,0.031229
w_40_60,0.030512,1.639,0.688,16,True,0.040013,0.032273
w_70_30,0.032944,1.662,0.5,16,True,0.04698,0.031019
w_30_70,0.030471,1.644,0.688,16,True,0.037969,0.032921
w_fcf_only_100_0,0.030177,1.44,0.5,16,True,0.047195,0.027417
w_accruals_only_0_100,0.033963,2.093,0.75,16,True,0.031647,0.036403
zcap_abs_3_0,0.029418,1.496,0.5,16,True,0.043607,0.029799
zcap_abs_2_5,0.029499,1.503,0.5,16,True,0.043166,0.029942
winsorize_1_99,0.029461,1.501,0.5,16,True,0.043365,0.029724
winsorize_5_95,0.030264,1.533,0.5,16,True,0.043908,0.030305
liq_p25_baseline,0.034294,1.798,0.5,16,True,0.028177,0.031448
liq_p50_stricter,0.02466,1.198,0.625,16,True,0.015695,0.027933
sector_cap_25_baseline,0.029554,1.505,0.5,16,True,0.043831,0.029845
sector_cap_20_stricter,0.029554,1.505,0.5,16,True,0.043831,0.029845
best_weight_plus_zcap_3_0,0.031557,1.626,0.5,16,True,0.045709,0.031209
best_weight_plus_liq_p50,0.027605,1.293,0.625,16,True,0.020306,0.02883
best_weight_plus_sector_cap_20,0.031693,1.634,0.5,16,True,0.046367,0.031229
