ticker,first_price_date,last_price_date,first_feature_asof_date,first_eligible_scoring_date,first_aligned_scoring_date,last_aligned_scoring_date,aligned_rows,median_feature_age_days,max_feature_age_days
AAPL,2016-01-04,2026-06-16,2018-11-05T13:01:40.000Z,2018-11-06,2018-11-06,2026-06-16,1911,708.0,2096.0
AMZN,2016-01-04,2026-06-16,2016-01-29,2016-02-01,2016-02-01,2026-06-16,2609,305.0,2197.0
BAC,2016-01-04,2026-06-16,2024-07-30,2024-07-31,2024-07-31,2026-06-16,471,43.0,119.0
CAT,2016-01-04,2026-06-16,2010-11-04,2016-01-04,2016-01-04,2026-06-16,2628,2752.5,4660.0
CVX,2016-01-04,2026-06-16,2024-08-07T15:11:12.000Z,2024-08-08,2024-08-08,2026-06-16,465,43.0,110.0
DIS,2016-01-04,2026-06-16,2024-08-07T10:54:11.000Z,2024-08-08,2024-08-08,2026-06-16,465,43.0,99.0
GE,2016-01-04,2026-06-16,2012-11-07,2016-01-04,2016-01-04,2026-06-16,2628,646.5,2553.0
GOOGL,2016-01-04,2026-06-16,2024-07-23T23:12:07.000Z,2024-07-24,2024-07-24,2026-06-16,476,43.0,99.0
HD,2016-01-04,2026-06-16,2009-09-03,2016-01-04,2016-01-04,2026-06-16,2628,3101.5,5009.0
JNJ,2016-01-04,2026-06-16,2013-08-01,2016-01-04,2016-01-04,2026-06-16,2628,1466.5,3373.0
JPM,2016-01-04,2026-06-16,2019-02-26,2019-02-27,2019-02-27,2026-06-16,1836,108.0,364.0
KO,2016-01-04,2026-06-16,2024-07-29T15:54:36.000Z,2024-07-30,2024-07-30,2026-06-16,472,43.0,120.0
META,2016-01-04,2026-06-16,2017-02-03,2017-02-06,2017-02-06,2026-06-16,2353,391.0,2101.0
MSFT,2016-01-04,2026-06-16,2010-04-22,2016-01-04,2016-01-04,2026-06-16,2628,3024.5,4933.0
NEE,2016-01-04,2026-06-16,2012-10-26,2016-01-04,2016-01-04,2026-06-16,2628,2010.5,3918.0
NVDA,2016-01-04,2026-06-16,2018-05-22,2018-05-23,2018-05-23,2026-06-16,2027,124.0,1470.0
PFE,2016-01-04,2026-06-16,2024-08-05T19:54:43.000Z,2024-08-06,2024-08-06,2026-06-16,467,43.0,115.0
PG,2016-01-04,2026-06-16,2024-08-05T20:16:53.000Z,2024-08-06,2024-08-06,2026-06-16,467,43.0,102.0
UNH,2016-01-04,2026-06-16,2014-05-06,2016-01-04,2016-01-04,2026-06-16,2628,1392.5,3299.0
XOM,2016-01-04,2026-06-16,2024-08-05T17:15:44.000Z,2024-08-06,2024-08-06,2026-06-16,467,42.0,107.0
