model,horizon_days,fold,val_start,val_end,n_obs,n_dates,mean_rank_ic,median_rank_ic,std_rank_ic,information_ratio,fraction_dates_positive_ic,top_quintile_excess,bottom_quintile_excess,top_minus_bottom_spread,hit_rate_top_quintile,positive_spread_fraction,top_quintile_max_sector_share,turnover_proxy
OPTIONAL_LOGISTIC_OUTPERFORMER,63,12,2025-04-10,2025-10-09,16128,126,0.087614,0.078786,0.119053,0.735925,0.746032,0.014268,-0.039907,0.054175,0.463675,0.84127,0.289988,0.119692
MODEL_FREE_COMPOSITE_BASELINE,5,13,2025-10-10,2026-04-13,16128,126,-0.000491,0.000737,0.180767,-0.002718,0.507937,0.000795,0.001285,-0.000489,0.513736,0.436508,0.205433,0.223077
RIDGE_LINEAR_RANK_MODEL,5,13,2025-10-10,2026-04-13,16128,126,0.042302,0.065547,0.171011,0.247363,0.595238,0.002512,0.000111,0.002401,0.526862,0.626984,0.330586,0.221846
OPTIONAL_LOGISTIC_OUTPERFORMER,5,13,2025-10-10,2026-04-13,16128,126,0.053126,0.05573,0.220196,0.241265,0.587302,0.004706,0.000276,0.00443,0.553419,0.603175,0.358974,0.233846
MODEL_FREE_COMPOSITE_BASELINE,21,13,2025-10-10,2026-04-13,16128,126,0.002294,-0.00487,0.153079,0.014989,0.47619,0.00246,0.004706,-0.002245,0.506716,0.468254,0.205433,0.223077
RIDGE_LINEAR_RANK_MODEL,21,13,2025-10-10,2026-04-13,16128,126,0.043765,0.077172,0.164923,0.265365,0.714286,0.009757,-0.001408,0.011165,0.520452,0.706349,0.387363,0.124615
OPTIONAL_LOGISTIC_OUTPERFORMER,21,13,2025-10-10,2026-04-13,16128,126,0.058197,0.092955,0.188555,0.308649,0.68254,0.005448,-5.3e-05,0.005501,0.546398,0.674603,0.401099,0.146154
MODEL_FREE_COMPOSITE_BASELINE,63,13,2025-10-10,2026-04-13,13824,108,0.044639,0.022393,0.146006,0.305736,0.564815,0.022946,0.003312,0.019634,0.501425,0.564815,0.232906,0.222861
RIDGE_LINEAR_RANK_MODEL,63,13,2025-10-10,2026-04-13,13824,108,0.101847,0.085845,0.167778,0.607033,0.611111,0.074594,-0.002918,0.077512,0.519943,0.592593,0.448362,0.080158
OPTIONAL_LOGISTIC_OUTPERFORMER,63,13,2025-10-10,2026-04-13,13824,108,0.042069,-0.008612,0.175206,0.240113,0.462963,0.056255,0.000149,0.056106,0.507123,0.601852,0.543447,0.089863
MODEL_FREE_COMPOSITE_BASELINE,5,14,2026-04-14,2026-06-16,5120,40,0.062855,0.060478,0.234342,0.268218,0.625,-0.000748,-0.005832,0.005084,0.472115,0.5,0.186538,0.204142
RIDGE_LINEAR_RANK_MODEL,5,14,2026-04-14,2026-06-16,5120,40,0.031147,0.01743,0.220141,0.141485,0.525,0.004593,-0.000781,0.005374,0.485577,0.475,0.256731,0.25641
OPTIONAL_LOGISTIC_OUTPERFORMER,5,14,2026-04-14,2026-06-16,5120,40,0.022683,0.003084,0.239412,0.094744,0.5,-0.001615,0.001616,-0.003231,0.455769,0.4,0.3375,0.226824
MODEL_FREE_COMPOSITE_BASELINE,21,14,2026-04-14,2026-06-16,3072,24,-0.019287,0.0097,0.150886,-0.127828,0.541667,-0.030607,-0.002189,-0.028418,0.346154,0.25,0.232372,0.177258
RIDGE_LINEAR_RANK_MODEL,21,14,2026-04-14,2026-06-16,3072,24,0.032297,0.060274,0.161719,0.199713,0.583333,0.026175,-0.005283,0.031458,0.471154,0.875,0.346154,0.122074
OPTIONAL_LOGISTIC_OUTPERFORMER,21,14,2026-04-14,2026-06-16,3072,24,-0.051272,-0.020137,0.228368,-0.224516,0.5,-0.029846,-0.008349,-0.021496,0.370192,0.416667,0.293269,0.14214
MODEL_FREE_COMPOSITE_BASELINE,63,14,2026-04-14,2026-06-16,0,0,,,,,,,,,,,,
RIDGE_LINEAR_RANK_MODEL,63,14,2026-04-14,2026-06-16,0,0,,,,,,,,,,,,
OPTIONAL_LOGISTIC_OUTPERFORMER,63,14,2026-04-14,2026-06-16,0,0,,,,,,,,,,,,
