model,horizon_days,fold,val_start,val_end,n_obs,n_dates,mean_rank_ic,median_rank_ic,std_rank_ic,information_ratio,fraction_dates_positive_ic,top_quintile_excess,bottom_quintile_excess,top_minus_bottom_spread,hit_rate_top_quintile,positive_spread_fraction,top_quintile_max_sector_share,turnover_proxy
RIDGE_LINEAR_RANK_MODEL,5,3,2020-10-05,2021-04-06,16128,126,0.002227,0.002143,0.21758,0.010234,0.5,0.002755,0.002964,-0.000209,0.485958,0.468254,0.296398,0.237846
OPTIONAL_LOGISTIC_OUTPERFORMER,5,3,2020-10-05,2021-04-06,16128,126,-0.014751,-0.055999,0.253079,-0.058288,0.444444,0.001893,0.004865,-0.002973,0.493284,0.47619,0.34188,0.205231
MODEL_FREE_COMPOSITE_BASELINE,21,3,2020-10-05,2021-04-06,16128,126,-0.106878,-0.112849,0.243757,-0.438459,0.349206,-0.003463,0.027089,-0.030552,0.424603,0.349206,0.197802,0.245846
RIDGE_LINEAR_RANK_MODEL,21,3,2020-10-05,2021-04-06,16128,126,0.060414,0.05727,0.155021,0.389715,0.68254,0.017068,0.000711,0.016357,0.511905,0.690476,0.333028,0.121231
OPTIONAL_LOGISTIC_OUTPERFORMER,21,3,2020-10-05,2021-04-06,16128,126,0.048491,0.056306,0.16903,0.286878,0.587302,0.015186,0.004248,0.010939,0.508852,0.603175,0.357753,0.151385
MODEL_FREE_COMPOSITE_BASELINE,63,3,2020-10-05,2021-04-06,16128,126,-0.210639,-0.185857,0.210338,-1.001432,0.18254,-0.015032,0.073041,-0.088072,0.403846,0.166667,0.197802,0.245846
RIDGE_LINEAR_RANK_MODEL,63,3,2020-10-05,2021-04-06,16128,126,0.070798,0.141598,0.174101,0.406651,0.730159,0.00881,-0.00807,0.01688,0.510073,0.68254,0.351343,0.071385
OPTIONAL_LOGISTIC_OUTPERFORMER,63,3,2020-10-05,2021-04-06,16128,126,0.026676,0.05042,0.124342,0.21454,0.650794,0.015402,0.007813,0.00759,0.525641,0.595238,0.385531,0.090154
MODEL_FREE_COMPOSITE_BASELINE,5,4,2021-04-07,2021-10-04,16128,126,-0.023235,-0.042101,0.225181,-0.103186,0.428571,-0.000925,0.001684,-0.002609,0.466728,0.349206,0.238706,0.233231
RIDGE_LINEAR_RANK_MODEL,5,4,2021-04-07,2021-10-04,16128,126,-0.024719,-0.025044,0.21981,-0.112455,0.460317,-0.000555,0.000751,-0.001306,0.460623,0.460317,0.233211,0.276
OPTIONAL_LOGISTIC_OUTPERFORMER,5,4,2021-04-07,2021-10-04,16128,126,-0.029631,-0.057172,0.261402,-0.113353,0.404762,-0.001943,-3.1e-05,-0.001913,0.445665,0.412698,0.296703,0.186462
MODEL_FREE_COMPOSITE_BASELINE,21,4,2021-04-07,2021-10-04,16128,126,0.021018,-0.003525,0.212366,0.09897,0.492063,0.003361,0.001552,0.001809,0.494505,0.460317,0.238706,0.233231
RIDGE_LINEAR_RANK_MODEL,21,4,2021-04-07,2021-10-04,16128,126,-0.015654,-0.022721,0.144389,-0.108417,0.420635,0.002869,0.001955,0.000914,0.474664,0.492063,0.2384,0.122769
OPTIONAL_LOGISTIC_OUTPERFORMER,21,4,2021-04-07,2021-10-04,16128,126,0.049538,0.074775,0.133163,0.372007,0.706349,0.009359,-0.002646,0.012005,0.5058,0.690476,0.26801,0.128308
MODEL_FREE_COMPOSITE_BASELINE,63,4,2021-04-07,2021-10-04,16128,126,0.0377,0.062799,0.158423,0.237971,0.619048,0.00643,0.002674,0.003757,0.495116,0.507937,0.238706,0.233231
RIDGE_LINEAR_RANK_MODEL,63,4,2021-04-07,2021-10-04,16128,126,0.031201,0.053021,0.173715,0.17961,0.531746,0.011727,-0.00746,0.019188,0.473138,0.539683,0.318376,0.097846
OPTIONAL_LOGISTIC_OUTPERFORMER,63,4,2021-04-07,2021-10-04,16128,126,0.111053,0.107489,0.121322,0.91536,0.785714,0.034957,-0.012059,0.047016,0.561661,0.801587,0.356227,0.088615
MODEL_FREE_COMPOSITE_BASELINE,5,5,2021-10-05,2022-04-04,16128,126,0.006047,0.002406,0.208649,0.02898,0.5,0.001458,-0.000163,0.001622,0.504274,0.539683,0.192613,0.220615
RIDGE_LINEAR_RANK_MODEL,5,5,2021-10-05,2022-04-04,16128,126,-0.008777,0.009413,0.250732,-0.035004,0.515873,0.000608,0.001614,-0.001005,0.507937,0.515873,0.314408,0.253231
OPTIONAL_LOGISTIC_OUTPERFORMER,5,5,2021-10-05,2022-04-04,16128,126,-0.023125,-0.008166,0.2472,-0.093549,0.484127,0.00188,0.002116,-0.000236,0.504884,0.47619,0.380952,0.202769
MODEL_FREE_COMPOSITE_BASELINE,21,5,2021-10-05,2022-04-04,16128,126,0.022239,-0.013142,0.22539,0.098668,0.47619,0.007674,-0.003621,0.011295,0.497863,0.515873,0.192613,0.220615
RIDGE_LINEAR_RANK_MODEL,21,5,2021-10-05,2022-04-04,16128,126,-0.041894,-0.09357,0.21417,-0.195609,0.388889,0.001505,0.009343,-0.007839,0.481685,0.396825,0.34188,0.148923
OPTIONAL_LOGISTIC_OUTPERFORMER,21,5,2021-10-05,2022-04-04,16128,126,-0.064568,-0.12884,0.222431,-0.290285,0.380952,0.005975,0.011605,-0.00563,0.497253,0.420635,0.377289,0.135385
MODEL_FREE_COMPOSITE_BASELINE,63,5,2021-10-05,2022-04-04,16128,126,0.124453,0.106847,0.205198,0.6065,0.65873,0.042782,-0.015874,0.058656,0.600122,0.746032,0.192613,0.220615
RIDGE_LINEAR_RANK_MODEL,63,5,2021-10-05,2022-04-04,16128,126,-0.114291,-0.120262,0.104489,-1.093806,0.119048,-0.019867,0.0278,-0.047668,0.393773,0.119048,0.437118,0.095077
OPTIONAL_LOGISTIC_OUTPERFORMER,63,5,2021-10-05,2022-04-04,16128,126,-0.124674,-0.124353,0.153856,-0.810328,0.230159,-0.010285,0.036916,-0.047201,0.417277,0.238095,0.439866,0.104
MODEL_FREE_COMPOSITE_BASELINE,5,6,2022-04-05,2022-10-04,16128,126,0.028528,0.038231,0.270293,0.105543,0.563492,0.001739,0.000389,0.00135,0.541514,0.563492,0.28022,0.185846
RIDGE_LINEAR_RANK_MODEL,5,6,2022-04-05,2022-10-04,16128,126,0.037099,0.005416,0.24369,0.152239,0.547619,0.003494,-0.00092,0.004414,0.527167,0.539683,0.275336,0.219692
OPTIONAL_LOGISTIC_OUTPERFORMER,5,6,2022-04-05,2022-10-04,16128,126,0.043185,0.034861,0.210481,0.205172,0.579365,0.003768,-0.001394,0.005162,0.545788,0.595238,0.305556,0.224615
MODEL_FREE_COMPOSITE_BASELINE,21,6,2022-04-05,2022-10-04,16128,126,0.042519,0.060671,0.238688,0.178138,0.650794,0.009004,0.002063,0.006941,0.577534,0.619048,0.28022,0.185846
RIDGE_LINEAR_RANK_MODEL,21,6,2022-04-05,2022-10-04,16128,126,0.041026,-0.005545,0.266467,0.153961,0.484127,0.008305,-0.004431,0.012735,0.545177,0.555556,0.306166,0.115692
OPTIONAL_LOGISTIC_OUTPERFORMER,21,6,2022-04-05,2022-10-04,16128,126,0.048577,0.000641,0.27533,0.176433,0.507937,0.013807,6.1e-05,0.013746,0.589438,0.52381,0.311355,0.154154
MODEL_FREE_COMPOSITE_BASELINE,63,6,2022-04-05,2022-10-04,16128,126,0.071896,0.055627,0.120197,0.598152,0.722222,0.03962,0.01335,0.02627,0.624847,0.698413,0.28022,0.185846
RIDGE_LINEAR_RANK_MODEL,63,6,2022-04-05,2022-10-04,16128,126,-0.050189,-0.03846,0.210734,-0.238163,0.468254,0.01262,0.025202,-0.012583,0.503968,0.515873,0.379426,0.080615
OPTIONAL_LOGISTIC_OUTPERFORMER,63,6,2022-04-05,2022-10-04,16128,126,-0.001998,-0.031556,0.23123,-0.00864,0.47619,0.021138,0.029707,-0.00857,0.583944,0.507937,0.370574,0.104308
MODEL_FREE_COMPOSITE_BASELINE,5,7,2022-10-05,2023-04-05,16128,126,-0.040096,-0.025212,0.313538,-0.127881,0.468254,-0.002407,0.00605,-0.008456,0.497253,0.460317,0.280525,0.196308
RIDGE_LINEAR_RANK_MODEL,5,7,2022-10-05,2023-04-05,16128,126,0.019753,-0.008976,0.211205,0.093527,0.484127,0.002149,0.001898,0.000252,0.538767,0.484127,0.236264,0.248
