model,horizon_days,fold,val_start,val_end,regime_label,n_obs,n_dates,mean_rank_ic,median_rank_ic,std_rank_ic,information_ratio,fraction_dates_positive_ic,top_quintile_excess,bottom_quintile_excess,top_minus_bottom_spread,hit_rate_top_quintile,positive_spread_fraction,top_quintile_max_sector_share,turnover_proxy,overlap_corrected_n_dates,overlap_corrected_mean_rank_ic
MODEL_FREE_COMPOSITE_BASELINE,21,11,2024-10-08,2025-04-09,risk_off_drawdown_high_vol,16128,126,-0.003261,0.056155,0.195153,-0.016712,0.579365,0.000406,0.003846,-0.003441,0.486874,0.539683,0.227411,0.217846,,
REFINED_RIDGE_LINEAR_RANK_MODEL,21,11,2024-10-08,2025-04-09,risk_off_drawdown_high_vol,16128,126,-0.000331,0.000429,0.066198,-0.005,0.5,0.000969,-0.004443,0.005412,0.472527,0.619048,0.205433,0.147385,,
LOGISTIC_OUTPERFORMER_BENCHMARK,21,11,2024-10-08,2025-04-09,risk_off_drawdown_high_vol,16128,126,-0.003414,0.004189,0.080945,-0.042176,0.507937,-0.000726,0.001519,-0.002245,0.489621,0.484127,0.264042,0.128615,,
MODEL_FREE_COMPOSITE_BASELINE,63,11,2024-10-08,2025-04-09,risk_off_drawdown_high_vol,16128,126,0.053511,0.062649,0.163967,0.326351,0.642857,0.012444,-0.00373,0.016175,0.503968,0.634921,0.227411,0.217846,2.0,-0.073613
REFINED_RIDGE_LINEAR_RANK_MODEL,63,11,2024-10-08,2025-04-09,risk_off_drawdown_high_vol,16128,126,0.010183,0.005379,0.07372,0.138136,0.531746,0.014942,0.014702,0.000241,0.514347,0.507937,0.228022,0.132,2.0,0.067802
LOGISTIC_OUTPERFORMER_BENCHMARK,63,11,2024-10-08,2025-04-09,risk_off_drawdown_high_vol,16128,126,0.00422,-0.004459,0.074962,0.056296,0.484127,0.016828,0.012034,0.004795,0.51801,0.547619,0.235653,0.120923,2.0,0.048041
MODEL_FREE_COMPOSITE_BASELINE,5,11,2024-10-08,2025-04-09,risk_off_drawdown_high_vol,16128,126,-0.002833,-0.008654,0.184567,-0.01535,0.460317,0.000595,0.001543,-0.000948,0.495726,0.428571,0.227411,0.217846,,
REFINED_RIDGE_LINEAR_RANK_MODEL,5,11,2024-10-08,2025-04-09,risk_off_drawdown_high_vol,16128,126,-0.011823,0.006114,0.111452,-0.106078,0.539683,0.001496,0.00022,0.001276,0.48779,0.634921,0.199939,0.265231,,
LOGISTIC_OUTPERFORMER_BENCHMARK,5,11,2024-10-08,2025-04-09,risk_off_drawdown_high_vol,16128,126,-0.022072,-0.014286,0.11274,-0.195774,0.420635,0.000714,0.001076,-0.000362,0.489316,0.531746,0.279609,0.251385,,
MODEL_FREE_COMPOSITE_BASELINE,21,12,2025-04-10,2025-10-09,risk_on_rally,16128,126,-0.164249,-0.14232,0.215224,-0.763152,0.206349,-0.023014,0.010718,-0.033732,0.319597,0.246032,0.244505,0.195692,,
REFINED_RIDGE_LINEAR_RANK_MODEL,21,12,2025-04-10,2025-10-09,risk_on_rally,16128,126,0.047072,0.051648,0.076975,0.611524,0.730159,-0.002123,-0.010272,0.008149,0.445055,0.611111,0.205433,0.146154,,
LOGISTIC_OUTPERFORMER_BENCHMARK,21,12,2025-04-10,2025-10-09,risk_on_rally,16128,126,0.03562,0.033693,0.07735,0.460502,0.698413,-0.003571,-0.008951,0.00538,0.430708,0.52381,0.205433,0.118769,,
MODEL_FREE_COMPOSITE_BASELINE,63,12,2025-04-10,2025-10-09,risk_on_rally,16128,126,-0.195115,-0.199644,0.132659,-1.470797,0.047619,-0.051503,0.031204,-0.082707,0.257631,0.063492,0.244505,0.195692,2.0,-0.361794
REFINED_RIDGE_LINEAR_RANK_MODEL,63,12,2025-04-10,2025-10-09,risk_on_rally,16128,126,0.076812,0.078248,0.081,0.948302,0.793651,-0.001194,-0.026589,0.025396,0.41514,0.722222,0.260379,0.112308,2.0,0.059613
LOGISTIC_OUTPERFORMER_BENCHMARK,63,12,2025-04-10,2025-10-09,risk_on_rally,16128,126,-0.053519,-0.072124,0.127635,-0.419316,0.349206,-0.024881,0.00685,-0.031731,0.340965,0.333333,0.189866,0.115385,2.0,-0.12008
MODEL_FREE_COMPOSITE_BASELINE,5,12,2025-04-10,2025-10-09,risk_on_rally,16128,126,-0.046845,-0.027595,0.290918,-0.161025,0.444444,-0.004933,0.001472,-0.006405,0.438645,0.436508,0.244505,0.195692,,
REFINED_RIDGE_LINEAR_RANK_MODEL,5,12,2025-04-10,2025-10-09,risk_on_rally,16128,126,0.00298,0.010893,0.12855,0.023183,0.555556,-0.001472,-0.001171,-0.0003,0.470085,0.5,0.171856,0.253538,,
LOGISTIC_OUTPERFORMER_BENCHMARK,5,12,2025-04-10,2025-10-09,risk_on_rally,16128,126,0.013405,0.027041,0.115114,0.11645,0.539683,-0.000978,-0.00137,0.000392,0.480159,0.507937,0.2384,0.259385,,
MODEL_FREE_COMPOSITE_BASELINE,21,13,2025-10-10,2026-04-13,choppy_sideways,16128,126,0.002294,-0.00487,0.153079,0.014989,0.47619,0.00246,0.004706,-0.002245,0.506716,0.468254,0.205433,0.223077,,
REFINED_RIDGE_LINEAR_RANK_MODEL,21,13,2025-10-10,2026-04-13,choppy_sideways,16128,126,0.087646,0.08959,0.09266,0.945887,0.793651,0.011828,0.00109,0.010738,0.568987,0.722222,0.200855,0.126462,,
LOGISTIC_OUTPERFORMER_BENCHMARK,21,13,2025-10-10,2026-04-13,choppy_sideways,16128,126,0.083604,0.099255,0.101395,0.824533,0.777778,0.008834,-0.002317,0.011152,0.546398,0.730159,0.192613,0.112,,
MODEL_FREE_COMPOSITE_BASELINE,63,13,2025-10-10,2026-04-13,choppy_sideways,13824,108,0.044639,0.022393,0.146006,0.305736,0.564815,0.022946,0.003312,0.019634,0.501425,0.564815,0.232906,0.222861,2.0,0.123937
REFINED_RIDGE_LINEAR_RANK_MODEL,63,13,2025-10-10,2026-04-13,choppy_sideways,13824,108,0.145844,0.148482,0.05114,2.851873,1.0,0.031788,-0.024656,0.056444,0.533832,0.888889,0.205128,0.113228,2.0,0.197411
LOGISTIC_OUTPERFORMER_BENCHMARK,63,13,2025-10-10,2026-04-13,choppy_sideways,13824,108,0.074988,0.081629,0.079464,0.943681,0.787037,0.004189,-0.004133,0.008322,0.501068,0.62037,0.178063,0.106039,2.0,0.138923
MODEL_FREE_COMPOSITE_BASELINE,5,13,2025-10-10,2026-04-13,choppy_sideways,16128,126,-0.000491,0.000737,0.180767,-0.002718,0.507937,0.000795,0.001285,-0.000489,0.513736,0.436508,0.205433,0.223077,,
REFINED_RIDGE_LINEAR_RANK_MODEL,5,13,2025-10-10,2026-04-13,choppy_sideways,16128,126,0.050538,0.057316,0.09946,0.508124,0.714286,0.00442,-0.00051,0.00493,0.550366,0.706349,0.183455,0.244308,,
LOGISTIC_OUTPERFORMER_BENCHMARK,5,13,2025-10-10,2026-04-13,choppy_sideways,16128,126,0.070897,0.073656,0.110922,0.639164,0.761905,0.004634,-0.002301,0.006935,0.549145,0.690476,0.19536,0.256923,,
MODEL_FREE_COMPOSITE_BASELINE,21,14,2026-04-14,2026-06-16,risk_on_rally,3072,24,-0.019287,0.0097,0.150886,-0.127828,0.541667,-0.030607,-0.002189,-0.028418,0.346154,0.25,0.232372,0.177258,,
REFINED_RIDGE_LINEAR_RANK_MODEL,21,14,2026-04-14,2026-06-16,risk_on_rally,3072,24,-0.103648,-0.14443,0.138482,-0.748457,0.25,-0.019166,0.024516,-0.043681,0.328526,0.208333,0.195513,0.122074,,
LOGISTIC_OUTPERFORMER_BENCHMARK,21,14,2026-04-14,2026-06-16,risk_on_rally,3072,24,-0.109844,-0.141578,0.14274,-0.769538,0.291667,-0.035559,0.024564,-0.060123,0.325321,0.166667,0.198718,0.128763,,
MODEL_FREE_COMPOSITE_BASELINE,63,14,2026-04-14,2026-06-16,risk_on_rally,0,0,,,,,,,,,,,,,,
REFINED_RIDGE_LINEAR_RANK_MODEL,63,14,2026-04-14,2026-06-16,risk_on_rally,0,0,,,,,,,,,,,,,,
LOGISTIC_OUTPERFORMER_BENCHMARK,63,14,2026-04-14,2026-06-16,risk_on_rally,0,0,,,,,,,,,,,,,,
MODEL_FREE_COMPOSITE_BASELINE,5,14,2026-04-14,2026-06-16,risk_on_rally,5120,40,0.062855,0.060478,0.234342,0.268218,0.625,-0.000748,-0.005832,0.005084,0.472115,0.5,0.186538,0.204142,,
REFINED_RIDGE_LINEAR_RANK_MODEL,5,14,2026-04-14,2026-06-16,risk_on_rally,5120,40,-0.013549,-0.02331,0.176429,-0.076796,0.475,0.000206,0.003077,-0.002871,0.450962,0.5,0.185577,0.223866,,
LOGISTIC_OUTPERFORMER_BENCHMARK,5,14,2026-04-14,2026-06-16,risk_on_rally,5120,40,0.024452,0.036764,0.162622,0.150359,0.525,0.000232,0.000144,8.9e-05,0.468269,0.5,0.199038,0.241617,,
