model,horizon_days,fold,val_start,val_end,regime_label,n_obs,n_dates,mean_rank_ic,median_rank_ic,std_rank_ic,information_ratio,fraction_dates_positive_ic,top_quintile_excess,bottom_quintile_excess,top_minus_bottom_spread,hit_rate_top_quintile,positive_spread_fraction,top_quintile_max_sector_share,turnover_proxy,overlap_corrected_n_dates,overlap_corrected_mean_rank_ic
LOGISTIC_OUTPERFORMER_BENCHMARK,63,2,2020-04-06,2020-10-02,risk_on_rally_high_vol,16128,126,0.002574,0.016604,0.113259,0.022729,0.531746,0.018463,0.009327,0.009136,0.474359,0.619048,0.228022,0.172308,2.0,-0.041608
MODEL_FREE_COMPOSITE_BASELINE,5,2,2020-04-06,2020-10-02,risk_on_rally_high_vol,16128,126,0.045647,0.028516,0.346147,0.131871,0.515873,0.001787,0.000299,0.001488,0.513431,0.5,0.294567,0.222462,,
REFINED_RIDGE_LINEAR_RANK_MODEL,5,2,2020-04-06,2020-10-02,risk_on_rally_high_vol,16128,126,0.054725,0.053118,0.124705,0.438836,0.698413,0.004127,-8.2e-05,0.004209,0.526862,0.587302,0.199328,0.242154,,
LOGISTIC_OUTPERFORMER_BENCHMARK,5,2,2020-04-06,2020-10-02,risk_on_rally_high_vol,16128,126,0.065626,0.07349,0.136396,0.481141,0.730159,0.0036,-0.002986,0.006586,0.51221,0.690476,0.229548,0.226769,,
MODEL_FREE_COMPOSITE_BASELINE,21,3,2020-10-05,2021-04-06,risk_on_rally,16128,126,-0.106878,-0.112849,0.243757,-0.438459,0.349206,-0.003463,0.027089,-0.030552,0.424603,0.349206,0.197802,0.245846,,
REFINED_RIDGE_LINEAR_RANK_MODEL,21,3,2020-10-05,2021-04-06,risk_on_rally,16128,126,-0.059329,-0.043911,0.104475,-0.567871,0.349206,-0.000181,0.018078,-0.018259,0.437729,0.246032,0.228632,0.120308,,
LOGISTIC_OUTPERFORMER_BENCHMARK,21,3,2020-10-05,2021-04-06,risk_on_rally,16128,126,-0.057688,-0.052343,0.121075,-0.476461,0.333333,0.005535,0.018774,-0.013238,0.473138,0.309524,0.189255,0.14,,
MODEL_FREE_COMPOSITE_BASELINE,63,3,2020-10-05,2021-04-06,risk_on_rally,16128,126,-0.210639,-0.185857,0.210338,-1.001432,0.18254,-0.015032,0.073041,-0.088072,0.403846,0.166667,0.197802,0.245846,2.0,-0.269496
REFINED_RIDGE_LINEAR_RANK_MODEL,63,3,2020-10-05,2021-04-06,risk_on_rally,16128,126,-0.171336,-0.172811,0.073,-2.34706,0.02381,-0.019754,0.055496,-0.07525,0.418193,0.0,0.274115,0.087077,2.0,-0.186267
LOGISTIC_OUTPERFORMER_BENCHMARK,63,3,2020-10-05,2021-04-06,risk_on_rally,16128,126,-0.221813,-0.249333,0.127488,-1.739871,0.063492,-0.029856,0.055141,-0.084996,0.377595,0.063492,0.180098,0.120308,2.0,-0.352603
MODEL_FREE_COMPOSITE_BASELINE,5,3,2020-10-05,2021-04-06,risk_on_rally,16128,126,-0.063727,-0.041482,0.23418,-0.272129,0.452381,-0.00136,0.007839,-0.009198,0.449023,0.428571,0.197802,0.245846,,
REFINED_RIDGE_LINEAR_RANK_MODEL,5,3,2020-10-05,2021-04-06,risk_on_rally,16128,126,-0.027335,-0.025462,0.123191,-0.221892,0.396825,0.00073,0.00405,-0.00332,0.476801,0.436508,0.195055,0.274462,,
LOGISTIC_OUTPERFORMER_BENCHMARK,5,3,2020-10-05,2021-04-06,risk_on_rally,16128,126,-0.038797,-0.041909,0.137013,-0.283161,0.428571,0.000995,0.005431,-0.004436,0.477411,0.412698,0.18895,0.236923,,
MODEL_FREE_COMPOSITE_BASELINE,21,4,2021-04-07,2021-10-04,choppy_sideways,16128,126,0.021018,-0.003525,0.212366,0.09897,0.492063,0.003361,0.001552,0.001809,0.494505,0.460317,0.238706,0.233231,,
REFINED_RIDGE_LINEAR_RANK_MODEL,21,4,2021-04-07,2021-10-04,choppy_sideways,16128,126,-0.018706,-0.027983,0.139068,-0.134511,0.436508,-0.000737,0.003496,-0.004233,0.486874,0.396825,0.197497,0.123692,,
LOGISTIC_OUTPERFORMER_BENCHMARK,21,4,2021-04-07,2021-10-04,choppy_sideways,16128,126,-0.003903,0.021153,0.158088,-0.024689,0.547619,-0.001376,0.001675,-0.003052,0.483211,0.515873,0.206349,0.116615,,
MODEL_FREE_COMPOSITE_BASELINE,63,4,2021-04-07,2021-10-04,choppy_sideways,16128,126,0.0377,0.062799,0.158423,0.237971,0.619048,0.00643,0.002674,0.003757,0.495116,0.507937,0.238706,0.233231,2.0,0.01673
REFINED_RIDGE_LINEAR_RANK_MODEL,63,4,2021-04-07,2021-10-04,choppy_sideways,16128,126,-0.090062,-0.08343,0.059671,-1.509324,0.047619,-0.007857,0.026879,-0.034735,0.424603,0.095238,0.181929,0.086462,2.0,-0.198198
LOGISTIC_OUTPERFORMER_BENCHMARK,63,4,2021-04-07,2021-10-04,choppy_sideways,16128,126,-0.121024,-0.121597,0.067088,-1.803953,0.031746,-0.004988,0.034877,-0.039865,0.431929,0.079365,0.184371,0.124615,2.0,-0.222072
MODEL_FREE_COMPOSITE_BASELINE,5,4,2021-04-07,2021-10-04,choppy_sideways,16128,126,-0.023235,-0.042101,0.225181,-0.103186,0.428571,-0.000925,0.001684,-0.002609,0.466728,0.349206,0.238706,0.233231,,
REFINED_RIDGE_LINEAR_RANK_MODEL,5,4,2021-04-07,2021-10-04,choppy_sideways,16128,126,-0.033443,-0.028663,0.142005,-0.235508,0.436508,-0.00096,0.001527,-0.002487,0.474664,0.428571,0.182234,0.241231,,
LOGISTIC_OUTPERFORMER_BENCHMARK,5,4,2021-04-07,2021-10-04,choppy_sideways,16128,126,-0.038644,-0.016386,0.160469,-0.240818,0.452381,-0.00157,0.001377,-0.002947,0.47558,0.396825,0.215201,0.216,,
MODEL_FREE_COMPOSITE_BASELINE,21,5,2021-10-05,2022-04-04,risk_off_drawdown,16128,126,0.022239,-0.013142,0.22539,0.098668,0.47619,0.007674,-0.003621,0.011295,0.497863,0.515873,0.192613,0.220615,,
REFINED_RIDGE_LINEAR_RANK_MODEL,21,5,2021-10-05,2022-04-04,risk_off_drawdown,16128,126,0.018476,0.029356,0.122416,0.150928,0.579365,0.000997,-0.000381,0.001379,0.501221,0.571429,0.179487,0.144,,
LOGISTIC_OUTPERFORMER_BENCHMARK,21,5,2021-10-05,2022-04-04,risk_off_drawdown,16128,126,0.019181,0.009485,0.126609,0.151497,0.539683,0.004152,-0.001561,0.005712,0.514042,0.531746,0.215812,0.155077,,
MODEL_FREE_COMPOSITE_BASELINE,63,5,2021-10-05,2022-04-04,risk_off_drawdown,16128,126,0.124453,0.106847,0.205198,0.6065,0.65873,0.042782,-0.015874,0.058656,0.600122,0.746032,0.192613,0.220615,2.0,0.057708
REFINED_RIDGE_LINEAR_RANK_MODEL,63,5,2021-10-05,2022-04-04,risk_off_drawdown,16128,126,-0.106659,-0.090751,0.085072,-1.253757,0.087302,-0.01278,0.027209,-0.039989,0.46337,0.190476,0.173993,0.091692,2.0,-0.016296
LOGISTIC_OUTPERFORMER_BENCHMARK,63,5,2021-10-05,2022-04-04,risk_off_drawdown,16128,126,-0.025067,-0.024131,0.061183,-0.409715,0.357143,-0.000182,0.028694,-0.028876,0.529609,0.174603,0.2558,0.123385,2.0,0.031124
MODEL_FREE_COMPOSITE_BASELINE,5,5,2021-10-05,2022-04-04,risk_off_drawdown,16128,126,0.006047,0.002406,0.208649,0.02898,0.5,0.001458,-0.000163,0.001622,0.504274,0.539683,0.192613,0.220615,,
REFINED_RIDGE_LINEAR_RANK_MODEL,5,5,2021-10-05,2022-04-04,risk_off_drawdown,16128,126,0.010426,0.012134,0.131488,0.079289,0.539683,-0.000112,0.000253,-0.000365,0.497863,0.507937,0.193223,0.237231,,
LOGISTIC_OUTPERFORMER_BENCHMARK,5,5,2021-10-05,2022-04-04,risk_off_drawdown,16128,126,0.003355,0.030795,0.139202,0.0241,0.571429,-7e-05,0.000536,-0.000606,0.510379,0.555556,0.211844,0.267692,,
MODEL_FREE_COMPOSITE_BASELINE,21,6,2022-04-05,2022-10-04,risk_off_drawdown_high_vol,16128,126,0.042519,0.060671,0.238688,0.178138,0.650794,0.009004,0.002063,0.006941,0.577534,0.619048,0.28022,0.185846,,
REFINED_RIDGE_LINEAR_RANK_MODEL,21,6,2022-04-05,2022-10-04,risk_off_drawdown_high_vol,16128,126,0.040512,0.046838,0.135891,0.29812,0.611111,0.014198,0.006536,0.007662,0.588523,0.571429,0.217643,0.158154,,
LOGISTIC_OUTPERFORMER_BENCHMARK,21,6,2022-04-05,2022-10-04,risk_off_drawdown_high_vol,16128,126,0.055824,0.043092,0.133763,0.417332,0.65873,0.014199,0.000163,0.014036,0.582418,0.666667,0.18315,0.152923,,
MODEL_FREE_COMPOSITE_BASELINE,63,6,2022-04-05,2022-10-04,risk_off_drawdown_high_vol,16128,126,0.071896,0.055627,0.120197,0.598152,0.722222,0.03962,0.01335,0.02627,0.624847,0.698413,0.28022,0.185846,2.0,0.247113
REFINED_RIDGE_LINEAR_RANK_MODEL,63,6,2022-04-05,2022-10-04,risk_off_drawdown_high_vol,16128,126,0.002279,0.006711,0.075044,0.030367,0.547619,0.017432,0.027071,-0.009638,0.583028,0.31746,0.256716,0.133231,2.0,-0.078002
LOGISTIC_OUTPERFORMER_BENCHMARK,63,6,2022-04-05,2022-10-04,risk_off_drawdown_high_vol,16128,126,0.081623,0.080903,0.093738,0.870758,0.761905,0.04356,0.011199,0.032362,0.625153,0.801587,0.2442,0.178154,2.0,-0.018183
MODEL_FREE_COMPOSITE_BASELINE,5,6,2022-04-05,2022-10-04,risk_off_drawdown_high_vol,16128,126,0.028528,0.038231,0.270293,0.105543,0.563492,0.001739,0.000389,0.00135,0.541514,0.563492,0.28022,0.185846,,
REFINED_RIDGE_LINEAR_RANK_MODEL,5,6,2022-04-05,2022-10-04,risk_off_drawdown_high_vol,16128,126,0.033164,0.041473,0.102267,0.32429,0.674603,0.003302,0.000896,0.002406,0.538156,0.571429,0.227717,0.254154,,
LOGISTIC_OUTPERFORMER_BENCHMARK,5,6,2022-04-05,2022-10-04,risk_off_drawdown_high_vol,16128,126,0.046025,0.047751,0.119828,0.384091,0.690476,0.003073,-0.001296,0.004369,0.538767,0.650794,0.188339,0.281538,,
MODEL_FREE_COMPOSITE_BASELINE,21,7,2022-10-05,2023-04-05,risk_on_rally_high_vol,16128,126,-0.072088,-0.074458,0.261246,-0.275938,0.396825,-0.004373,0.020635,-0.025007,0.482906,0.357143,0.280525,0.196308,,
REFINED_RIDGE_LINEAR_RANK_MODEL,21,7,2022-10-05,2023-04-05,risk_on_rally_high_vol,16128,126,-0.001307,0.004003,0.129598,-0.010083,0.52381,0.007856,0.007672,0.000184,0.549451,0.492063,0.211844,0.128308,,
LOGISTIC_OUTPERFORMER_BENCHMARK,21,7,2022-10-05,2023-04-05,risk_on_rally_high_vol,16128,126,-0.010164,-0.012538,0.128833,-0.078894,0.47619,0.009757,0.010644,-0.000887,0.546093,0.420635,0.259463,0.125846,,
MODEL_FREE_COMPOSITE_BASELINE,63,7,2022-10-05,2023-04-05,risk_on_rally_high_vol,16128,126,-0.231503,-0.250836,0.174008,-1.330418,0.134921,-0.032529,0.06761,-0.100139,0.318681,0.079365,0.280525,0.196308,2.0,-0.157562
REFINED_RIDGE_LINEAR_RANK_MODEL,63,7,2022-10-05,2023-04-05,risk_on_rally_high_vol,16128,126,-0.025253,0.010987,0.125616,-0.201036,0.539683,0.000427,0.003745,-0.003318,0.417277,0.436508,0.222527,0.119385,2.0,-0.097733
LOGISTIC_OUTPERFORMER_BENCHMARK,63,7,2022-10-05,2023-04-05,risk_on_rally_high_vol,16128,126,0.029068,-0.040008,0.1762,0.164969,0.380952,0.022487,0.009963,0.012525,0.521978,0.492063,0.28602,0.159385,2.0,0.032661
