fold,val_start,val_end,n_dates,mean_rank_ic,classification,information_ratio,top_minus_bottom_spread,positive_spread_fraction,hit_rate_top_quintile,top_quintile_max_sector_share,turnover_proxy,spy_window_return,spy_window_vol_annualized,spy_max_drawdown,regime_label
5,2021-10-05,2022-04-04,126,-0.114291,catastrophic,-1.093806,-0.047668,0.119048,0.393773,0.437118,0.095077,0.061715,0.179281,-0.128656,risk_off_drawdown
11,2024-10-08,2025-04-09,126,-0.082777,catastrophic,-0.394591,-0.013364,0.333333,0.461538,0.452686,0.107385,-0.036721,0.234693,-0.187552,risk_off_drawdown_high_vol
10,2024-04-09,2024-10-07,126,-0.061262,catastrophic,-0.632812,-0.02133,0.238095,0.442308,0.461844,0.104615,0.100245,0.133915,-0.084056,risk_on_rally
6,2022-04-05,2022-10-04,126,-0.050189,catastrophic,-0.238163,-0.012583,0.515873,0.503968,0.379426,0.080615,-0.154908,0.258423,-0.201391,risk_off_drawdown_high_vol
1,2019-10-04,2020-04-03,126,-0.000392,weak_negative,-0.001962,0.022331,0.515873,0.516178,0.314408,0.112923,-0.147692,0.397108,-0.337173,risk_off_drawdown_high_vol
0,2019-04-05,2019-10-03,126,0.028613,positive,0.2149,0.02407,0.626984,0.579365,0.455739,0.093538,0.015976,0.138286,-0.066184,choppy_sideways
4,2021-04-07,2021-10-04,126,0.031201,positive,0.17961,0.019188,0.539683,0.473138,0.318376,0.097846,0.061069,0.111754,-0.051141,choppy_sideways
9,2023-10-06,2024-04-08,126,0.053184,positive,0.7709,0.030175,0.809524,0.450549,0.22558,0.106154,0.216281,0.114228,-0.058764,risk_on_rally
3,2020-10-05,2021-04-06,126,0.070798,positive,0.406651,0.01688,0.68254,0.510073,0.351343,0.071385,0.204341,0.157509,-0.073461,risk_on_rally
13,2025-10-10,2026-04-13,108,0.101847,positive,0.607033,0.077512,0.592593,0.519943,0.448362,0.080158,0.056639,0.13439,-0.08885,choppy_sideways
2,2020-04-06,2020-10-02,126,0.120608,positive,0.607389,0.057399,0.738095,0.519231,0.252137,0.083692,0.271054,0.220851,-0.094404,risk_on_rally_high_vol
8,2023-04-06,2023-10-05,126,0.189439,positive,1.28713,0.071077,0.960317,0.642857,0.365385,0.112923,0.044942,0.115024,-0.075827,choppy_sideways
7,2022-10-05,2023-04-05,126,0.197218,positive,1.757131,0.098881,0.960317,0.621184,0.353175,0.113846,0.090017,0.205812,-0.075388,risk_on_rally_high_vol
12,2025-04-10,2025-10-09,126,0.224971,positive,2.165052,0.114902,1.0,0.543956,0.444139,0.091692,0.286763,0.126254,-0.046817,risk_on_rally
14,2026-04-14,2026-06-16,0,,no_data,,,,,,,0.080451,0.131282,-0.044947,risk_on_rally
