date,ticker,model,score,forward_excess_return_20d_vs_spy
2017-01-31,AAPL,cross_sectional_composite_zscore,0.231916,0.103113
2017-01-31,AMGN,cross_sectional_composite_zscore,-0.053708,0.091613
2017-01-31,BKNG,cross_sectional_composite_zscore,0.281915,0.046502
2017-01-31,CL,cross_sectional_composite_zscore,-0.947919,0.083665
2017-01-31,DE,cross_sectional_composite_zscore,0.770494,-0.014886
2017-01-31,GD,cross_sectional_composite_zscore,0.651188,0.00873
2017-01-31,IBM,cross_sectional_composite_zscore,0.43465,-0.003022
2017-01-31,KO,cross_sectional_composite_zscore,-0.520877,-0.039647
2017-01-31,MDLZ,cross_sectional_composite_zscore,-0.61964,-0.059259
2017-01-31,NFLX,cross_sectional_composite_zscore,1.057169,-0.040052
2017-01-31,PFE,cross_sectional_composite_zscore,-0.830042,0.041991
2017-01-31,ROP,cross_sectional_composite_zscore,0.394001,0.056195
2017-01-31,SYK,cross_sectional_composite_zscore,-0.071445,0.007037
2017-01-31,UPS,cross_sectional_composite_zscore,-0.657281,-0.067035
2017-01-31,ZTS,cross_sectional_composite_zscore,0.078736,-0.072951
2017-02-28,AMD,cross_sectional_composite_zscore,4.300023,-0.052716
2017-02-28,BAC,cross_sectional_composite_zscore,0.946371,-0.045189
2017-02-28,CI,cross_sectional_composite_zscore,-0.201303,-0.003233
2017-02-28,CVX,cross_sectional_composite_zscore,-0.411775,-0.046844
2017-02-28,FDX,cross_sectional_composite_zscore,-0.525558,-0.013434
2017-02-28,HON,cross_sectional_composite_zscore,0.172405,0.006799
2017-02-28,KLAC,cross_sectional_composite_zscore,0.30469,0.061896
2017-02-28,MCO,cross_sectional_composite_zscore,0.205513,-0.000454
2017-02-28,NEE,cross_sectional_composite_zscore,0.414023,0.002518
2017-02-28,PEP,cross_sectional_composite_zscore,0.148256,0.026285
2017-02-28,REGN,cross_sectional_composite_zscore,-0.671555,0.024764
2017-02-28,SPGI,cross_sectional_composite_zscore,0.117596,-0.005259
2017-02-28,UNP,cross_sectional_composite_zscore,-0.246301,-0.022071
2017-02-28,XOM,cross_sectional_composite_zscore,-1.257819,0.006928
2017-03-31,AMAT,cross_sectional_composite_zscore,1.085086,0.059508
2017-03-31,BA,cross_sectional_composite_zscore,0.258271,0.018796
2017-03-31,CDNS,cross_sectional_composite_zscore,0.610169,0.029248
2017-03-31,CVS,cross_sectional_composite_zscore,-0.857128,0.038319
2017-03-31,ETN,cross_sectional_composite_zscore,0.381755,0.014232
2017-03-31,HD,cross_sectional_composite_zscore,0.176215,0.037791
2017-03-31,JPM,cross_sectional_composite_zscore,-0.345115,-0.015656
2017-03-31,MCD,cross_sectional_composite_zscore,0.173428,0.076565
2017-03-31,MU,cross_sectional_composite_zscore,2.336811,-0.033578
2017-03-31,PANW,cross_sectional_composite_zscore,-1.585298,-0.050277
2017-03-31,QCOM,cross_sectional_composite_zscore,-0.976112,-0.077696
2017-03-31,SO,cross_sectional_composite_zscore,-0.435256,-0.016288
2017-03-31,UNH,cross_sectional_composite_zscore,-0.287468,0.052037
2017-03-31,WMT,cross_sectional_composite_zscore,-0.009005,0.031231
2017-04-28,ADP,cross_sectional_composite_zscore,-0.014067,-0.045298
