model,year,mean_rank_ic
cross_sectional_composite_zscore,2017,0.041009
cross_sectional_composite_zscore,2018,-0.059632
cross_sectional_composite_zscore,2019,-0.033922
cross_sectional_composite_zscore,2020,0.081454
cross_sectional_composite_zscore,2021,-0.019165
cross_sectional_composite_zscore,2022,-0.014149
cross_sectional_composite_zscore,2023,-0.031157
cross_sectional_composite_zscore,2024,0.06067
cross_sectional_composite_zscore,2025,-0.040839
cross_sectional_composite_zscore,2026,0.104834
ridge_cross_sectional_return_model,2017,0.050359
ridge_cross_sectional_return_model,2018,-0.017784
ridge_cross_sectional_return_model,2019,0.079427
ridge_cross_sectional_return_model,2020,0.054251
ridge_cross_sectional_return_model,2021,0.022018
ridge_cross_sectional_return_model,2022,-0.03642
ridge_cross_sectional_return_model,2023,0.028838
ridge_cross_sectional_return_model,2024,0.011444
ridge_cross_sectional_return_model,2025,0.105654
ridge_cross_sectional_return_model,2026,0.087966
top_quintile_score_model,2017,0.04824
top_quintile_score_model,2018,0.022607
top_quintile_score_model,2019,0.063301
top_quintile_score_model,2020,0.043867
top_quintile_score_model,2021,0.014497
top_quintile_score_model,2022,-0.042161
top_quintile_score_model,2023,0.082386
top_quintile_score_model,2024,0.011011
top_quintile_score_model,2025,0.141976
top_quintile_score_model,2026,0.109235
