control,available,mean_rank_ic,top10_equal_avg_turnover,top10_equal_net_50bps_total_return,note
raw_ensemble_top10,True,0.042478,0.590179,5.942958,no industry control
industry_capped_top10,True,0.042478,0.633929,3.094587,max 2/sector; coverage=0.99
