cycle,experiments_added,experiments_skipped_cumulative,candidates_scored,n_confirmed,n_weak,n_rejected,n_blocked,director_decision
1,30,0,15,0,0,15,0,REJECT_TREND: no positive leads survive
2,0,0,15,0,0,15,0,all cycle-1 families rejected on broad data; no robustness warranted
