experiment_id,cycle,category,family,score_key,quantile,scope,status,finding,reason,challenges
C1F01,1,CONFIRM,low_volatility,downside_vol,top_quintile,full,REJECTED,net_sharpe@25=0.942275 vs SPY 0.769587 (+0.172688); recent_beats_spy=False; rolling_beat=0.730769,"loses to SPY in the most recent 2015-2026 holdout; failed gates=['beats_spy_recent_2015_2026', 'survives_multiple_testing']",
C1F02,1,CONFIRM,low_volatility,downside_vol,top_decile,full,REJECTED,net_sharpe@25=0.927157 vs SPY 0.769587 (+0.15757); recent_beats_spy=False; rolling_beat=0.730769,"loses to SPY in the most recent 2015-2026 holdout; failed gates=['beats_spy_recent_2015_2026', 'survives_multiple_testing']",
C1F03,1,CONFIRM,low_volatility,low_vol,top_quintile,full,REJECTED,net_sharpe@25=0.904664 vs SPY 0.769587 (+0.135077); recent_beats_spy=False; rolling_beat=0.730769,"loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'beats_spy_recent_2015_2026', 'survives_multiple_testing']",
C1F04,1,CONFIRM,low_volatility,low_vol,top_decile,full,REJECTED,net_sharpe@25=0.895998 vs SPY 0.769587 (+0.126411); recent_beats_spy=False; rolling_beat=0.730769,"loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'beats_spy_recent_2015_2026', 'survives_multiple_testing']",
C1F05,1,CONFIRM,volatility_adjusted_momentum,vol_adj_mom,top_quintile,full,REJECTED,net_sharpe@25=0.829921 vs SPY 0.769587 (+0.060334); recent_beats_spy=False; rolling_beat=0.461538,"loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'survives_multiple_testing']",
C1F06,1,CONFIRM,volatility_adjusted_momentum,vol_adj_mom,top_decile,full,REJECTED,net_sharpe@25=0.773897 vs SPY 0.769587 (+0.00431); recent_beats_spy=False; rolling_beat=0.423077,"loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'survives_multiple_testing']",
C1F07,1,SCAN,momentum,mom_12_1,top_quintile,full,REJECTED,net_sharpe@25=0.690992 vs SPY 0.769587 (+-0.078595); recent_beats_spy=False; rolling_beat=0.384615,"does not beat SPY full-sample net of cost; loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'net_sharpe_beats_ew_by_0.10', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'survives_multiple_testing']",
C1F08,1,SCAN,momentum,mom_6_1,top_quintile,full,REJECTED,net_sharpe@25=0.580437 vs SPY 0.769587 (+-0.18915); recent_beats_spy=False; rolling_beat=0.269231,"does not beat SPY full-sample net of cost; loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'net_sharpe_beats_ew_by_0.10', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'survives_multiple_testing']",
C1F09,1,NON_MOMENTUM,short_term_reversal,rev_losers,top_quintile,full,REJECTED,net_sharpe@25=0.298963 vs SPY 0.769587 (+-0.470624); recent_beats_spy=False; rolling_beat=0.076923,"does not beat SPY full-sample net of cost; loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'net_sharpe_beats_ew_by_0.10', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'drawdown_within_10pp_of_spy', 'avg_turnover_le_0.50', 'placebo_pass', 'survives_multiple_testing']",
C1F10,1,NON_MOMENTUM,trend_breadth,trend_score,top_quintile,full,REJECTED,net_sharpe@25=0.726091 vs SPY 0.769587 (+-0.043496); recent_beats_spy=False; rolling_beat=0.423077,"does not beat SPY full-sample net of cost; loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'survives_multiple_testing']",
