experiment_id,cycle,category,family,owning_agent,is_challenge,is_non_momentum,score_key,quantile,gate_key,scope,status,net_sharpe_25bps,spy_sharpe,ew_universe_sharpe,net_sharpe_minus_spy,net_max_drawdown_25bps,one_sided_turnover,avg_names,rolling_frac_beat_spy,finding,reason,challenges
C1F01,1,CONFIRM,low_volatility,volatility-liquidity-agent,False,True,downside_vol,top_quintile,,full,REJECTED,0.942275,0.769587,0.587657,0.172688,-0.432124,0.1341,583.57,0.730769,net_sharpe@25=0.942275 vs SPY 0.769587 (+0.172688); recent_beats_spy=False; rolling_beat=0.730769,"loses to SPY in the most recent 2015-2026 holdout; failed gates=['beats_spy_recent_2015_2026', 'survives_multiple_testing']",
C1F02,1,CONFIRM,low_volatility,volatility-liquidity-agent,False,True,downside_vol,top_decile,,full,REJECTED,0.927157,0.769587,0.587657,0.15757,-0.405973,0.185,292.03,0.730769,net_sharpe@25=0.927157 vs SPY 0.769587 (+0.15757); recent_beats_spy=False; rolling_beat=0.730769,"loses to SPY in the most recent 2015-2026 holdout; failed gates=['beats_spy_recent_2015_2026', 'survives_multiple_testing']",
C1F03,1,CONFIRM,low_volatility,volatility-liquidity-agent,False,True,low_vol,top_quintile,,full,REJECTED,0.904664,0.769587,0.587657,0.135077,-0.449858,0.1147,583.57,0.730769,net_sharpe@25=0.904664 vs SPY 0.769587 (+0.135077); recent_beats_spy=False; rolling_beat=0.730769,"loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'beats_spy_recent_2015_2026', 'survives_multiple_testing']",
C1F04,1,CONFIRM,low_volatility,volatility-liquidity-agent,False,True,low_vol,top_decile,,full,REJECTED,0.895998,0.769587,0.587657,0.126411,-0.40242,0.152,292.03,0.730769,net_sharpe@25=0.895998 vs SPY 0.769587 (+0.126411); recent_beats_spy=False; rolling_beat=0.730769,"loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'beats_spy_recent_2015_2026', 'survives_multiple_testing']",
C1F05,1,CONFIRM,volatility_adjusted_momentum,momentum-signal-agent,False,False,vol_adj_mom,top_quintile,,full,REJECTED,0.829921,0.769587,0.613205,0.060334,-0.553149,0.2486,572.88,0.461538,net_sharpe@25=0.829921 vs SPY 0.769587 (+0.060334); recent_beats_spy=False; rolling_beat=0.461538,"loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'survives_multiple_testing']",
C1F06,1,CONFIRM,volatility_adjusted_momentum,momentum-signal-agent,False,False,vol_adj_mom,top_decile,,full,REJECTED,0.773897,0.769587,0.613205,0.00431,-0.559912,0.311,286.68,0.423077,net_sharpe@25=0.773897 vs SPY 0.769587 (+0.00431); recent_beats_spy=False; rolling_beat=0.423077,"loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'survives_multiple_testing']",
C1F07,1,SCAN,momentum,momentum-signal-agent,False,False,mom_12_1,top_quintile,,full,REJECTED,0.690992,0.769587,0.613205,-0.078595,-0.572125,0.2453,572.88,0.384615,net_sharpe@25=0.690992 vs SPY 0.769587 (+-0.078595); recent_beats_spy=False; rolling_beat=0.384615,"does not beat SPY full-sample net of cost; loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'net_sharpe_beats_ew_by_0.10', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'survives_multiple_testing']",
C1F08,1,SCAN,momentum,momentum-signal-agent,False,False,mom_6_1,top_quintile,,full,REJECTED,0.580437,0.769587,0.587657,-0.18915,-0.579979,0.3593,583.56,0.269231,net_sharpe@25=0.580437 vs SPY 0.769587 (+-0.18915); recent_beats_spy=False; rolling_beat=0.269231,"does not beat SPY full-sample net of cost; loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'net_sharpe_beats_ew_by_0.10', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'survives_multiple_testing']",
C1F09,1,NON_MOMENTUM,short_term_reversal,reversal-signal-agent,False,True,rev_losers,top_quintile,,full,REJECTED,0.298963,0.769587,0.587657,-0.470624,-0.720729,0.7498,588.05,0.076923,net_sharpe@25=0.298963 vs SPY 0.769587 (+-0.470624); recent_beats_spy=False; rolling_beat=0.076923,"does not beat SPY full-sample net of cost; loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'net_sharpe_beats_ew_by_0.10', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'drawdown_within_10pp_of_spy', 'avg_turnover_le_0.50', 'placebo_pass', 'survives_multiple_testing']",
C1F10,1,NON_MOMENTUM,trend_breadth,trend-breadth-signal-agent,False,True,trend_score,top_quintile,,full,REJECTED,0.726091,0.769587,0.587657,-0.043496,-0.462702,0.4569,584.88,0.423077,net_sharpe@25=0.726091 vs SPY 0.769587 (+-0.043496); recent_beats_spy=False; rolling_beat=0.423077,"does not beat SPY full-sample net of cost; loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'survives_multiple_testing']",
