experiment_id,cycle,family,score_key,quantile,gate_key,status,net_sharpe_25bps,spy_sharpe,ew_universe_sharpe,net_sharpe_minus_spy,net_sharpe_minus_ew,n_holdouts_beat_spy,recent_beats_spy,rolling_frac_beat_spy,net_max_drawdown_25bps,spy_max_drawdown,one_sided_turnover,avg_names,net_sharpe_minus_placebo,delisted_weight_avg,top_sector,top_sector_weight,reason
C1F01,1,low_volatility,downside_vol,top_quintile,,REJECTED,0.942275,0.769587,0.587657,0.172688,0.354618,2,False,0.730769,-0.432124,-0.507845,0.1341,583.57,0.68657,0.4196,Financials,0.285,"loses to SPY in the most recent 2015-2026 holdout; failed gates=['beats_spy_recent_2015_2026', 'survives_multiple_testing']"
C1F02,1,low_volatility,downside_vol,top_decile,,REJECTED,0.927157,0.769587,0.587657,0.15757,0.3395,2,False,0.730769,-0.405973,-0.507845,0.185,292.03,0.705617,0.4152,Financials,0.292,"loses to SPY in the most recent 2015-2026 holdout; failed gates=['beats_spy_recent_2015_2026', 'survives_multiple_testing']"
C1F03,1,low_volatility,low_vol,top_quintile,,REJECTED,0.904664,0.769587,0.587657,0.135077,0.317007,2,False,0.730769,-0.449858,-0.507845,0.1147,583.57,0.645831,0.3994,Financials,0.2973,"loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'beats_spy_recent_2015_2026', 'survives_multiple_testing']"
C1F04,1,low_volatility,low_vol,top_decile,,REJECTED,0.895998,0.769587,0.587657,0.126411,0.308341,2,False,0.730769,-0.40242,-0.507845,0.152,292.03,0.605181,0.3882,Financials,0.3064,"loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'beats_spy_recent_2015_2026', 'survives_multiple_testing']"
C1F05,1,volatility_adjusted_momentum,vol_adj_mom,top_quintile,,REJECTED,0.829921,0.769587,0.613205,0.060334,0.216716,1,False,0.461538,-0.553149,-0.507845,0.2486,572.88,0.573931,0.4646,Financials,0.1933,"loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'survives_multiple_testing']"
C1F06,1,volatility_adjusted_momentum,vol_adj_mom,top_decile,,REJECTED,0.773897,0.769587,0.613205,0.00431,0.160692,1,False,0.423077,-0.559912,-0.507845,0.311,286.68,0.489959,0.4659,Financials,0.1786,"loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'survives_multiple_testing']"
C1F07,1,momentum,mom_12_1,top_quintile,,REJECTED,0.690992,0.769587,0.613205,-0.078595,0.077787,1,False,0.384615,-0.572125,-0.507845,0.2453,572.88,0.391436,0.509,Information Technology,0.1649,"does not beat SPY full-sample net of cost; loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'net_sharpe_beats_ew_by_0.10', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'survives_multiple_testing']"
C1F08,1,momentum,mom_6_1,top_quintile,,REJECTED,0.580437,0.769587,0.587657,-0.18915,-0.00722,0,False,0.269231,-0.579979,-0.507845,0.3593,583.56,0.327037,0.5249,Information Technology,0.1664,"does not beat SPY full-sample net of cost; loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'net_sharpe_beats_ew_by_0.10', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'survives_multiple_testing']"
C1F09,1,short_term_reversal,rev_losers,top_quintile,,REJECTED,0.298963,0.769587,0.587657,-0.470624,-0.288694,0,False,0.076923,-0.720729,-0.507845,0.7498,588.05,0.044687,0.5633,Health Care,0.1804,"does not beat SPY full-sample net of cost; loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'net_sharpe_beats_ew_by_0.10', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'drawdown_within_10pp_of_spy', 'avg_turnover_le_0.50', 'placebo_pass', 'survives_multiple_testing']"
C1F10,1,trend_breadth,trend_score,top_quintile,,REJECTED,0.726091,0.769587,0.587657,-0.043496,0.138434,1,False,0.423077,-0.462702,-0.507845,0.4569,584.88,0.441883,0.4724,Financials,0.2045,"does not beat SPY full-sample net of cost; loses to SPY in the most recent 2015-2026 holdout; failed gates=['net_sharpe_beats_spy_by_0.15', 'beats_spy_2_of_3_holdouts', 'beats_spy_recent_2015_2026', 'rolling_10y_beat_frac_ge_0.60', 'survives_multiple_testing']"
