universe,available,superset_symbols,feasible,index_name
Russell 3000 Current & Past,True,12266,True,Russell 3000
S&P Composite 1500 Current & Past,True,4240,True,S&P Composite 1500
Russell 1000 Current & Past,True,3547,True,Russell 1000
Russell 2000 Current & Past,True,11028,True,Russell 2000
S&P 1000 Current & Past,True,3563,True,S&P 1000
S&P 500 Current & Past,True,1894,True,S&P 500
