rank,ticker,repaired_sector,composite_sn_repaired,fcf_leg_z,accruals_leg_z,liquidity_proxy,has_local_price,order_action
1,BABA,Consumer Discretionary,-1.799096,-1.157298,-0.641798,2545600991.26,False,NO_ORDER
2,RL,Consumer Discretionary,-1.845329,-0.760878,-1.084451,133717185.83,True,NO_ORDER
3,OXY,Energy,-1.93028,-0.456027,-1.474253,571947748.83,True,NO_ORDER
4,NU,Financials,-1.934734,-0.901923,-1.032811,389687222.54,False,NO_ORDER
5,NVO,Health Care,-1.990622,0.059984,-2.050605,255099912.31,False,NO_ORDER
6,NWS,Communication Services,-2.027496,-0.861853,-1.165643,15875190.15,True,NO_ORDER
7,NWSA,Communication Services,-2.027496,-0.861853,-1.165643,55493461.21,True,NO_ORDER
8,AXON,Industrials,-2.063081,-0.872143,-1.190939,138263360.85,True,NO_ORDER
9,NCLH,Consumer Discretionary,-2.085569,-2.235534,0.149965,267531558.06,True,NO_ORDER
10,HSIC,Health Care,-2.167642,-1.151692,-1.01595,106370167.48,True,NO_ORDER
11,MLM,Materials,-2.16781,0.089838,-2.257648,172371925.44,True,NO_ORDER
12,DIS,Communication Services,-2.234759,-0.920975,-1.313785,1194384428.11,False,NO_ORDER
13,SOLV,Health Care,-2.282802,-1.416441,-0.866361,92560308.86,True,NO_ORDER
14,TM,Consumer Discretionary,-2.667735,-1.442224,-1.225511,38922415.22,False,NO_ORDER
15,COHR,Information Technology,-2.88072,-2.033403,-0.847317,193111788.66,False,NO_ORDER
16,WBD,Communication Services,-3.080757,-1.965607,-1.11515,274235628.14,False,NO_ORDER
17,APTV,Consumer Discretionary,-3.380686,-1.805582,-1.575104,183699022.03,True,NO_ORDER
18,BALL,Materials,-3.426656,-1.694866,-1.73179,146405764.61,True,NO_ORDER
19,CLX,Consumer Staples,-3.639068,-1.656757,-1.982311,198104099.87,True,NO_ORDER
20,J,Industrials,-3.643194,-2.119118,-1.524076,82196842.05,True,NO_ORDER
21,HII,Industrials,-3.707207,-1.929336,-1.777871,86383841.47,True,NO_ORDER
22,PSKY,Communication Services,-3.925534,-1.712119,-2.213415,289214360.66,True,NO_ORDER
23,FSLR,Information Technology,-4.009813,-2.133997,-1.875817,265853418.93,True,NO_ORDER
24,WDC,Information Technology,-4.637952,1.113597,-5.751549,448572374.98,False,NO_ORDER
25,CTVA,Materials,-5.627979,-2.493554,-3.134425,193732931.55,True,NO_ORDER
