rank,ticker,repaired_sector,sector_confidence,composite_sn_repaired,fcf_leg_z,accruals_leg_z,liquidity_proxy,has_local_price,order_action
66,CF,Materials,HIGH,0.631097,0.692175,-0.061077,174526207.01,True,NO_ORDER
67,AEM,Materials,HIGH,0.630475,0.763893,-0.133418,143733729.04,False,NO_ORDER
68,IFF,Materials,HIGH,0.557205,0.149718,0.407487,146286621.56,True,NO_ORDER
69,AMD,Information Technology,HIGH,0.540577,-0.069781,0.610357,5013379026.41,False,NO_ORDER
70,HAS,Consumer Discretionary,HIGH,0.525581,0.633073,-0.107492,111774839.37,True,NO_ORDER
71,PH,Industrials,HIGH,0.500806,0.443447,0.057358,260492946.66,False,NO_ORDER
72,AJG,Financials,HIGH,0.456712,0.063231,0.393481,172967569.61,True,NO_ORDER
73,EL,Consumer Staples,HIGH,0.447848,-0.162393,0.610241,314382561.28,True,NO_ORDER
74,DTE,Utilities,HIGH,0.447764,0.095582,0.352181,147411928.36,True,NO_ORDER
75,AME,Industrials,HIGH,0.430916,0.34982,0.081096,140528406.67,True,NO_ORDER
76,KEYS,Information Technology,HIGH,0.423759,0.046839,0.37692,151503293.3,False,NO_ORDER
77,EQNR,Energy,HIGH,0.372236,0.213878,0.158359,58169625.51,False,NO_ORDER
78,FTV,Industrials,HIGH,0.349829,0.055654,0.294175,156514593.63,True,NO_ORDER
79,LNT,Utilities,HIGH,0.343264,0.240211,0.103053,83013278.77,True,NO_ORDER
80,PODD,Health Care,HIGH,0.33759,0.321701,0.015889,118123941.44,True,NO_ORDER
81,AES,Utilities,HIGH,0.334489,-0.078968,0.413458,112965340.07,True,NO_ORDER
82,COP,Energy,HIGH,0.324005,0.073833,0.250173,487329330.41,False,NO_ORDER
83,CNQ,Energy,HIGH,0.291997,0.134362,0.157635,120090038.21,False,NO_ORDER
84,TT,Industrials,HIGH,0.284039,0.26619,0.017849,250154510.41,False,NO_ORDER
85,NET,Information Technology,HIGH,0.258968,-0.740371,0.999339,377992070.04,False,NO_ORDER
86,EXC,Utilities,HIGH,0.257536,0.112438,0.145098,318482534.01,True,NO_ORDER
87,MCHP,Information Technology,HIGH,0.24782,-0.429205,0.677025,469124925.92,True,NO_ORDER
88,HSY,Consumer Staples,HIGH,0.239595,0.192267,0.047328,205648649.72,True,NO_ORDER
89,GPN,Financials,HIGH,0.208927,-0.066347,0.275274,225852971.6,True,NO_ORDER
90,SRE,Utilities,HIGH,0.202939,0.099805,0.103134,194885263.94,False,NO_ORDER
91,PEG,Utilities,HIGH,0.200087,0.357589,-0.157502,163773194.13,True,NO_ORDER
92,APO,Financials,HIGH,0.178064,-0.176109,0.354172,182111093.33,False,NO_ORDER
93,PYPL,Financials,HIGH,0.168278,0.107049,0.061229,1028311754.59,True,NO_ORDER
94,AMCR,Materials,HIGH,0.164068,-0.027684,0.191752,23463243.56,True,NO_ORDER
95,BDX,Health Care,HIGH,0.157671,-0.329759,0.48743,416533815.98,True,NO_ORDER
96,ON,Information Technology,HIGH,0.152074,-0.576974,0.729047,310579365.41,True,NO_ORDER
97,ROK,Industrials,HIGH,0.133954,0.288749,-0.154795,199061923.15,True,NO_ORDER
98,SPG,Real Estate,HIGH,0.12191,0.146011,-0.0241,214266185.26,False,NO_ORDER
99,EMR,Industrials,HIGH,0.108413,0.00209,0.106323,244194583.77,False,NO_ORDER
100,NWG,Financials,HIGH,0.090754,-0.275006,0.36576,13662672.76,False,NO_ORDER
101,SW,Materials,HIGH,0.08012,-0.317952,0.398072,40680377.0,True,NO_ORDER
102,STE,Health Care,HIGH,0.07294,-0.037578,0.110519,90146123.14,True,NO_ORDER
103,KKR,Financials,HIGH,0.062609,-0.101538,0.164148,220019692.61,False,NO_ORDER
104,IQV,Health Care,HIGH,0.056309,-0.120234,0.176543,205702938.96,True,NO_ORDER
105,VLO,Energy,HIGH,0.032099,0.392074,-0.359975,335210105.73,False,NO_ORDER
106,ATO,Utilities,HIGH,0.031449,-0.025657,0.057106,94125480.93,True,NO_ORDER
107,PBR,Energy,HIGH,-0.007494,0.171106,-0.1786,147737859.19,False,NO_ORDER
108,AEP,Utilities,HIGH,-0.008743,-0.098639,0.089897,225400121.49,False,NO_ORDER
109,JCI,Industrials,HIGH,-0.010347,-0.024656,0.014308,255664200.42,False,NO_ORDER
110,PNW,Utilities,HIGH,-0.020248,-0.155127,0.134878,78895371.06,True,NO_ORDER
111,BLDR,Industrials,HIGH,-0.030554,-0.463053,0.432499,119907063.29,True,NO_ORDER
112,MFC,Financials,HIGH,-0.033722,-0.176506,0.142783,46903558.3,False,NO_ORDER
113,ICE,Financials,HIGH,-0.038348,-0.069523,0.031175,287269629.41,False,NO_ORDER
114,MET,Financials,HIGH,-0.038654,-0.170695,0.132041,284088628.88,True,NO_ORDER
115,HWM,Industrials,HIGH,-0.040022,0.398583,-0.438605,168753183.89,False,NO_ORDER
116,HSBC,Financials,HIGH,-0.072283,-0.196357,0.124075,69327512.0,False,NO_ORDER
117,EVRG,Utilities,HIGH,-0.080134,-0.233198,0.153064,101282391.1,True,NO_ORDER
118,O,Real Estate,HIGH,-0.09114,-0.012442,-0.078698,182084097.65,False,NO_ORDER
119,ALAB,Information Technology,HIGH,-0.097234,0.225071,-0.322305,643138125.26,False,NO_ORDER
120,SU,Energy,HIGH,-0.106845,0.190164,-0.297009,130083020.1,False,NO_ORDER
121,PPL,Utilities,HIGH,-0.122582,-0.083408,-0.039174,163763278.65,True,NO_ORDER
122,TRP,Energy,HIGH,-0.123306,0.006048,-0.129354,71525934.38,False,NO_ORDER
123,MTD,Health Care,HIGH,-0.128593,0.486507,-0.6151,140198697.58,True,NO_ORDER
124,MFG,Financials,HIGH,-0.145088,-0.243171,0.098084,5195833.61,False,NO_ORDER
125,PWR,Industrials,HIGH,-0.14946,-0.352425,0.202965,166957583.36,False,NO_ORDER
126,WMB,Energy,HIGH,-0.149993,-0.174494,0.024501,214537033.6,False,NO_ORDER
127,FISV,Financials,HIGH,-0.169504,-0.236205,0.066701,394930970.05,True,NO_ORDER
128,BAM,Financials,HIGH,-0.172699,0.380966,-0.553666,80081107.19,False,NO_ORDER
129,PRU,Financials,HIGH,-0.181305,-0.253639,0.072334,194787941.11,True,NO_ORDER
130,KIM,Real Estate,HIGH,-0.197272,0.024699,-0.22197,89490179.21,True,NO_ORDER
131,XOM,Energy,HIGH,-0.19907,-0.148614,-0.050455,1297587114.03,False,NO_ORDER
132,FRT,Real Estate,HIGH,-0.206955,0.056858,-0.263814,64676142.11,True,NO_ORDER
133,RVTY,Health Care,HIGH,-0.242738,-0.233641,-0.009097,87840034.25,True,NO_ORDER
134,SO,Utilities,HIGH,-0.251513,-0.087775,-0.163738,270046551.28,False,NO_ORDER
135,NI,Utilities,HIGH,-0.252381,-0.050743,-0.201638,106610789.25,True,NO_ORDER
136,AMGN,Health Care,HIGH,-0.270045,-0.141132,-0.128913,583222430.35,False,NO_ORDER
137,DVA,Health Care,HIGH,-0.272486,-0.266126,-0.006361,101659717.91,True,NO_ORDER
138,DOC,Real Estate,HIGH,-0.284673,-0.027457,-0.257215,113851831.58,True,NO_ORDER
139,SONY,Consumer Discretionary,HIGH,-0.288674,-0.417154,0.12848,72414231.82,False,NO_ORDER
140,KVUE,Consumer Staples,HIGH,-0.289152,-0.261002,-0.02815,464958725.58,True,NO_ORDER
141,DUK,Utilities,HIGH,-0.300495,-0.162345,-0.138149,262652344.1,False,NO_ORDER
142,CVS,Health Care,HIGH,-0.314463,-0.232342,-0.082121,508348304.86,False,NO_ORDER
143,RCL,Consumer Discretionary,HIGH,-0.329942,-0.140494,-0.189448,348629775.53,False,NO_ORDER
144,AKAM,Information Technology,HIGH,-0.330162,-0.858723,0.528562,170604549.08,True,NO_ORDER
145,KHC,Consumer Staples,HIGH,-0.343089,-0.394441,0.051352,285883866.26,True,NO_ORDER
146,AIG,Financials,HIGH,-0.367272,-0.26656,-0.100712,296931337.75,True,NO_ORDER
147,MELI,Consumer Discretionary,HIGH,-0.374141,-0.302015,-0.072126,530388212.45,False,NO_ORDER
148,D,Utilities,HIGH,-0.386453,-0.344584,-0.041869,222641279.88,False,NO_ORDER
149,CHD,Consumer Staples,HIGH,-0.394786,-0.158747,-0.236039,134668624.83,True,NO_ORDER
150,MPC,Energy,HIGH,-0.401104,-0.237189,-0.163915,346310451.1,False,NO_ORDER
151,BAX,Health Care,HIGH,-0.406883,-0.579241,0.172358,207565134.99,True,NO_ORDER
152,MDLN,Health Care,HIGH,-0.423076,-0.425084,0.002008,336568020.91,False,NO_ORDER
153,APA,Energy,HIGH,-0.500224,-0.298368,-0.201855,194163920.83,True,NO_ORDER
154,MSI,Information Technology,HIGH,-0.501346,-0.496809,-0.004537,199997334.2,False,NO_ORDER
155,L,Financials,HIGH,-0.540953,-0.356795,-0.184157,53612241.42,True,NO_ORDER
156,ING,Financials,HIGH,-0.54676,-0.3002,-0.24656,38355191.63,False,NO_ORDER
157,NRG,Utilities,HIGH,-0.556576,-0.130835,-0.425741,168294833.86,True,NO_ORDER
158,MRK,Health Care,HIGH,-0.55741,-0.23642,-0.32099,785699030.78,False,NO_ORDER
159,TRGP,Energy,HIGH,-0.591812,-0.535362,-0.05645,127420227.71,False,NO_ORDER
160,FLEX,Information Technology,HIGH,-0.595147,-0.761161,0.166014,128234386.66,True,NO_ORDER
161,AON,Financials,HIGH,-0.607451,-0.046423,-0.561028,275945066.66,False,NO_ORDER
162,ENB,Energy,HIGH,-0.611838,-0.304288,-0.30755,121748701.83,False,NO_ORDER
163,BN,Financials,HIGH,-0.628829,-0.688932,0.060103,90930847.9,False,NO_ORDER
164,CEG,Utilities,HIGH,-0.628919,-0.009451,-0.619467,540871309.21,False,NO_ORDER
165,COR,Health Care,HIGH,-0.637914,-0.198919,-0.438996,218853738.2,True,NO_ORDER
166,SHEL,Energy,HIGH,-0.642598,-0.167997,-0.474601,220518043.81,False,NO_ORDER
167,PFE,Health Care,HIGH,-0.64265,-0.338638,-0.304011,842536347.47,False,NO_ORDER
168,LITE,Information Technology,HIGH,-0.669051,-0.826455,0.157404,327582490.35,False,NO_ORDER
169,MOS,Materials,HIGH,-0.672634,-0.580536,-0.092098,160740984.1,True,NO_ORDER
170,MRNA,Health Care,HIGH,-0.684371,-2.891639,2.207269,981774349.76,True,NO_ORDER
171,ETN,Industrials,HIGH,-0.697104,-0.387328,-0.309776,369226170.94,False,NO_ORDER
172,ET,Energy,HIGH,-0.697506,-0.379616,-0.31789,129722117.23,False,NO_ORDER
173,IMO,Energy,HIGH,-0.704281,-0.099202,-0.60508,19501518.64,False,NO_ORDER
174,ED,Utilities,HIGH,-0.709475,-0.175303,-0.534172,175212415.37,True,NO_ORDER
175,DASH,Consumer Discretionary,HIGH,-0.724259,-0.518073,-0.206185,578807156.33,False,NO_ORDER
176,IRM,Real Estate,HIGH,-0.74738,-0.729919,-0.017462,97646908.18,True,NO_ORDER
177,LYB,Materials,HIGH,-0.754353,-0.554187,-0.200166,227147012.33,True,NO_ORDER
178,CRH,Materials,HIGH,-0.77247,-0.737545,-0.034925,149776952.25,False,NO_ORDER
179,CDW,Information Technology,HIGH,-0.775202,-0.687782,-0.087419,130893060.27,True,NO_ORDER
180,AMAT,Information Technology,HIGH,-0.782697,-0.235524,-0.547172,863563734.6,False,NO_ORDER
181,CRL,Health Care,HIGH,-0.785506,-0.786709,0.001203,96037061.83,True,NO_ORDER
182,LLY,Health Care,HIGH,-0.788305,0.213564,-1.001868,1233274787.5,False,NO_ORDER
183,CARR,Industrials,HIGH,-0.827222,-0.60761,-0.219612,264198774.26,True,NO_ORDER
184,LDOS,Information Technology,HIGH,-0.853742,-0.599352,-0.25439,99346416.17,True,NO_ORDER
185,HUBB,Industrials,HIGH,-0.898427,-0.39581,-0.502617,96991062.66,True,NO_ORDER
186,ADM,Consumer Staples,HIGH,-0.917709,-0.759965,-0.157744,185471580.78,True,NO_ORDER
187,CMI,Industrials,HIGH,-0.917867,-0.467312,-0.450554,238863823.38,False,NO_ORDER
188,CI,Health Care,HIGH,-0.94111,-0.513983,-0.427127,398943452.98,False,NO_ORDER
189,SATS,Information Technology,HIGH,-0.950473,-1.141231,0.190758,69405441.32,True,NO_ORDER
190,MCD,Consumer Discretionary,HIGH,-1.004671,-0.247079,-0.757591,678972548.16,False,NO_ORDER
191,CPAY,Financials,HIGH,-1.009877,-0.446958,-0.562919,155115364.28,True,NO_ORDER
192,ARM,Information Technology,HIGH,-1.04243,-0.659412,-0.383018,1121432655.26,False,NO_ORDER
193,MAR,Consumer Discretionary,HIGH,-1.085699,-0.34392,-0.741779,320705269.43,False,NO_ORDER
194,CBOE,Financials,HIGH,-1.149422,-0.096413,-1.053009,112804329.66,True,NO_ORDER
195,DECK,Consumer Discretionary,HIGH,-1.166598,0.311944,-1.478542,643114738.3,True,NO_ORDER
196,FIS,Financials,HIGH,-1.173395,0.275716,-1.449111,309641734.35,True,NO_ORDER
197,TDG,Industrials,HIGH,-1.18238,-0.502251,-0.680129,196735225.71,False,NO_ORDER
198,CSCO,Information Technology,HIGH,-1.230152,-0.605127,-0.625025,937403516.43,False,NO_ORDER
199,HD,Consumer Discretionary,HIGH,-1.249052,-0.501037,-0.748015,984999545.63,False,NO_ORDER
200,CPRT,Industrials,HIGH,-1.291182,-0.395882,-0.8953,374757415.87,True,NO_ORDER
201,PTC,Information Technology,HIGH,-1.319879,0.524435,-1.844313,101768099.36,True,NO_ORDER
202,LHX,Industrials,HIGH,-1.400035,-0.762273,-0.637763,221418959.28,True,NO_ORDER
203,IFNNY,Information Technology,HIGH,-1.404442,-1.428792,0.02435,7583612.72,False,NO_ORDER
204,TAP,Consumer Staples,HIGH,-1.419547,-1.10127,-0.318277,120472766.1,True,NO_ORDER
205,BMY,Health Care,HIGH,-1.423665,-0.401478,-1.022186,567344516.14,False,NO_ORDER
206,Q,Information Technology,HIGH,-1.428908,-1.199342,-0.229566,255530889.76,True,NO_ORDER
207,SWKS,Information Technology,HIGH,-1.487846,-1.378982,-0.108864,228109920.51,True,NO_ORDER
208,MPWR,Information Technology,HIGH,-1.509475,-0.700018,-0.809457,225677515.84,False,NO_ORDER
209,RKLB,Industrials,HIGH,-1.707032,-1.5837,-0.123332,378992840.62,False,NO_ORDER
210,BABA,Consumer Discretionary,HIGH,-1.799096,-1.157298,-0.641798,2545600991.26,False,NO_ORDER
