ticker,sector,weight,n_obs,realized_vol_annual,beta_to_spy,residual_vol_annual,avg_dollar_volume
AAPL,Information Technology,0.125,252,0.226187,0.893708,0.197488,13209935033.5
AMGN,Health Care,0.116667,252,0.277144,0.525695,0.269447,937393168.61
BKNG,Consumer Discretionary,0.108333,252,0.323062,0.987706,0.299195,1282827408.99
CL,Consumer Staples,0.1,252,0.21569,-0.055458,0.215581,486627699.79
DE,Industrials,0.091667,252,0.299661,0.567395,0.291368,736377327.68
GD,Industrials,0.083333,252,0.215988,0.506146,0.206762,454787160.26
IBM,Information Technology,0.075,252,0.393739,1.061788,0.371305,2055427608.78
LIN,Materials,0.066667,252,0.171871,0.196261,0.170156,1140310694.58
MDT,Health Care,0.058333,252,0.210117,0.285459,0.207144,795065545.6
NKE,Consumer Discretionary,0.05,252,0.382507,0.885872,0.366558,1029975829.85
PG,Consumer Staples,0.041667,252,0.187038,-0.027507,0.187008,1370072384.1
RTX,Industrials,0.033333,252,0.240378,0.536393,0.231088,975264547.9
T,Communication Services,0.025,252,0.221245,-0.271905,0.218687,1064320111.39
UPS,Industrials,0.016667,252,0.296681,0.855184,0.277283,610077424.64
ZTS,Health Care,0.008333,252,0.355444,0.754779,0.343027,569544680.57
