scenario,family,cycle,n_events,n_months,mean_ic,ic_t,bh_significant,mean_spread,net_spread_25bps,net_spread_50bps,subperiod_stable,beats_placebo,promoted
earnings_surprise,earnings,1,36862,120,0.0234,1.68,False,0.003,-0.002,-0.007,True,False,False
sue_standardized,earnings,1,35916,120,0.0242,1.73,False,0.0019,-0.0031,-0.008,True,True,False
surprise_magnitude,earnings,1,38725,120,0.0181,1.34,False,0.0032,-0.0018,-0.0068,True,False,False
positive_surprise_asymmetry,earnings,1,38326,120,0.0246,1.82,False,0.0029,-0.0021,-0.0071,True,True,False
earnings_momentum,earnings,1,37385,120,0.0115,0.74,False,0.0011,-0.0039,-0.0088,False,False,False
earnings_acceleration,earnings,1,37020,120,0.0255,2.24,False,0.0053,0.0003,-0.0046,True,True,False
beat_streak,earnings,1,38725,120,0.0054,0.42,False,-0.0017,-0.0066,-0.0116,False,False,False
surprise_fade,earnings,1,36862,120,-0.0234,-1.68,False,-0.0029,-0.0079,-0.0129,False,False,False
revenue_growth,fundamentals,2,30012,120,0.0073,0.43,False,0.0017,-0.0033,-0.0082,False,False,False
earnings_growth,fundamentals,2,38084,120,0.004,0.3,False,0.0018,-0.0032,-0.0081,False,False,False
gross_margin,fundamentals,2,38216,120,0.0016,0.13,False,-0.0032,-0.0082,-0.0131,False,False,False
operating_margin,fundamentals,2,38229,120,0.0014,0.1,False,-0.0025,-0.0075,-0.0125,False,False,False
fcf_margin,fundamentals,2,37257,120,0.0202,1.84,False,0.0035,-0.0015,-0.0065,True,True,False
roa_quality,fundamentals,2,38142,120,0.0111,0.72,False,-0.004,-0.009,-0.014,True,False,False
low_leverage,fundamentals,2,38001,120,0.0036,0.26,False,-0.0011,-0.0061,-0.011,False,False,False
quality_composite,fundamentals,2,37178,120,0.022,1.97,False,0.0038,-0.0012,-0.0062,True,True,False
balance_sheet_strength,fundamentals,2,37962,120,0.0289,1.97,False,0.009,0.0041,-0.0009,True,True,False
quality_improvement,fundamentals,2,38725,120,0.0089,0.66,False,0.004,-0.001,-0.0059,False,False,False
earnings_yield_value,valuation,2,37094,120,0.0078,0.46,False,-0.0024,-0.0073,-0.0123,False,False,False
price_momentum_21,price,3,20669,119,0.0089,0.61,False,0.0074,0.0024,-0.0026,True,True,False
price_momentum_63,price,3,20472,119,0.0032,0.18,False,-0.0012,-0.0062,-0.0112,False,False,False
low_volatility,price,3,20775,119,-0.0137,-0.64,False,-0.0138,-0.0188,-0.0238,False,False,False
low_beta,price,3,20767,119,-0.0147,-0.61,False,-0.0077,-0.0127,-0.0177,False,False,False
liquidity,price,3,0,0,,,False,,,,False,False,False
sector_leadership,price,3,20669,119,0.006,0.44,False,0.0052,0.0002,-0.0048,False,True,False
surprise_high_rates,regime,4,18501,47,0.0079,0.42,False,-0.0035,-0.0085,-0.0135,True,False,False
surprise_easy_curve,regime,4,30794,96,0.0259,1.58,False,0.0026,-0.0023,-0.0073,True,False,False
surprise_drawdown,regime,4,2552,20,0.0255,0.85,False,0.0065,0.0016,-0.0034,False,False,False
surprise_high_oil,regime,4,20816,80,0.0232,1.29,False,0.0039,-0.0011,-0.006,True,False,False
sue_easy_curve,regime,4,29896,96,0.025,1.5,False,0.0006,-0.0044,-0.0094,True,True,False
surprise_x_quality,interaction,5,36420,120,0.0249,1.78,False,0.0029,-0.002,-0.007,True,False,False
surprise_x_qualimp,interaction,5,36862,120,0.0233,1.67,False,0.0029,-0.0021,-0.007,True,False,False
surprise_x_margin_exp,interaction,5,36373,120,0.0105,0.72,False,0.0026,-0.0024,-0.0074,False,False,False
surprise_x_valuation,interaction,5,35493,120,0.0092,0.66,False,0.0023,-0.0026,-0.0076,True,False,False
surprise_x_momentum,interaction,5,20225,119,0.0126,0.86,False,0.0076,0.0026,-0.0024,True,False,False
surprise_x_lowvol,interaction,5,20329,119,-0.0137,-0.65,False,-0.0117,-0.0167,-0.0217,False,False,False
sue_x_quality,interaction,6,35510,120,-0.0016,-0.1,False,-0.0062,-0.0111,-0.0161,False,False,False
sue_x_momentum,interaction,6,20310,119,0.006,0.39,False,0.0059,0.0009,-0.0041,True,False,False
beats_x_momentum,interaction,6,20669,119,0.0045,0.33,False,-0.0013,-0.0063,-0.0113,False,False,False
accel_x_quality,interaction,6,36547,120,0.0026,0.15,False,-0.0048,-0.0097,-0.0147,False,False,False
accel_x_momentum,interaction,6,20224,119,0.0014,0.08,False,-0.0017,-0.0067,-0.0117,False,False,False
surprise_sector_neutral,earnings,6,36862,120,0.0202,1.43,False,0.0025,-0.0025,-0.0075,False,False,False
sue_sector_neutral,earnings,6,35916,120,0.0249,1.84,False,0.0006,-0.0044,-0.0094,True,False,False
