ticker,raw_path,bytes,gitignored
A,research/data/eodhd/raw/eod_prices/A.json,460631,True
ACGL,research/data/eodhd/raw/eod_prices/ACGL.json,456467,True
ADM,research/data/eodhd/raw/eod_prices/ADM.json,453696,True
ADSK,research/data/eodhd/raw/eod_prices/ADSK.json,459126,True
AEE,research/data/eodhd/raw/eod_prices/AEE.json,455457,True
AES,research/data/eodhd/raw/eod_prices/AES.json,453459,True
AIG,research/data/eodhd/raw/eod_prices/AIG.json,454013,True
AIZ,research/data/eodhd/raw/eod_prices/AIZ.json,460773,True
AJG,research/data/eodhd/raw/eod_prices/AJG.json,459462,True
AKAM,research/data/eodhd/raw/eod_prices/AKAM.json,451883,True
ALB,research/data/eodhd/raw/eod_prices/ALB.json,459063,True
ALGN,research/data/eodhd/raw/eod_prices/ALGN.json,457603,True
ALL,research/data/eodhd/raw/eod_prices/ALL.json,461576,True
ALLE,research/data/eodhd/raw/eod_prices/ALLE.json,459543,True
AMCR,research/data/eodhd/raw/eod_prices/AMCR.json,445118,True
AME,research/data/eodhd/raw/eod_prices/AME.json,460108,True
AMP,research/data/eodhd/raw/eod_prices/AMP.json,463851,True
AOS,research/data/eodhd/raw/eod_prices/AOS.json,452667,True
APA,research/data/eodhd/raw/eod_prices/APA.json,453910,True
APTV,research/data/eodhd/raw/eod_prices/APTV.json,457811,True
ARE,research/data/eodhd/raw/eod_prices/ARE.json,461730,True
ARES,research/data/eodhd/raw/eod_prices/ARES.json,454454,True
ATO,research/data/eodhd/raw/eod_prices/ATO.json,458964,True
AVB,research/data/eodhd/raw/eod_prices/AVB.json,464724,True
AVY,research/data/eodhd/raw/eod_prices/AVY.json,461569,True
AWK,research/data/eodhd/raw/eod_prices/AWK.json,461345,True
AXON,research/data/eodhd/raw/eod_prices/AXON.json,452232,True
AZO,research/data/eodhd/raw/eod_prices/AZO.json,468473,True
BALL,research/data/eodhd/raw/eod_prices/BALL.json,453762,True
BAX,research/data/eodhd/raw/eod_prices/BAX.json,453906,True
BBY,research/data/eodhd/raw/eod_prices/BBY.json,455223,True
BDX,research/data/eodhd/raw/eod_prices/BDX.json,473204,True
BEN,research/data/eodhd/raw/eod_prices/BEN.json,453990,True
BG,research/data/eodhd/raw/eod_prices/BG.json,454775,True
BIIB,research/data/eodhd/raw/eod_prices/BIIB.json,459876,True
BLDR,research/data/eodhd/raw/eod_prices/BLDR.json,452052,True
BR,research/data/eodhd/raw/eod_prices/BR.json,461636,True
BRO,research/data/eodhd/raw/eod_prices/BRO.json,454175,True
BXP,research/data/eodhd/raw/eod_prices/BXP.json,458130,True
CAG,research/data/eodhd/raw/eod_prices/CAG.json,454589,True
CAH,research/data/eodhd/raw/eod_prices/CAH.json,456580,True
CARR,research/data/eodhd/raw/eod_prices/CARR.json,271805,True
CASY,research/data/eodhd/raw/eod_prices/CASY.json,463765,True
CBOE,research/data/eodhd/raw/eod_prices/CBOE.json,460402,True
CBRE,research/data/eodhd/raw/eod_prices/CBRE.json,451935,True
CCI,research/data/eodhd/raw/eod_prices/CCI.json,461919,True
CCL,research/data/eodhd/raw/eod_prices/CCL.json,454756,True
CDW,research/data/eodhd/raw/eod_prices/CDW.json,460851,True
CF,research/data/eodhd/raw/eod_prices/CF.json,454520,True
CFG,research/data/eodhd/raw/eod_prices/CFG.json,455035,True
CHD,research/data/eodhd/raw/eod_prices/CHD.json,455269,True
CHRW,research/data/eodhd/raw/eod_prices/CHRW.json,455817,True
CHTR,research/data/eodhd/raw/eod_prices/CHTR.json,460920,True
