scenario,ic_before,ic_after,ic_delta,t_before,t_after,t_delta,net25_before,net25_after,net50_before,net50_after,subperiod_stable_before,subperiod_stable_after,promotion_status
accel_x_momentum,0.0026,0.0014,-0.0012,0.12,0.08,-0.04,-0.0046,-0.0067,-0.0096,-0.0117,False,False,unchanged
accel_x_quality,0.003,0.0026,-0.0004,0.15,0.15,0.0,-0.0105,-0.0097,-0.0154,-0.0147,False,False,unchanged
balance_sheet_strength,0.0158,0.0289,0.0131,0.84,1.97,1.13,-0.0034,0.0041,-0.0083,-0.0009,True,True,unchanged
beat_streak,0.0289,0.0054,-0.0235,1.78,0.42,-1.36,-0.0087,-0.0066,-0.0137,-0.0116,True,False,unchanged
beats_x_momentum,0.0256,0.0045,-0.0211,1.59,0.33,-1.26,-0.0013,-0.0063,-0.0063,-0.0113,True,False,unchanged
earnings_acceleration,0.0371,0.0255,-0.0116,2.57,2.24,-0.33,-0.0013,0.0003,-0.0063,-0.0046,True,True,unchanged
earnings_growth,0.0111,0.004,-0.0071,0.67,0.3,-0.37,0.0003,-0.0032,-0.0047,-0.0081,False,False,unchanged
earnings_momentum,-0.002,0.0115,0.0135,-0.1,0.74,0.84,-0.0062,-0.0039,-0.0111,-0.0088,False,False,unchanged
earnings_surprise,0.0442,0.0234,-0.0208,2.85,1.68,-1.17,0.0046,-0.002,-0.0004,-0.007,True,True,unchanged
earnings_yield_value,0.0,0.0078,0.0078,0.0,0.46,0.46,-0.0111,-0.0073,-0.016,-0.0123,False,False,unchanged
fcf_margin,0.0153,0.0202,0.0049,0.98,1.84,0.86,-0.0054,-0.0015,-0.0104,-0.0065,True,True,unchanged
gross_margin,0.0097,0.0016,-0.0081,0.63,0.13,-0.5,-0.0081,-0.0082,-0.013,-0.0131,True,False,unchanged
liquidity,,,,,,,,,,,False,False,unchanged
low_beta,-0.0212,-0.0147,0.0065,-0.78,-0.61,0.17,-0.0165,-0.0127,-0.0214,-0.0177,False,False,unchanged
low_leverage,-0.0117,0.0036,0.0153,-0.69,0.26,0.95,-0.0105,-0.0061,-0.0155,-0.011,False,False,unchanged
low_volatility,-0.0294,-0.0137,0.0157,-1.21,-0.64,0.57,-0.0248,-0.0188,-0.0297,-0.0238,False,False,unchanged
operating_margin,-0.001,0.0014,0.0024,-0.06,0.1,0.16,-0.0132,-0.0075,-0.0181,-0.0125,False,False,unchanged
positive_surprise_asymmetry,0.0488,0.0246,-0.0242,3.08,1.82,-1.26,0.0002,-0.0021,-0.0048,-0.0071,True,True,dropped
price_momentum_21,0.0202,0.0089,-0.0113,1.14,0.61,-0.53,0.0031,0.0024,-0.0019,-0.0026,True,True,unchanged
price_momentum_63,0.0086,0.0032,-0.0054,0.4,0.18,-0.22,-0.0042,-0.0062,-0.0092,-0.0112,False,False,unchanged
quality_composite,0.0162,0.022,0.0058,0.99,1.97,0.98,-0.0059,-0.0012,-0.0109,-0.0062,True,True,unchanged
quality_improvement,0.0286,0.0089,-0.0197,1.84,0.66,-1.18,0.0038,-0.001,-0.0011,-0.0059,True,False,unchanged
revenue_growth,0.0133,0.0073,-0.006,0.7,0.43,-0.27,0.0,-0.0033,-0.005,-0.0082,True,False,unchanged
roa_quality,0.003,0.0111,0.0081,0.18,0.72,0.54,-0.0115,-0.009,-0.0165,-0.014,False,True,unchanged
sector_leadership,0.0113,0.006,-0.0053,0.71,0.44,-0.27,0.0012,0.0002,-0.0037,-0.0048,False,False,unchanged
