scenario,family,signal,mean_ic,ic_t,n_events,reject_reason
low_beta,price,low_beta,-0.0147,-0.61,20767,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; sector-concentrated (Unknown 76%); not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
liquidity,price,liquidity,,,0,"insufficient events (0<150); insufficient months (0<10); mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; not stable across subperiods (a half flips sign); not robust across rate regimes; exploratory/challenge scenario - reported, not promoted as confirmed"
sector_leadership,price,mom_pre_21,0.006,0.44,20669,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; sector-concentrated (Unknown 81%); not stable across subperiods (a half flips sign); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_high_rates,regime,surprise_pct,0.0079,0.42,18501,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; sector-concentrated (Unknown 67%); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_easy_curve,regime,surprise_pct,0.0259,1.58,30794,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 25 bps cost; sector-concentrated (Unknown 69%); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_drawdown,regime,surprise_pct,0.0255,0.85,2552,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; sector-concentrated (Unknown 82%); not stable across subperiods (a half flips sign); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_high_oil,regime,surprise_pct,0.0232,1.29,20816,"mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 25 bps cost; sector-concentrated (Unknown 69%); exploratory/challenge scenario - reported, not promoted as confirmed"
sue_easy_curve,regime,sue,0.025,1.5,29896,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 10 bps cost; does not survive 25 bps cost; not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_x_quality,interaction,surprise_x_quality,0.0249,1.78,36420,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 25 bps cost; sector-concentrated (Unknown 70%); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_x_qualimp,interaction,surprise_x_qualimp,0.0233,1.67,36862,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 25 bps cost; sector-concentrated (Unknown 70%); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_x_margin_exp,interaction,surprise_x_margin_exp,0.0105,0.72,36373,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 25 bps cost; sector-concentrated (Unknown 70%); not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_x_valuation,interaction,surprise_x_valuation,0.0092,0.66,35493,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 25 bps cost; sector-concentrated (Unknown 76%); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_x_momentum,interaction,surprise_x_mom,0.0126,0.86,20225,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; sector-concentrated (Unknown 78%); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_x_lowvol,interaction,surprise_x_lowvol,-0.0137,-0.65,20329,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 10 bps cost; does not survive 25 bps cost; sector-concentrated (Unknown 69%); not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
sue_x_quality,interaction,sue_x_quality,-0.0016,-0.1,35510,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
sue_x_momentum,interaction,sue_x_mom,0.006,0.39,20310,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; sector-concentrated (Unknown 78%); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
beats_x_momentum,interaction,beats_x_mom,0.0045,0.33,20669,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; sector-concentrated (Unknown 68%); not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
accel_x_quality,interaction,accel_x_quality,0.0026,0.15,36547,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
accel_x_momentum,interaction,accel_x_mom2,0.0014,0.08,20224,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; spread hit-rate below 0.55 and spread not strongly compensating; does not survive 10 bps cost; does not survive 25 bps cost; sector-concentrated (Unknown 76%); not stable across subperiods (a half flips sign); not robust across rate regimes; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
surprise_sector_neutral,earnings,surprise_pct,0.0202,1.43,36862,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 25 bps cost; sector-concentrated (Unknown 64%); not stable across subperiods (a half flips sign); fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
sue_sector_neutral,earnings,sue,0.0249,1.84,35916,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 10 bps cost; does not survive 25 bps cost; fails Benjamini-Hochberg q=0.10 (and not marked exploratory)
