ticker,normalized_path,price_rows,gitignored
A,research/data/eodhd/normalized/eod_prices/A.csv,2635,True
ACGL,research/data/eodhd/normalized/eod_prices/ACGL.csv,2635,True
ADM,research/data/eodhd/normalized/eod_prices/ADM.csv,2635,True
ADSK,research/data/eodhd/normalized/eod_prices/ADSK.csv,2635,True
AEE,research/data/eodhd/normalized/eod_prices/AEE.csv,2635,True
AES,research/data/eodhd/normalized/eod_prices/AES.csv,2635,True
AIG,research/data/eodhd/normalized/eod_prices/AIG.csv,2635,True
AIZ,research/data/eodhd/normalized/eod_prices/AIZ.csv,2635,True
AJG,research/data/eodhd/normalized/eod_prices/AJG.csv,2635,True
AKAM,research/data/eodhd/normalized/eod_prices/AKAM.csv,2635,True
ALB,research/data/eodhd/normalized/eod_prices/ALB.csv,2635,True
ALGN,research/data/eodhd/normalized/eod_prices/ALGN.csv,2635,True
ALL,research/data/eodhd/normalized/eod_prices/ALL.csv,2635,True
ALLE,research/data/eodhd/normalized/eod_prices/ALLE.csv,2635,True
AMCR,research/data/eodhd/normalized/eod_prices/AMCR.csv,2635,True
AME,research/data/eodhd/normalized/eod_prices/AME.csv,2635,True
AMP,research/data/eodhd/normalized/eod_prices/AMP.csv,2635,True
AOS,research/data/eodhd/normalized/eod_prices/AOS.csv,2635,True
APA,research/data/eodhd/normalized/eod_prices/APA.csv,2635,True
APTV,research/data/eodhd/normalized/eod_prices/APTV.csv,2635,True
ARE,research/data/eodhd/normalized/eod_prices/ARE.csv,2635,True
ARES,research/data/eodhd/normalized/eod_prices/ARES.csv,2635,True
ATO,research/data/eodhd/normalized/eod_prices/ATO.csv,2635,True
AVB,research/data/eodhd/normalized/eod_prices/AVB.csv,2635,True
AVY,research/data/eodhd/normalized/eod_prices/AVY.csv,2635,True
AWK,research/data/eodhd/normalized/eod_prices/AWK.csv,2635,True
AXON,research/data/eodhd/normalized/eod_prices/AXON.csv,2635,True
AZO,research/data/eodhd/normalized/eod_prices/AZO.csv,2635,True
BALL,research/data/eodhd/normalized/eod_prices/BALL.csv,2635,True
BAX,research/data/eodhd/normalized/eod_prices/BAX.csv,2635,True
BBY,research/data/eodhd/normalized/eod_prices/BBY.csv,2635,True
BDX,research/data/eodhd/normalized/eod_prices/BDX.csv,2635,True
BEN,research/data/eodhd/normalized/eod_prices/BEN.csv,2635,True
BG,research/data/eodhd/normalized/eod_prices/BG.csv,2635,True
BIIB,research/data/eodhd/normalized/eod_prices/BIIB.csv,2635,True
BLDR,research/data/eodhd/normalized/eod_prices/BLDR.csv,2635,True
BR,research/data/eodhd/normalized/eod_prices/BR.csv,2635,True
