ticker,has_price,has_earnings,has_fundamentals,scoreable_ready
TD,True,True,True,True
TDG,True,True,True,True
TEL,True,True,True,True
TER,True,True,True,True
TFC,True,True,True,True
TGT,True,True,True,True
TJX,True,True,True,True
TM,True,True,True,True
TMO,True,True,True,True
TMUS,True,True,True,True
TRGP,True,True,True,True
TRP,True,True,True,True
TRV,True,True,True,True
TSLA,True,True,True,True
TT,True,True,True,True
TTE,True,True,True,True
TXN,True,True,True,True
UBER,True,True,True,True
UBS,True,True,True,True
UL,True,True,True,True
UNH,True,True,True,True
UNP,True,True,True,True
UPS,True,True,True,True
URI,True,True,True,True
USB,True,True,True,True
V,True,True,True,True
VALE,True,True,True,True
VLO,True,True,True,True
VRT,True,True,True,True
VRTX,True,True,True,True
VZ,True,True,True,True
WBD,True,True,True,True
WDC,True,True,True,True
WELL,True,True,True,True
WFC,True,True,True,True
WM,True,True,True,True
WMB,True,True,True,True
WMT,True,True,True,True
XOM,True,True,True,True
