date,ticker,regime,price_plus_event_score,y_excess_20d,excess_5d,excess_10d,raw_return_20d
2017-01-31,AAPL,risk_on,-0.155026,0.103113,0.077693,0.090357,0.156952
2017-01-31,ABBV,risk_on,-0.116344,-0.025693,-0.015197,-0.031863,0.028146
2017-01-31,ABT,risk_on,-0.84777,0.037614,0.020617,0.017892,0.091453
2017-01-31,ACN,risk_on,-0.122839,0.035737,0.011806,0.026716,0.089576
2017-01-31,ADBE,risk_on,-0.110894,0.007636,0.007738,0.009926,0.061475
2017-01-31,ADI,risk_on,0.902135,0.069961,0.012084,0.01158,0.1238
2017-01-31,ADP,risk_on,-0.142815,-0.018786,-0.052736,-0.042465,0.035053
2017-01-31,AMAT,risk_on,1.113079,0.02514,0.031468,0.001496,0.078979
2017-01-31,AMD,risk_on,5.636697,0.388784,0.275384,0.251571,0.442623
2017-01-31,AMGN,risk_on,-0.547161,0.091613,0.058521,0.052849,0.145452
2017-01-31,AMZN,risk_on,-0.328096,-0.017894,-0.019531,-0.01144,0.035945
2017-01-31,AON,risk_on,-0.70228,-0.011159,0.007556,0.000833,0.04268
2017-01-31,APD,risk_on,-0.646622,-0.025719,-0.013066,-0.01016,0.02812
2017-01-31,APH,risk_on,-0.265559,-0.003609,-0.00916,-0.002818,0.05023
2017-01-31,AVGO,risk_on,0.577168,0.024557,0.025933,0.002106,0.078396
2017-01-31,AXP,risk_on,-0.537725,0.018693,0.011347,0.012553,0.072532
2017-01-31,BA,risk_on,0.34257,0.081224,0.01265,0.012838,0.135063
2017-01-31,BAC,risk_on,3.239977,0.075919,0.005287,0.035603,0.129758
2017-01-31,BKNG,risk_on,0.20451,0.046502,0.008767,0.012346,0.100341
2017-01-31,BLK,risk_on,-0.100142,0.009881,0.001584,0.002296,0.06372
2017-01-31,BMY,risk_on,0.958499,0.109302,0.044657,0.065438,0.163141
2017-01-31,BSX,risk_on,-0.964975,-0.016433,0.042431,0.019433,0.037406
2017-01-31,C,risk_on,1.759175,0.051591,0.021095,0.047597,0.10543
2017-01-31,CAT,risk_on,0.76965,-0.023314,-0.030763,-0.001715,0.030525
2017-01-31,CB,risk_on,-0.274624,0.01377,-0.011825,-0.008105,0.067609
2017-01-31,CDNS,risk_on,-0.229502,0.149004,0.122501,0.122326,0.202843
2017-01-31,CI,risk_on,0.25985,-0.012942,0.005293,-0.023972,0.040897
2017-01-31,CL,risk_on,-0.904874,0.083665,0.024463,0.021814,0.137504
2017-01-31,CME,risk_on,-0.242317,-0.004946,-0.025605,-0.027695,0.048893
2017-01-31,CMG,risk_on,-1.14192,-0.059273,-0.060297,-0.031625,-0.005434
2017-01-31,COP,risk_on,1.590013,-0.042511,0.007339,0.006685,0.011328
2017-01-31,COST,risk_on,-1.326537,0.033926,0.015578,0.034778,0.087765
2017-01-31,CRM,risk_on,-0.42764,0.005706,0.007836,-0.004108,0.059545
2017-01-31,CSCO,risk_on,-0.649716,0.067254,0.017566,0.02464,0.121093
2017-01-31,CVS,risk_on,0.044693,-0.029858,-0.037285,-0.028894,0.023981
2017-01-31,CVX,risk_on,-1.0345,-0.021329,-0.005838,-0.006938,0.03251
2017-01-31,DE,risk_on,2.142072,-0.014886,0.009777,0.000907,0.038953
2017-01-31,DIS,risk_on,-0.812236,-0.050314,-0.021109,-0.030009,0.003525
2017-01-31,DUK,risk_on,-1.011966,0.000879,-0.016256,-0.033483,0.054718
2017-01-31,ELV,risk_on,-0.075356,0.029397,0.022673,0.032439,0.083236
2017-01-31,EMR,risk_on,-0.252353,-0.008168,0.059947,0.066302,0.045671
2017-01-31,EOG,risk_on,1.172968,-0.068901,-0.049414,-0.030562,-0.015062
2017-01-31,EQIX,risk_on,-1.5442,-0.066708,-0.01747,-0.033196,-0.012868
2017-01-31,ETN,risk_on,-0.395089,-0.019084,-0.013826,-0.009739,0.034755
2017-01-31,FDX,risk_on,-0.567186,-0.009896,-0.011961,-0.009403,0.043943
2017-01-31,GD,risk_on,0.245124,0.00873,0.005566,0.006846,0.062569
2017-01-31,GE,risk_on,-0.517448,-0.029233,-0.010911,-0.007589,0.024606
2017-01-31,GILD,risk_on,-1.012349,-0.085033,0.003189,-0.09475,-0.031194
2017-01-31,GOOG,risk_on,-0.879096,-0.005583,0.006579,0.002577,0.048256
2017-01-31,GOOGL,risk_on,-0.88556,-0.009264,0.004825,-0.002928,0.044575
