model,evaluable,n_scored_dates,mean_rank_ic,ic_t_stat,worst_year_ic,mean_decile_spread,top_quintile_hit_rate,ic_5d,ic_10d,ic_20d,net_50bps_ann_mean_top10,placebo_mean_ic,is_best_event_candidate
phase5c_reference,True,112,0.048001,1.999517,-0.053281,0.019088,0.494643,0.065324,0.064402,0.048001,0.267126,-0.007198,False
event_alpha_only,True,112,0.014419,0.965355,-0.069851,0.004683,0.500595,0.024313,0.008483,0.014419,0.140688,0.008621,False
price_plus_event_alpha,True,112,0.04603,1.991544,-0.071773,0.017956,0.520833,0.05949,0.054388,0.04603,0.252439,-0.002285,False
event_gated_price_signal,True,112,0.03149,1.803222,-0.040448,0.013708,0.533929,0.028868,0.023707,0.03149,0.209803,0.004135,False
