dimension,segment,n_events,n_tickers,new_cohort_share,mean_ic,ic_t,net_spread_25bps,subperiod_stable
calendar,pre_2020,24784,517,0.1363,0.023,1.08,-0.0036,False
calendar,post_2020,13941,545,0.4529,0.0187,1.01,-0.0019,False
regime,high_rates,19365,545,,-0.0036,-0.19,-0.0071,False
regime,easy_regime,32514,545,,0.0205,1.25,-0.0036,True
regime,market_drawdown,2595,533,,0.0356,1.15,-0.0004,True
regime,high_oil,21906,544,,0.0205,1.3,-0.0021,True
