variant,signal,sector_constrained,mean_ic,ic_t,n_events,reject_reason,rationale
quality_gated_surprise,surprise_x_quality,False,0.0249,1.78,36420,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 25 bps cost; sector-concentrated (Unknown 70%); fails Benjamini-Hochberg q=0.10 (and not marked exploratory),surprise confirmed by ROA quality (surprise_x_quality) on the full expanded universe
large_surprise_only,surprise_pct,False,0.0284,1.9,28870,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 25 bps cost; sector-concentrated (Unknown 67%); not stable across subperiods (a half flips sign); fails Benjamini-Hochberg q=0.10 (and not marked exploratory),within-sector surprise drift among large-magnitude surprises only
post_2020_only,surprise_pct,False,0.0187,1.01,13685,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 25 bps cost; sector-concentrated (Unknown 74%); not stable across subperiods (a half flips sign); fails Benjamini-Hochberg q=0.10 (and not marked exploratory),within-sector surprise drift on the post-2020 subperiod only
exclude_weak_sectors,surprise_pct,False,0.0264,1.13,9947,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; fails Benjamini-Hochberg q=0.10 (and not marked exploratory),"within-sector surprise drift after dropping IC-dilutive sectors: Consumer Staples, Energy, Health Care, Unknown"
require_min_event_history,surprise_pct,False,0.0202,1.43,36829,mean_ic below +0.03 (or wrong-sign); ic_t below +2.0; does not survive 25 bps cost; sector-concentrated (Unknown 64%); not stable across subperiods (a half flips sign); fails Benjamini-Hochberg q=0.10 (and not marked exploratory),within-sector surprise drift among names with >=12 cached earnings events
