date,ticker,regime,price_plus_event_score,y_excess_20d,excess_5d,excess_10d,raw_return_20d
2017-01-31,AAPL,risk_on,-0.151809,0.103113,0.077693,0.090357,0.156952
2017-01-31,ABBV,risk_on,-0.130446,-0.025693,-0.015197,-0.031863,0.028146
2017-01-31,ABT,risk_on,-0.808709,0.037614,0.020617,0.017892,0.091453
2017-01-31,ACN,risk_on,-0.136024,0.035737,0.011806,0.026716,0.089576
2017-01-31,ADBE,risk_on,-0.096017,0.007636,0.007738,0.009926,0.061475
2017-01-31,ADI,risk_on,0.832636,0.069961,0.012084,0.01158,0.1238
2017-01-31,ADP,risk_on,-0.176504,-0.018786,-0.052736,-0.042465,0.035053
2017-01-31,AMAT,risk_on,1.00035,0.02514,0.031468,0.001496,0.078979
2017-01-31,AMD,risk_on,5.333219,0.388784,0.275384,0.251571,0.442623
2017-01-31,AMGN,risk_on,-0.503124,0.091613,0.058521,0.052849,0.145452
2017-01-31,AMZN,risk_on,-0.148789,-0.017894,-0.019531,-0.01144,0.035945
2017-01-31,AON,risk_on,-0.691513,-0.011159,0.007556,0.000833,0.04268
2017-01-31,APD,risk_on,-0.640085,-0.025719,-0.013066,-0.01016,0.02812
2017-01-31,APH,risk_on,-0.257646,-0.003609,-0.00916,-0.002818,0.05023
2017-01-31,AVGO,risk_on,0.537627,0.024557,0.025933,0.002106,0.078396
2017-01-31,AXP,risk_on,-0.51504,0.018693,0.011347,0.012553,0.072532
2017-01-31,BA,risk_on,0.342049,0.081224,0.01265,0.012838,0.135063
2017-01-31,BAC,risk_on,3.001338,0.075919,0.005287,0.035603,0.129758
2017-01-31,BKNG,risk_on,0.17832,0.046502,0.008767,0.012346,0.100341
2017-01-31,BLK,risk_on,-0.130811,0.009881,0.001584,0.002296,0.06372
2017-01-31,BMY,risk_on,0.902573,0.109302,0.044657,0.065438,0.163141
2017-01-31,BSX,risk_on,-0.920952,-0.016433,0.042431,0.019433,0.037406
2017-01-31,C,risk_on,1.626442,0.051591,0.021095,0.047597,0.10543
2017-01-31,CAT,risk_on,0.714097,-0.023314,-0.030763,-0.001715,0.030525
2017-01-31,CB,risk_on,-0.238509,0.01377,-0.011825,-0.008105,0.067609
2017-01-31,CDNS,risk_on,-0.224039,0.149004,0.122501,0.122326,0.202843
2017-01-31,CI,risk_on,0.205702,-0.012942,0.005293,-0.023972,0.040897
2017-01-31,CL,risk_on,-0.88648,0.083665,0.024463,0.021814,0.137504
2017-01-31,CME,risk_on,-0.269732,-0.004946,-0.025605,-0.027695,0.048893
2017-01-31,CMG,risk_on,-1.114464,-0.059273,-0.060297,-0.031625,-0.005434
2017-01-31,COP,risk_on,1.40163,-0.042511,0.007339,0.006685,0.011328
2017-01-31,COST,risk_on,-1.307586,0.033926,0.015578,0.034778,0.087765
2017-01-31,CRM,risk_on,-0.416478,0.005706,0.007836,-0.004108,0.059545
2017-01-31,CSCO,risk_on,-0.618536,0.067254,0.017566,0.02464,0.121093
2017-01-31,CVS,risk_on,-0.001754,-0.029858,-0.037285,-0.028894,0.023981
2017-01-31,CVX,risk_on,-0.999599,-0.021329,-0.005838,-0.006938,0.03251
2017-01-31,DE,risk_on,2.057879,-0.014886,0.009777,0.000907,0.038953
2017-01-31,DIS,risk_on,-0.782376,-0.050314,-0.021109,-0.030009,0.003525
2017-01-31,DUK,risk_on,-1.002627,0.000879,-0.016256,-0.033483,0.054718
2017-01-31,ELV,risk_on,-0.094117,0.029397,0.022673,0.032439,0.083236
2017-01-31,EMR,risk_on,-0.279311,-0.008168,0.059947,0.066302,0.045671
2017-01-31,EOG,risk_on,1.152603,-0.068901,-0.049414,-0.030562,-0.015062
2017-01-31,EQIX,risk_on,-1.675228,-0.066708,-0.01747,-0.033196,-0.012868
2017-01-31,ETN,risk_on,-0.407588,-0.019084,-0.013826,-0.009739,0.034755
2017-01-31,FDX,risk_on,-0.565591,-0.009896,-0.011961,-0.009403,0.043943
2017-01-31,GD,risk_on,0.211136,0.00873,0.005566,0.006846,0.062569
2017-01-31,GE,risk_on,-0.49013,-0.029233,-0.010911,-0.007589,0.024606
2017-01-31,GILD,risk_on,-0.957873,-0.085033,0.003189,-0.09475,-0.031194
2017-01-31,GOOG,risk_on,-0.867032,-0.005583,0.006579,0.002577,0.048256
2017-01-31,GOOGL,risk_on,-0.872956,-0.009264,0.004825,-0.002928,0.044575
2017-02-28,AAPL,risk_on,0.133774,0.050245,0.016227,0.012781,0.049711
2017-02-28,ABBV,risk_on,-0.632085,0.067481,0.027675,0.060116,0.066947
2017-02-28,ABT,risk_on,-0.722741,-0.007896,-0.004016,-0.00803,-0.00843
2017-02-28,ACN,risk_on,-0.91808,-0.008853,0.011147,0.009692,-0.009387
2017-02-28,ADBE,risk_on,-0.04253,0.087994,0.011617,0.024377,0.08746
2017-02-28,ADI,risk_on,1.292116,0.00383,0.015823,0.019541,0.003296
2017-02-28,ADP,risk_on,-0.546312,0.012498,0.013837,0.016906,0.011964
2017-02-28,AMAT,risk_on,1.346571,0.072317,0.018465,0.054781,0.071783
2017-02-28,AMD,risk_on,5.892043,-0.052716,-0.099752,-0.026715,-0.05325
2017-02-28,AMGN,risk_on,-0.188109,-0.066423,0.002574,0.018518,-0.066957
2017-02-28,AMZN,risk_on,0.377278,0.013504,-0.001082,0.007045,0.01297
2017-02-28,AON,risk_on,-0.564174,0.028463,-0.003193,0.022133,0.027929
2017-02-28,APD,risk_on,-1.26214,-0.022389,-0.00815,-0.032359,-0.022923
2017-02-28,APH,risk_on,-0.417426,0.03332,0.013074,0.023322,0.032786
2017-02-28,AVGO,risk_on,1.286032,0.052788,0.037203,0.061805,0.052254
2017-02-28,AXP,risk_on,-0.700105,-0.017203,-0.008237,-0.00644,-0.017737
2017-02-28,BA,risk_on,0.119788,-0.01539,0.007691,-0.010141,-0.015924
2017-02-28,BAC,risk_on,2.050043,-0.045189,0.022346,0.02724,-0.045723
