strategy_name,transaction_cost_bps,periods,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,monthly_hit_rate,average_turnover,average_holdings,worst_month,worst_year_return,best_year_return,total_cost_drag,readiness_status
top_10_equal_weight,0,72,0.18849216,0.22092509,0.853195,2.117275,-0.32269858,0.680556,0.84444444,10.0,-0.1718431,-0.02651193,0.55914085,0.0,GATE_PASS
top_10_equal_weight,10,72,0.18680327,0.22102061,0.845185,2.069655,-0.32873949,0.680556,0.84444444,10.0,-0.1736431,-0.02811193,0.55784085,0.0608,GATE_PASS
top_10_equal_weight,25,72,0.18426994,0.2211674,0.83317,2.000353,-0.33770963,0.680556,0.84444444,10.0,-0.1763431,-0.03051193,0.55589085,0.152,GATE_PASS
top_10_equal_weight,50,72,0.18004772,0.22142135,0.813145,1.930923,-0.35241957,0.666667,0.84444444,10.0,-0.1808431,-0.03451193,0.55264085,0.304,GATE_FAIL
top_20_equal_weight,0,72,0.1155314,0.13598242,0.849605,1.923882,-0.31566144,0.680556,0.66388889,20.0,-0.07848435,-0.05118732,0.26051982,0.0,GATE_PASS
top_20_equal_weight,10,72,0.11420362,0.13597364,0.839895,1.876602,-0.31981285,0.680556,0.66388889,20.0,-0.07898435,-0.05230399,0.25943648,0.0478,GATE_PASS
top_20_equal_weight,25,72,0.11221196,0.13596351,0.825309,1.807466,-0.32599731,0.680556,0.66388889,20.0,-0.07973435,-0.05397899,0.25781148,0.1195,GATE_PASS
top_20_equal_weight,50,72,0.10889251,0.13595477,0.800947,1.733437,-0.33619189,0.666667,0.66388889,20.0,-0.08098435,-0.05677066,0.25510315,0.239,GATE_PASS
top_decile_equal_weight,0,72,0.14391158,0.18337745,0.784783,1.800881,-0.37758008,0.680556,0.76175214,13.0,-0.11950231,-0.05573095,0.41248929,0.0,GATE_FAIL
top_decile_equal_weight,10,72,0.14238808,0.1833844,0.776446,1.79616,-0.38218664,0.666667,0.76175214,13.0,-0.12119462,-0.05703864,0.41120724,0.05484612,GATE_FAIL
top_decile_equal_weight,25,72,0.14010282,0.18339796,0.763928,1.732877,-0.38903927,0.666667,0.76175214,13.0,-0.12373308,-0.05900018,0.40928417,0.13711545,GATE_FAIL
top_decile_equal_weight,50,72,0.13629406,0.18342893,0.743035,1.632245,-0.40030925,0.666667,0.76175214,13.0,-0.12796385,-0.06226941,0.40607904,0.27423067,GATE_FAIL
top_decile_score_weighted_capped,0,72,0.17571288,0.21208298,0.82851,1.970971,-0.29491569,0.708333,0.83825628,13.0,-0.16484117,-0.0219881,0.5161499,0.0,GATE_PASS
top_decile_score_weighted_capped,10,72,0.17403637,0.21214651,0.820359,1.971153,-0.30105486,0.694444,0.83825628,13.0,-0.16657147,-0.02356776,0.51474622,0.06035447,GATE_PASS
top_decile_score_weighted_capped,25,72,0.1715216,0.21224505,0.80813,1.946744,-0.31017303,0.680556,0.83825628,13.0,-0.16916694,-0.02593725,0.5126407,0.15088612,GATE_PASS
top_decile_score_weighted_capped,50,72,0.16733032,0.21241793,0.787741,1.877091,-0.32513114,0.666667,0.83825628,13.0,-0.17349271,-0.02988639,0.50913149,0.30177231,GATE_PASS
