year,strategy_name,transaction_cost_bps,annual_return,annual_volatility,hit_rate,average_turnover
2021,top_decile_score_weighted_capped,0,0.09177999,0.13631382,0.583333,0.78783925
2022,top_decile_score_weighted_capped,0,0.06370794,0.16332662,0.75,1.16938269
2023,top_decile_score_weighted_capped,0,0.26802114,0.14591704,1.0,0.8822406
2024,top_decile_score_weighted_capped,0,-0.0219881,0.11532746,0.25,0.78982935
2025,top_decile_score_weighted_capped,0,0.5161499,0.28427781,1.0,0.70184109
2020,top_decile_score_weighted_capped,10,0.13520963,0.16986104,0.666667,0.6984047
2021,top_decile_score_weighted_capped,10,0.09020431,0.13653694,0.583333,0.78783925
2022,top_decile_score_weighted_capped,10,0.06136918,0.1635326,0.666667,1.16938269
2023,top_decile_score_weighted_capped,10,0.26625666,0.14584824,1.0,0.8822406
2024,top_decile_score_weighted_capped,10,-0.02356776,0.11526154,0.25,0.78982935
2025,top_decile_score_weighted_capped,10,0.51474622,0.28436613,1.0,0.70184109
2020,top_decile_score_weighted_capped,25,0.13311441,0.16942038,0.666667,0.6984047
2021,top_decile_score_weighted_capped,25,0.08784079,0.13688118,0.583333,0.78783925
2022,top_decile_score_weighted_capped,25,0.05786103,0.163844,0.666667,1.16938269
2023,top_decile_score_weighted_capped,25,0.26360994,0.14574983,0.916667,0.8822406
2024,top_decile_score_weighted_capped,25,-0.02593725,0.1151636,0.25,0.78982935
2025,top_decile_score_weighted_capped,25,0.5126407,0.28449949,1.0,0.70184109
2020,top_decile_score_weighted_capped,50,0.12962239,0.16869775,0.666667,0.6984047
2021,top_decile_score_weighted_capped,50,0.0839016,0.13748019,0.5,0.78783925
2022,top_decile_score_weighted_capped,50,0.05201411,0.16436942,0.666667,1.16938269
2023,top_decile_score_weighted_capped,50,0.25919874,0.14559861,0.916667,0.8822406
2024,top_decile_score_weighted_capped,50,-0.02988639,0.1150029,0.25,0.78982935
2025,top_decile_score_weighted_capped,50,0.50913149,0.28472404,1.0,0.70184109
