ticker,asset_class,action,rows,date_min,date_max,years_span,adjusted_close_available,volume_available,usable,has_five_year_history,note
QQQ,equity_structure,not_collected,0,,,0.0,False,False,False,False,
IWM,equity_structure,not_collected,0,,,0.0,False,False,False,False,
DIA,equity_structure,not_collected,0,,,0.0,False,False,False,False,
EFA,global_regional,not_collected,0,,,0.0,False,False,False,False,
EEM,global_regional,not_collected,0,,,0.0,False,False,False,False,
ACWI,global_regional,not_collected,0,,,0.0,False,False,False,False,
VT,global_regional,not_collected,0,,,0.0,False,False,False,False,
EWJ,global_regional,not_collected,0,,,0.0,False,False,False,False,
EWU,global_regional,not_collected,0,,,0.0,False,False,False,False,
FXI,global_regional,not_collected,0,,,0.0,False,False,False,False,
EWZ,global_regional,not_collected,0,,,0.0,False,False,False,False,
INDA,global_regional,not_collected,0,,,0.0,False,False,False,False,
TLT,rates_duration,not_collected,0,,,0.0,False,False,False,False,
IEF,rates_duration,not_collected,0,,,0.0,False,False,False,False,
SHY,rates_duration,not_collected,0,,,0.0,False,False,False,False,
TIP,rates_duration,not_collected,0,,,0.0,False,False,False,False,
HYG,credit,not_collected,0,,,0.0,False,False,False,False,
LQD,credit,not_collected,0,,,0.0,False,False,False,False,
UUP,dollar_fx,not_collected,0,,,0.0,False,False,False,False,
FXE,dollar_fx,not_collected,0,,,0.0,False,False,False,False,
FXY,dollar_fx,not_collected,0,,,0.0,False,False,False,False,
FXB,dollar_fx,not_collected,0,,,0.0,False,False,False,False,
FXA,dollar_fx,not_collected,0,,,0.0,False,False,False,False,
FXC,dollar_fx,not_collected,0,,,0.0,False,False,False,False,
GLD,commodity,not_collected,0,,,0.0,False,False,False,False,
SLV,commodity,not_collected,0,,,0.0,False,False,False,False,
DBC,commodity,not_collected,0,,,0.0,False,False,False,False,
GSG,commodity,not_collected,0,,,0.0,False,False,False,False,
USO,commodity,not_collected,0,,,0.0,False,False,False,False,
BNO,commodity,not_collected,0,,,0.0,False,False,False,False,
UNG,commodity,not_collected,0,,,0.0,False,False,False,False,
CPER,commodity,not_collected,0,,,0.0,False,False,False,False,
VIXY,volatility,not_collected,0,,,0.0,False,False,False,False,
XLE,sector_rotation,not_collected,0,,,0.0,False,False,False,False,
XLK,sector_rotation,not_collected,0,,,0.0,False,False,False,False,
XLF,sector_rotation,not_collected,0,,,0.0,False,False,False,False,
XLI,sector_rotation,not_collected,0,,,0.0,False,False,False,False,
XLV,sector_rotation,not_collected,0,,,0.0,False,False,False,False,
XLY,sector_rotation,not_collected,0,,,0.0,False,False,False,False,
XLP,sector_rotation,not_collected,0,,,0.0,False,False,False,False,
XLU,sector_rotation,not_collected,0,,,0.0,False,False,False,False,
XLRE,sector_rotation,not_collected,0,,,0.0,False,False,False,False,
XLB,sector_rotation,not_collected,0,,,0.0,False,False,False,False,
XLC,sector_rotation,not_collected,0,,,0.0,False,False,False,False,
SMH,sector_rotation,not_collected,0,,,0.0,False,False,False,False,
KRE,sector_rotation,not_collected,0,,,0.0,False,False,False,False,
