ticker,asset_class,target_filename,already_present,present_rows,planned_action,provider,endpoint_template_redacted
QQQ,equity_structure,QQQ.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=QQQ&outputsize=full&datatype=csv&apikey=REDACTED
IWM,equity_structure,IWM.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=IWM&outputsize=full&datatype=csv&apikey=REDACTED
DIA,equity_structure,DIA.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=DIA&outputsize=full&datatype=csv&apikey=REDACTED
EFA,global_regional,EFA.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=EFA&outputsize=full&datatype=csv&apikey=REDACTED
EEM,global_regional,EEM.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=EEM&outputsize=full&datatype=csv&apikey=REDACTED
ACWI,global_regional,ACWI.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=ACWI&outputsize=full&datatype=csv&apikey=REDACTED
VT,global_regional,VT.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=VT&outputsize=full&datatype=csv&apikey=REDACTED
EWJ,global_regional,EWJ.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=EWJ&outputsize=full&datatype=csv&apikey=REDACTED
EWU,global_regional,EWU.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=EWU&outputsize=full&datatype=csv&apikey=REDACTED
FXI,global_regional,FXI.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=FXI&outputsize=full&datatype=csv&apikey=REDACTED
EWZ,global_regional,EWZ.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=EWZ&outputsize=full&datatype=csv&apikey=REDACTED
INDA,global_regional,INDA.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=INDA&outputsize=full&datatype=csv&apikey=REDACTED
TLT,rates_duration,TLT.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=TLT&outputsize=full&datatype=csv&apikey=REDACTED
IEF,rates_duration,IEF.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=IEF&outputsize=full&datatype=csv&apikey=REDACTED
SHY,rates_duration,SHY.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=SHY&outputsize=full&datatype=csv&apikey=REDACTED
TIP,rates_duration,TIP.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=TIP&outputsize=full&datatype=csv&apikey=REDACTED
HYG,credit,HYG.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=HYG&outputsize=full&datatype=csv&apikey=REDACTED
LQD,credit,LQD.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=LQD&outputsize=full&datatype=csv&apikey=REDACTED
UUP,dollar_fx,UUP.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=UUP&outputsize=full&datatype=csv&apikey=REDACTED
FXE,dollar_fx,FXE.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=FXE&outputsize=full&datatype=csv&apikey=REDACTED
FXY,dollar_fx,FXY.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=FXY&outputsize=full&datatype=csv&apikey=REDACTED
FXB,dollar_fx,FXB.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=FXB&outputsize=full&datatype=csv&apikey=REDACTED
FXA,dollar_fx,FXA.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=FXA&outputsize=full&datatype=csv&apikey=REDACTED
FXC,dollar_fx,FXC.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=FXC&outputsize=full&datatype=csv&apikey=REDACTED
GLD,commodity,GLD.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=GLD&outputsize=full&datatype=csv&apikey=REDACTED
SLV,commodity,SLV.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=SLV&outputsize=full&datatype=csv&apikey=REDACTED
DBC,commodity,DBC.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=DBC&outputsize=full&datatype=csv&apikey=REDACTED
GSG,commodity,GSG.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=GSG&outputsize=full&datatype=csv&apikey=REDACTED
USO,commodity,USO.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=USO&outputsize=full&datatype=csv&apikey=REDACTED
BNO,commodity,BNO.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=BNO&outputsize=full&datatype=csv&apikey=REDACTED
UNG,commodity,UNG.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=UNG&outputsize=full&datatype=csv&apikey=REDACTED
CPER,commodity,CPER.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=CPER&outputsize=full&datatype=csv&apikey=REDACTED
VIXY,volatility,VIXY.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=VIXY&outputsize=full&datatype=csv&apikey=REDACTED
XLE,sector_rotation,XLE.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=XLE&outputsize=full&datatype=csv&apikey=REDACTED
XLK,sector_rotation,XLK.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=XLK&outputsize=full&datatype=csv&apikey=REDACTED
XLF,sector_rotation,XLF.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=XLF&outputsize=full&datatype=csv&apikey=REDACTED
XLI,sector_rotation,XLI.csv,False,0,would_download,alpha_vantage,https://www.alphavantage.co/query?function=TIME_SERIES_DAILY_ADJUSTED&symbol=XLI&outputsize=full&datatype=csv&apikey=REDACTED
