factor_key,mean_rank_ic,ic_t_stat,n_periods,quintile_spread,decile_spread,coverage_fraction,approved
ttm_sales_yield,0.014964,0.786929,63,0.004482,0.006462,0.241228,true
ttm_earnings_yield,0.016878,0.792864,64,0.002199,0.004999,0.360589,true
ttm_operating_cashflow_yield,0.018158,0.806732,64,0.002996,0.004378,0.374185,true
ttm_fcf_yield,0.021703,1.079197,64,3.7e-05,-0.002739,0.280263,true
ttm_net_margin,0.007457,0.416541,61,-0.00225,-0.00304,0.233897,true
ttm_operating_margin,0.028895,1.443263,63,0.004024,0.008715,0.212406,true
ttm_ocf_margin,-0.015098,-0.766643,73,-0.006045,0.003745,0.290602,true
ttm_revenue_growth,0.0113,0.59669,64,0.001277,0.004136,0.274561,true
ttm_net_income_growth,0.002252,0.128395,64,0.003201,0.000588,0.315539,true
ttm_ocf_growth,-0.00372,-0.287664,91,0.000612,0.008749,0.473183,true
mom_12_1,0.007256,0.432394,112,0.002987,0.006576,0.895739,true
mom_6_1,0.005402,0.344067,118,0.004333,0.007823,0.94386,true
mom_riskadj,0.009498,0.538342,112,0.002813,0.004785,0.895739,true
low_volatility,-0.033783,-2.146275,121,-0.011982,-0.016235,0.967857,true
