series,regime_axis,regime_label,n_months,mean_rank_ic,ic_t_stat,full_sample_mean_ic,ic_delta_vs_full
upgraded_composite,risk_regime,risk_off,15,-0.017806,-0.501165,0.013954,-0.03176
upgraded_composite,risk_regime,risk_on,103,0.018579,1.122519,0.013954,0.004625
upgraded_composite,vol_regime,high_vol,70,-0.003712,-0.1952,0.013954,-0.017666
upgraded_composite,vol_regime,low_vol,43,0.048973,1.827857,0.013954,0.035019
upgraded_composite,trend_regime,above_trend,96,0.014806,0.846484,0.013954,0.000852
upgraded_composite,trend_regime,below_trend,20,0.018042,0.594714,0.013954,0.004089
upgraded_composite,inflation_regime,disinflation,53,0.003058,0.121782,0.013954,-0.010896
upgraded_composite,inflation_regime,inflation_up,65,0.022838,1.239816,0.013954,0.008884
upgraded_composite,rates_regime,rates_down,49,0.017878,0.659162,0.013954,0.003925
upgraded_composite,rates_regime,rates_up,69,0.011166,0.639885,0.013954,-0.002787
upgraded_composite,dollar_regime,dollar_down,54,0.024543,1.132805,0.013954,0.010589
upgraded_composite,dollar_regime,dollar_up,64,0.005019,0.237159,0.013954,-0.008935
phase7c_baseline,risk_regime,risk_off,15,-0.024126,-0.892768,0.017726,-0.041852
phase7c_baseline,risk_regime,risk_on,103,0.023821,1.509845,0.017726,0.006095
phase7c_baseline,vol_regime,high_vol,70,-0.001482,-0.083549,0.017726,-0.019208
phase7c_baseline,vol_regime,low_vol,43,0.056203,2.235336,0.017726,0.038477
phase7c_baseline,trend_regime,above_trend,96,0.021657,1.31024,0.017726,0.003931
phase7c_baseline,trend_regime,below_trend,20,0.008056,0.295991,0.017726,-0.00967
phase7c_baseline,inflation_regime,disinflation,53,0.010888,0.472214,0.017726,-0.006838
phase7c_baseline,inflation_regime,inflation_up,65,0.023301,1.303727,0.017726,0.005576
phase7c_baseline,rates_regime,rates_down,49,0.028586,1.10321,0.017726,0.01086
phase7c_baseline,rates_regime,rates_up,69,0.010013,0.623681,0.017726,-0.007712
phase7c_baseline,dollar_regime,dollar_down,54,0.033599,1.740277,0.017726,0.015874
phase7c_baseline,dollar_regime,dollar_up,64,0.004332,0.210578,0.017726,-0.013393
bucket_momentum,risk_regime,risk_off,15,-0.023131,-0.471051,0.007916,-0.031047
bucket_momentum,risk_regime,risk_on,103,0.012437,0.69231,0.007916,0.004521
bucket_momentum,vol_regime,high_vol,70,-0.017847,-0.822088,0.007916,-0.025763
bucket_momentum,vol_regime,low_vol,43,0.055415,1.952739,0.007916,0.047499
bucket_momentum,trend_regime,above_trend,96,0.008747,0.464127,0.007916,0.000831
bucket_momentum,trend_regime,below_trend,20,0.011503,0.276867,0.007916,0.003587
bucket_momentum,inflation_regime,disinflation,53,-0.001497,-0.053832,0.007916,-0.009413
bucket_momentum,inflation_regime,inflation_up,65,0.015591,0.754919,0.007916,0.007675
bucket_momentum,rates_regime,rates_down,49,0.02145,0.738723,0.007916,0.013534
bucket_momentum,rates_regime,rates_up,69,-0.001695,-0.083908,0.007916,-0.009611
bucket_momentum,dollar_regime,dollar_down,54,0.008982,0.376406,0.007916,0.001066
bucket_momentum,dollar_regime,dollar_up,64,0.007016,0.294804,0.007916,-0.0009
bucket_value_ttm,risk_regime,risk_off,11,0.000652,0.015156,0.023006,-0.022354
bucket_value_ttm,risk_regime,risk_on,53,0.027646,1.162952,0.023006,0.00464
bucket_value_ttm,vol_regime,high_vol,41,0.028174,1.027469,0.023006,0.005168
bucket_value_ttm,vol_regime,low_vol,23,0.013794,0.425591,0.023006,-0.009213
bucket_value_ttm,trend_regime,above_trend,51,0.034821,1.446554,0.023006,0.011815
bucket_value_ttm,trend_regime,below_trend,13,-0.023345,-0.577348,0.023006,-0.046351
bucket_value_ttm,inflation_regime,disinflation,29,0.008153,0.251493,0.023006,-0.014853
bucket_value_ttm,inflation_regime,inflation_up,35,0.035313,1.282218,0.023006,0.012307
bucket_value_ttm,rates_regime,rates_down,22,0.006014,0.21959,0.023006,-0.016993
bucket_value_ttm,rates_regime,rates_up,42,0.031907,1.114441,0.023006,0.008901
bucket_value_ttm,dollar_regime,dollar_down,27,0.034082,0.935782,0.023006,0.011075
bucket_value_ttm,dollar_regime,dollar_up,37,0.014924,0.597575,0.023006,-0.008082
bucket_quality_ttm,risk_regime,risk_off,11,-0.008079,-0.207364,-0.012712,0.004633
bucket_quality_ttm,risk_regime,risk_on,62,-0.013534,-0.638515,-0.012712,-0.000822
bucket_quality_ttm,vol_regime,high_vol,48,-0.011508,-0.492454,-0.012712,0.001204
bucket_quality_ttm,vol_regime,low_vol,25,-0.015024,-0.462103,-0.012712,-0.002312
bucket_quality_ttm,trend_regime,above_trend,60,-0.008778,-0.39148,-0.012712,0.003934
bucket_quality_ttm,trend_regime,below_trend,13,-0.030869,-1.35171,-0.012712,-0.018157
bucket_quality_ttm,inflation_regime,disinflation,34,-0.032251,-1.109584,-0.012712,-0.019539
bucket_quality_ttm,inflation_regime,inflation_up,39,0.004322,0.175938,-0.012712,0.017034
bucket_quality_ttm,rates_regime,rates_down,26,-0.055284,-1.960852,-0.012712,-0.042571
bucket_quality_ttm,rates_regime,rates_up,47,0.010838,0.446013,-0.012712,0.02355
bucket_quality_ttm,dollar_regime,dollar_down,34,-0.036862,-1.300611,-0.012712,-0.02415
bucket_quality_ttm,dollar_regime,dollar_up,39,0.008341,0.333323,-0.012712,0.021054
bucket_growth_ttm,risk_regime,risk_off,15,-0.018272,-0.479108,-0.003519,-0.014753
bucket_growth_ttm,risk_regime,risk_on,77,-0.000645,-0.045523,-0.003519,0.002874
bucket_growth_ttm,vol_regime,high_vol,62,0.010267,0.62231,-0.003519,0.013786
bucket_growth_ttm,vol_regime,low_vol,30,-0.032009,-1.458152,-0.003519,-0.02849
bucket_growth_ttm,trend_regime,above_trend,72,-0.013813,-0.897066,-0.003519,-0.010294
bucket_growth_ttm,trend_regime,below_trend,20,0.033538,1.341118,-0.003519,0.037057
bucket_growth_ttm,inflation_regime,disinflation,46,-0.006556,-0.346065,-0.003519,-0.003037
bucket_growth_ttm,inflation_regime,inflation_up,46,-0.000482,-0.025492,-0.003519,0.003037
