ticker,status,rows,usable,source
MNST,PLANNED,0,false,not_run
CEG,PLANNED,0,false,not_run
ADP,PLANNED,0,false,not_run
EQNR,PLANNED,0,false,not_run
KKR,PLANNED,0,false,not_run
MGCLY,PLANNED,0,false,not_run
CSX,PLANNED,0,false,not_run
JCI,PLANNED,0,false,not_run
WMB,PLANNED,0,false,not_run
WM,PLANNED,0,false,not_run
ITUB,PLANNED,0,false,not_run
ELV,PLANNED,0,false,not_run
AMT,PLANNED,0,false,not_run
CMCSA,PLANNED,0,false,not_run
SNPS,PLANNED,0,false,not_run
ING,PLANNED,0,false,not_run
HCA,PLANNED,0,false,not_run
BCS,PLANNED,0,false,not_run
SLB,PLANNED,0,false,not_run
HOOD,PLANNED,0,false,not_run
ASX,PLANNED,0,false,not_run
SPG,PLANNED,0,false,not_run
AMX,PLANNED,0,false,not_run
ADBE,PLANNED,0,false,not_run
MMM,PLANNED,0,false,not_run
NOK,PLANNED,0,false,not_run
DDOG,PLANNED,0,false,not_run
NGG,PLANNED,0,false,not_run
AEM,PLANNED,0,false,not_run
MRSH,PLANNED,0,false,not_run
NET,PLANNED,0,false,not_run
MDLZ,PLANNED,0,false,not_run
FDX,PLANNED,0,false,not_run
SNOW,PLANNED,0,false,not_run
NTES,PLANNED,0,false,not_run
EPD,PLANNED,0,false,not_run
MELI,PLANNED,0,false,not_run
LYG,PLANNED,0,false,not_run
EMR,PLANNED,0,false,not_run
CP,PLANNED,0,false,not_run
ICE,PLANNED,0,false,not_run
RCL,PLANNED,0,false,not_run
HLT,PLANNED,0,false,not_run
CI,PLANNED,0,false,not_run
ABNB,PLANNED,0,false,not_run
E,PLANNED,0,false,not_run
SHW,PLANNED,0,false,not_run
MCO,PLANNED,0,false,not_run
NOC,PLANNED,0,false,not_run
MPWR,PLANNED,0,false,not_run
APO,PLANNED,0,false,not_run
ROST,PLANNED,0,false,not_run
NXPI,PLANNED,0,false,not_run
MPC,PLANNED,0,false,not_run
VLO,PLANNED,0,false,not_run
INTU,PLANNED,0,false,not_run
COHR,PLANNED,0,false,not_run
ORLY,PLANNED,0,false,not_run
BAM,PLANNED,0,false,not_run
BAESY,PLANNED,0,false,not_run
ECL,PLANNED,0,false,not_run
BE,PLANNED,0,false,not_run
