dataset_name,company_template,statement_code,load_status,columns_detected,columns
Companies,shared,general,loaded,11,Ticker|SimFinId|Company Name|IndustryId|ISIN|End of financial year (month)|Number Employees|Business Summary|Market|CIK|Main Currency
Income Statement,standard,pl,loaded,28,"Ticker|Report Date|SimFinId|Currency|Fiscal Year|Fiscal Period|Publish Date|Restated Date|Shares (Basic)|Shares (Diluted)|Revenue|Cost of Revenue|Gross Profit|Operating Expenses|Selling, General & Administrative|Research & Development|Depreciation & Amortization|Operating Income (Loss)|Non-Operating Income (Loss)|Interest Expense, Net|Pretax Income (Loss), Adj.|Abnormal Gains (Losses)|Pretax Income (Loss)|Income Tax (Expense) Benefit, Net|Income (Loss) from Continuing Operations|Net Extraordinary Gains (Losses)|Net Income|Net Income (Common)"
Balance Sheet,standard,bs,loaded,30,"Ticker|Report Date|SimFinId|Currency|Fiscal Year|Fiscal Period|Publish Date|Restated Date|Shares (Basic)|Shares (Diluted)|Cash, Cash Equivalents & Short Term Investments|Accounts & Notes Receivable|Inventories|Total Current Assets|Property, Plant & Equipment, Net|Long Term Investments & Receivables|Other Long Term Assets|Total Noncurrent Assets|Total Assets|Payables & Accruals|Short Term Debt|Total Current Liabilities|Long Term Debt|Total Noncurrent Liabilities|Total Liabilities|Share Capital & Additional Paid-In Capital|Treasury Stock|Retained Earnings|Total Equity|Total Liabilities & Equity"
Cash Flow,standard,cf,loaded,28,Ticker|Report Date|SimFinId|Currency|Fiscal Year|Fiscal Period|Publish Date|Restated Date|Shares (Basic)|Shares (Diluted)|Net Income/Starting Line|Depreciation & Amortization|Non-Cash Items|Change in Working Capital|Change in Accounts Receivable|Change in Inventories|Change in Accounts Payable|Change in Other|Net Cash from Operating Activities|Change in Fixed Assets & Intangibles|Net Change in Long Term Investment|Net Cash from Acquisitions & Divestitures|Net Cash from Investing Activities|Dividends Paid|Cash from (Repayment of) Debt|Cash from (Repurchase of) Equity|Net Cash from Financing Activities|Net Change in Cash
Derived Figures & Ratios,standard,derived,error,0,
Income Statement (Banks),banks,pl,loaded,22,"Ticker|Report Date|SimFinId|Currency|Fiscal Year|Fiscal Period|Publish Date|Restated Date|Shares (Basic)|Shares (Diluted)|Revenue|Provision for Loan Losses|Net Revenue after Provisions|Total Non-Interest Expense|Operating Income (Loss)|Non-Operating Income (Loss)|Pretax Income (Loss)|Income Tax (Expense) Benefit, Net|Income (Loss) from Continuing Operations|Net Extraordinary Gains (Losses)|Net Income|Net Income (Common)"
Balance Sheet (Banks),banks,bs,loaded,27,"Ticker|Report Date|SimFinId|Currency|Fiscal Year|Fiscal Period|Publish Date|Restated Date|Shares (Basic)|Shares (Diluted)|Cash, Cash Equivalents & Short Term Investments|Interbank Assets|Short & Long Term Investments|Accounts & Notes Receivable|Net Loans|Net Fixed Assets|Total Assets|Total Deposits|Short Term Debt|Long Term Debt|Total Liabilities|Preferred Equity|Share Capital & Additional Paid-In Capital|Treasury Stock|Retained Earnings|Total Equity|Total Liabilities & Equity"
Cash Flow (Banks),banks,cf,loaded,26,Ticker|Report Date|SimFinId|Currency|Fiscal Year|Fiscal Period|Publish Date|Restated Date|Shares (Basic)|Shares (Diluted)|Net Income/Starting Line|Depreciation & Amortization|Provision for Loan Losses|Non-Cash Items|Change in Working Capital|Net Cash from Operating Activities|Change in Fixed Assets & Intangibles|Net Change in Loans & Interbank|Net Cash from Acquisitions & Divestitures|Net Cash from Investing Activities|Dividends Paid|Cash from (Repayment of) Debt|Cash from (Repurchase of) Equity|Net Cash from Financing Activities|Effect of Foreign Exchange Rates|Net Change in Cash
Derived Figures & Ratios (Banks),banks,derived,error,0,
