template,basis,universe_names,covered_names,tickers
standard,discovered,123,100,AAPL;ABBV;ABT;ACN;ADBE;ADI;ADP;AMAT;AMD;AMGN;AMZN;AON;APH;AVGO;BA;BKNG;BLK;BMY;BSX;CAT;CDNS;CL;CME;CMG;COST;CRM;CSCO;CVS;CVX;DE;DIS;DUK;EMR;EQIX;ETN;GD;GE;GILD;GOOG;HD;ICE;INTC;ISRG;ITW;KLAC;KO;LIN;LLY;LMT;LOW;MA;MAR;MCD;MDLZ;MDT;META;MRK;MSFT;MU;NEE;NFLX;NKE;NOC;NOW;NVDA;ORCL;ORLY;PANW;PEP;PFE;PG;PH;PLD;PM;PYPL;QCOM;REGN;ROP;RTX;SBUX;SHW;SLB;SNPS;SPGI;SYK;TDG;TJX;TMO;TSLA;TXN;UBER;UNH;UNP;UPS;V;VRTX;VZ;WM;WMT;ZTS
banks,discovered,5,5,AXP;BAC;GS;JPM;SCHW
